['ва', 429]
['тувуз', 18]
['вахт', 18]
['чпиз', 18]
['кьюб', 18]
['пну', 18]
['вуйиган', 18]
['хъана', 18]
['султ', 18]
['учуз', 18]
['жугьдарин', 18]
['дупну', 18]
['душваъ', 17]
['вая', 17]
['гьаъру', 17]
['аллагь', 17]
['уж', 17]
['дугъхьан', 17]
['тамам', 17]
['гаф', 17]
['аьхю', 17]
['месигь', 17]
['сари', 17]
['пул', 17]
['узухъди', 17]
['фикир', 16]
['гъуллугъ', 16]
['закар', 16]
['аллагьдиз', 16]
['хъайи', 16]
['а', 16]
['ляхин', 16]
['гьич', 16]
['гирами', 16]
['халкьдиз', 16]
['уьл', 16]
['гъапіу', 16]
['дурарикан', 16]
['гьял', 16]
['апіурайи', 15]
['хулан', 15]
['заан', 15]
['чав', 15]
['гьязур', 15]
['вуза', 15]
['ужуб', 15]
['гъапіну', 15]
['лигну', 15]
['чпи', 15]
['йишв', 15]
['марцц', 15]
['ерусалимдиз', 15]
['гардандиъ', 15]
['аьгъювалар', 15]
['жинар', 15]
['гъач', 15]
['йивну', 15]
['кьюр', 15]
['къаршу', 15]
['хпир', 14]
['ччвур', 14]
['шад', 14]
['йигъ', 14]
['галилей', 14]
['шагьриз', 14]
['агъайин', 14]
['агъайи', 14]
['адаш', 14]
['агъайиз', 14]
['дугъахъ', 14]
['ккунди', 14]
['халкьди', 14]
['шлиз', 14]
['артухъ', 14]
['йихьай', 14]
['исайихьна', 14]
['ученикариз', 14]
['палтар', 14]
['яйи', 13]
['апібан', 13]
['касдиз', 13]
['биціир', 13]
['тувди', 13]
['мидкан', 13]
['дурарихъди', 13]
['мапіанай', 13]
['ктибтуру', 13]
['ваъ', 13]
['пуз', 13]
['гъафиган', 13]
['апіура', 13]
['рякъюъ', 13]
['хураг', 13]
['гьамус', 12]
['лазим', 12]
['рякъюру', 12]
['мапіан', 12]
['вуйиб', 12]
['йигъар', 12]
['йигъари', 12]
['али', 12]
['гьисаб', 12]
['апіру', 12]
['исайикан', 12]
['ляхнар', 12]
['штуан', 12]
['ккунду', 12]
['гъит', 12]
['гъадагъа', 12]
['вушра', 12]
['тахалус', 12]
['дар', 12]
['лигуз', 12]
['имиди', 12]
['гьарсаб', 11]
['туву', 11]
['ягьудия', 11]
['уьлкейин', 11]
['гъягъюри', 11]
['хътакуру', 11]
['хьуб', 11]
['ям', 11]
['рюгь', 11]
['яйин', 11]
['вува', 11]
['ихь', 11]
['ад', 11]
['яшамиш', 11]
['гъи', 11]
['шагьриъ', 11]
['дурарихьан', 11]
['аьхюну', 11]
['гьарсар', 11]
['гъафи', 11]
['гъюз', 11]
['уьмур', 11]
['ужувлан', 11]
['дишлади', 11]
['хал', 11]
['ич', 10]
['миди', 10]
['чяхир', 10]
['улупури', 10]
['гъяркъиган', 10]
['лукі', 10]
['рази', 10]
['фукіа', 10]
['чухсагъул', 10]
['азад', 10]
['тувну', 10]
['биціи', 10]
['кьяляхъди', 10]
['халкьдин', 10]
['аьхючівеъ', 10]
['шуйи', 10]
['гъабхьну', 10]
['гьар', 10]
['рякъ', 10]
['пилатди', 10]
['ккайи', 10]
['чіуру', 10]
['дюн', 10]
['узхьан', 10]
['эй', 10]
['дугъахьна', 10]
['адар', 10]
['гъюн', 10]
['ученикари', 10]
['ул', 10]
['учвкан', 10]
['ча', 10]
['кіуразачвузки', 10]
['ясана', 10]
['йипай', 10]
['гьякьнаан', 9]
['гизафдар', 9]
['сабан', 9]
['малайикди', 9]
['гъахьи', 9]
['гъузру', 9]
['уьлкейиъ', 9]
['риш', 9]
['ибшри', 9]
['аллагьдихьан', 9]
['ухьуз', 9]
['хьуз', 9]
['гъашиган', 9]
['ачіни', 9]
['алди', 9]
['туври', 9]
['адашди', 9]
['чве', 9]
['тахсрар', 9]
['гъапіиш', 9]
['гъушу', 9]
['пуч', 9]
['тіалаб', 9]
['петр', 9]
['даршиш', 9]
['гъадабгъну', 9]
['маш', 9]
['хулар', 9]
['илдицну', 9]
['паччагьлугъдиъ', 9]
['дишагьлийи', 9]
['учівуз', 9]
['мясляаьт', 9]
['беден', 9]
['масу', 9]
['сифте', 8]
['яйиз', 8]
['шадвал', 8]
['увухьна', 8]
['дишагьли', 8]
['пиди', 8]
['фициб', 8]
['чахьна', 8]
['мурар', 8]
['пайгъамбар', 8]
['гунгьарилан', 8]
['улихьна', 8]
['мушваъ', 8]
['йисан', 8]
['жан', 8]
['гъаври', 8]
['гунгьар', 8]
['налук', 8]
['китабариъ', 8]
['гъайгъушнаъ', 8]
['гъюрайи', 8]
['шулдар', 8]
['жин', 8]
['удучівну', 8]
['кайи', 8]
['ціиб', 8]
['лигай', 8]
['гъарах', 8]
['гьамрар', 8]
['вучва', 8]
['учвура', 8]
['ухшар', 8]
['шид', 8]
['гъуллугъчи', 8]
['язухъ', 8]
['шула', 8]
['гъван', 8]
['гъюри', 8]
['дябкъну', 8]
['девлет', 8]
['суфрайихъ', 8]
['гъизилин', 8]
['гъаши', 7]
['дугъахъди', 7]
['израилин', 7]
['улихьди', 7]
['ил', 7]
['гьякь', 7]
['улхуз', 7]
['уз', 7]
['учівну', 7]
['кади', 7]
['сад', 7]
['зарбди', 7]
['узухьна', 7]
['девлетлу', 7]
['ківаин', 7]
['даршиди', 7]
['ухьу', 7]
['уьрхюз', 7]
['гьякьди', 7]
['акв', 7]
['шули', 7]
['амур', 7]
['шагьриан', 7]
['къанундиъ', 7]
['адми', 7]
['пасхайин', 7]
['аьгъяди', 7]
['деъну', 7]
['адру', 7]
['аш', 7]
['вардари', 7]
['ціийи', 7]
['хъанара', 7]
['гьюкум', 7]
['улар', 7]
['багахьна', 7]
['чіигъар', 7]
['хул', 7]
['жил', 7]
['саризра', 7]
['гъайри', 7]
['ученикар', 7]
['ачмиш', 7]
['ужуди', 7]
['узухъ', 7]
['адмийир', 7]
['ккундуш', 7]
['тувай', 7]
['гъягъюз', 7]
['бегьер', 7]
['йип', 7]
['хъадакну', 7]
['рякъюз', 7]
['вуйиз', 7]
['аьхюр', 7]
['петри', 7]
['кіул', 7]
['исайихьан', 7]
['хилиз', 7]
['дяркъну', 7]
['кіуруки', 7]
['жаза', 7]
['гъашиш', 7]
['эйсийи', 7]
['узура', 6]
['ахтармиш', 6]
['паччагь', 6]
['тухмиан', 6]
['дугъри', 6]
['веледар', 6]
['арччул', 6]
['дийигъну', 6]
['дугъак', 6]
['кабхъру', 6]
['бабкан', 6]
['юківар', 6]
['марцци', 6]
['кіулиз', 6]
['хьибдар', 6]
['гъахьундар', 6]
['инсанарин', 6]
['юсуф', 6]
['увухъди', 6]
['аба', 6]
['паччагьвал', 6]
['шулайи', 6]
['бахтавар', 6]
['дада', 6]
['кьувват', 6]
['сабси', 6]
['хуз', 6]
['ичіи', 6]
['шлу', 6]
['сабпну', 6]
['хуру', 6]
['вуйир', 6]
['гъабшиган', 6]
['гъафну', 6]
['исайихъ', 6]
['касди', 6]
['ис', 6]
['тахсир', 6]
['кіура', 6]
['ягьуда', 6]
['гаш', 6]
['хьади', 6]
['жвуву', 6]
['дишагьлийир', 6]
['диди', 6]
['хилар', 6]
['ккарагури', 6]
['деънайи', 6]
['бализ', 6]
['кіуразавуз', 6]
['думура', 6]
['налукар', 6]
['апірудар', 6]
['кіуруш', 6]
['сарира', 6]
['дапінайи', 6]
['дарш', 6]
['улхури', 6]
['йиціикьюр', 6]
['ученикарра', 6]
['вахтари', 6]
['учвухъди', 6]
['юків', 6]
['дубхьну', 6]
['дугъкан', 6]
['гьамциб', 6]
['дуст', 6]
['паччагьлугъдикан', 6]
['идара', 6]
['шлин', 6]
['даршлу', 6]
['ипіруб', 6]
['нач', 6]
['гъулаз', 6]
['гъузай', 6]
['махьанай', 6]
['дидин', 6]
['адашдиз', 6]
['йиціуб', 6]
['фукьан', 6]
['мялум', 5]
['гъапіунза', 5]
['мюгькам', 5]
['девриъ', 5]
['ниъ', 5]
['малайик', 5]
['мютіюгъ', 5]
['гъяйиз', 5]
['ккилигурайи', 5]
['улубкьиган', 5]
['давудрин', 5]
['шуран', 5]
['гьарган', 5]
['апіувал', 5]
['вуйкіан', 5]
['якьубдин', 5]
['ямди', 5]
['швуваз', 5]
['кіурайи', 5]
['чіигъ', 5]
['апіураза', 5]
['ківаъ', 5]
['кюмек', 5]
['гъахьнийи', 5]
['адашдин', 5]
['мид', 5]
['балин', 5]
['апірур', 5]
['йикьрар', 5]
['дарди', 5]
['гъитди', 5]
['римдин', 5]
['айиган', 5]
['велед', 5]
['чюлиъ', 5]
['гъапінийи', 5]
['жилиин', 5]
['улупу', 5]
['хьпан', 5]
['ерусалимдиъ', 5]
['ачухъ', 5]
['ерусалим', 5]
['лицури', 5]
['паччагьди', 5]
['инсанар', 5]
['китабдиъ', 5]
['дюз', 5]
['ибрагьим', 5]
['гъяни', 5]
['гьапіну', 5]
['лайикь', 5]
['дарза', 5]
['хилиъ', 5]
['ибрагьимдин', 5]
['иблис', 5]
['чалишмиш', 5]
['иблисди', 5]
['дибикіна', 5]
['духну', 5]
['гьудучівну', 5]
['апіуйи', 5]
['мистаъ', 5]
['учівру', 5]
['дугъура', 5]
['мистан', 5]
['аьламатнан', 5]
['хъял', 5]
['гъябкъю', 5]
['давам', 5]
['гъябкъиган', 5]
['симон', 5]
['йихь', 5]
['шагьидвал', 5]
['къанунчйир', 5]
['хъюгъю', 5]
['фарисйири', 5]
['ипіури-убхъури', 5]
['учвхьан', 5]
['ихтияр', 5]
['гъадагъну', 5]
['фарисйир', 5]
['апіураш', 5]
['ният', 5]
['ученик', 5]
['улиъ', 5]
['гьялнаъ', 5]
['лайикьлу', 5]
['хайлин', 5]
['ученикарикан', 5]
['гьерхуз', 5]
['ав', 5]
['гьерху', 5]
['теклиф', 5]
['буржлу', 5]
['тмунур', 5]
['хьпаз', 5]
['артухъди', 5]
['шул', 5]
['тувруш', 5]
['гъайгъу', 5]
['сакьюдар', 5]
['мяна', 5]
['дарибшри', 5]
['аьламат', 5]
['гъахьнуш', 5]
['дугълан', 5]
['аьзабар', 5]
['ккарагуз', 5]
['гьадгъу', 5]
['завун', 5]
['дивну', 5]
['нагагь', 5]
['эгерки', 5]
['хушбахтаврар', 5]
['ражари', 5]
['ишри', 5]
['абгури', 5]
['пайгъамбрар', 5]
['угъри', 5]
['исайихъди', 5]
['заккай', 5]
['манат', 5]
['паччагьдиз', 5]
['накьвдихьна', 5]
['гьюрматлу', 4]
['гъабхурайи', 4]
['елисавета', 4]
['уьрхюри', 4]
['аьдат', 4]
['хъайидар', 4]
['даршули', 4]
['гъагъдиъ', 4]
['кіуйи', 4]
['кадагънайи', 4]
['мици', 4]
['аьхир', 4]
['мегьел', 4]
['салам', 4]
['гъеебхьиган', 4]
['наънан', 4]
['шадди', 4]
['гьамусдихъантина', 4]
['фикрар', 4]
['айидар', 4]
['шубуб', 4]
['фужкіа', 4]
['гъитну', 4]
['мелз', 4]
['вуйибси', 4]
['пайгъамбрарин', 4]
['адаъну', 4]
['гъушнийи', 4]
['давудгъярин', 4]
['чиб-чпиз', 4]
['адлу', 4]
['гъурбан', 4]
['рюгьну', 4]
['асккан', 4]
['юківариъ', 4]
['вардариз', 4]
['абйир-бабар', 4]
['гъабхьундар', 4]
['агуз', 4]
['шубуд', 4]
['дурарихъ', 4]
['хъпехъури', 4]
['агури', 4]
['гъахьунча', 4]
['юрднан', 4]
['завариан', 4]
['йишвар', 4]
['дидисну', 4]
['палат', 4]
['дураризра', 4]
['гъюра', 4]
['гьиродди', 4]
['дустагъдиъ', 4]
['исара', 4]
['юсуфдин', 4]
['аьхирки', 4]
['тувдиза', 4]
['икрам', 4]
['ари', 4]
['уьрх', 4]
['чарйир', 4]
['аваза', 4]
['мистариъ', 4]
['китаб', 4]
['касибариз', 4]
['пидичва', 4]
['гъабхьи', 4]
['яс', 4]
['хьайи', 4]
['хамран', 4]
['аьзар', 4]
['гъеерхьиган', 4]
['шагьур', 4]
['гъахуз', 4]
['дидиз', 4]
['кьял', 4]
['симондин', 4]
['хури', 4]
['жинари', 4]
['хъайигъан', 4]
['лютке', 4]
['симондиз', 4]
['ціибтіан', 4]
['тмуну', 4]
['дурарра', 4]
['лакіам', 4]
['гунагькар', 4]
['хъпехъуз', 4]
['уьзрар', 4]
['айиб', 4]
['удучіву', 4]
['гъабши', 4]
['дидкан', 4]
['таза', 4]
['хьидар', 4]
['ужу', 4]
['бязидари', 4]
['учівиган', 4]
['бахтаврар', 4]
['хьидичва', 4]
['аьршариъ', 4]
['ужувлар', 4]
['кіураза', 4]
['душмнар', 4]
['ккарагай', 4]
['ккунидар', 4]
['миж', 4]
['диван', 4]
['учвузра', 4]
['кур', 4]
['гъапиб', 4]
['гъвандиин', 4]
['юзбашийи', 4]
['анжагъ', 4]
['дукіну', 4]
['майит', 4]
['мушв', 4]
['кабхъну', 4]
['арайиз', 4]
['вуйидариз', 4]
['дина', 4]
['дибикінайиб', 4]
['варитіан', 4]
['йивури', 4]
['ипіури', 4]
['ипіуз', 4]
['ликар', 4]
['дишагьлийиз', 4]
['гъулариъ', 4]
['хъюгъну', 4]
['гешт', 4]
['чирагъ', 4]
['дид', 4]
['чвйир', 4]
['мугъаз', 4]
['тувуб', 4]
['жаргъну', 4]
['хътаку', 4]
['хътакиган', 4]
['ликарикк', 4]
['сарихьанра', 4]
['гъакіну', 4]
['инжик', 4]
['исайиин', 4]
['тавра', 4]
['фуну', 4]
['йишваъ', 4]
['шубудпи', 4]
['буйругъ', 4]
['самария', 4]
['дурарихьинди', 4]
['учвухьна', 4]
['гъиямат', 4]
['увура', 4]
['бали', 4]
['ккундийи', 4]
['ккудудубкіру', 4]
['дидиъ', 4]
['хьидива', 4]
['мидиз', 4]
['дурччвну', 4]
['гъапиган', 4]
['аьршариан', 4]
['кьувватну', 4]
['гьамусдин', 4]
['хьа', 4]
['гъийиху', 4]
['дурарихьна', 4]
['йихиди', 4]
['гьадина', 4]
['наан', 4]
['гъиди', 4]
['гъаписи', 4]
['сакьюдари', 4]
['инжирин', 4]
['гьадгъан', 4]
['гъвалахъ', 4]
['мяишат', 4]
['тяриф', 4]
['сатіиди', 4]
['лазар', 4]
['гьамина', 4]
['апіина', 4]
['улубкьиди', 4]
['гьацдар', 4]
['инсанарихьан', 4]
['елион', 4]
['гъудугъ', 4]
['маллйирина', 4]
['зах', 4]
['тахсирра', 4]
['йикібаз', 4]
['хачрак', 4]
['дариз', 4]
['учузра', 3]
['кіулиан', 3]
['гьироддин', 3]
['кьюридра', 3]
['вуйиганси', 3]
['ицци', 3]
['гъягъбакк', 3]
['гьяятдиъ', 3]
['ккарагурайи', 3]
['яманди', 3]
['елисаветайи', 3]
['рюгьнахьди', 3]
['гафарихъ', 3]
['ккудукіиган', 3]
['назарет', 3]
['хайир', 3]
['варитіанзаанурин', 3]
['халкьдиин', 3]
['фуниъ', 3]
['аціру', 3]
['туврайи', 3]
['сес', 3]
['ківаан', 3]
['чахьан', 3]
['адарди', 3]
['ибрагьимдиз', 3]
['тувнайи', 3]
['биціирин', 3]
['суннат', 3]
['сяаьт', 3]
['уьлке', 3]
['улупуру', 3]
['мелзналан', 3]
['рякъяр', 3]
['гъаврикк', 3]
['гъяйизкьан', 3]
['агьалйир', 3]
['хялар', 3]
['хулариъ', 3]
['аку', 3]
['дурарик', 3]
['аьршариин', 3]
['марччлихънари', 3]
['тярифар', 3]
['мусайин', 3]
['улупнайиганси', 3]
['симеон', 3]
['аьжал', 3]
['деет', 3]
['халкьарин', 3]
['дуфнайи', 3]
['нур', 3]
['гьам', 3]
['ниятар', 3]
['ушвар', 3]
['йиціикьюд', 3]
['йис', 3]
['гафарин', 3]
['гъабхьнийи', 3]
['дисбан', 3]
['пайгъамбрин', 3]
['дигиш', 3]
['шлуси', 3]
['улупай', 3]
['кіуразаки', 3]
['апіри', 3]
['гиран', 3]
['гьа', 3]
['апіурайиган', 3]
['чвуччвун', 3]
['апібаз', 3]
['гужал', 3]
['шулайиган', 3]
['ккарагурайиган', 3]
['зав', 3]
['ув', 3]
['маттатдин', 3]
['маттат', 3]
['левий', 3]
['якьуб', 3]
['гъахуру', 3]
['инсан', 3]
['ихтиярназ', 3]
['вартіан', 3]
['гъадагъиди', 3]
['рабгъуру', 3]
['алахъуру', 3]
['ккайидар', 3]
['деъру', 3]
['даринхъа', 3]
['исайира', 3]
['жвув', 3]
['дюзди', 3]
['мархь', 3]
['ктарди', 3]
['хам', 3]
['дагъдиина', 3]
['рякъюъди', 3]
['гьюкмиинди', 3]
['кьувватниинди', 3]
['зиина', 3]
['дишла', 3]
['учіву', 3]
['удучівури', 3]
['пуб', 3]
['гьюлин', 3]
['симонди', 3]
['ярхи', 3]
['гьеле', 3]
['люткейиъ', 3]
['гъидису', 3]
['дустар', 3]
['гъирагъдихъна', 3]
['гъибтну', 3]
['гъабшиш', 3]
['макіан', 3]
['табшурмиш', 3]
['ерусалимдиан', 3]
['фарисйирна', 3]
['аьзарлуйир', 3]
['арайигъян', 3]
['хъугъвал', 3]
['рябкъюри', 3]
['чиб-чпикди', 3]
['шлихьан', 3]
['алдабгъуз', 3]
['дицдар', 3]
['гъудужв', 3]
['гучібаан', 3]
['чахъди', 3]
['наразивал', 3]
['дуфнайир', 3]
['фарисйирин', 3]
['швушв', 3]
['дисуз', 3]
['мидихъди', 3]
['йирси', 3]
['палатра', 3]
['учвра', 3]
['кюгьне', 3]
['кіулар', 3]
['фарисйирикан', 3]
['апіуранчва', 3]
['давудри', 3]
['чахъ', 3]
['гьапінуш', 3]
['уьлер', 3]
['ккуркьру', 3]
['уьбхюз', 3]
['аьлимар', 3]
['удучівуру', 3]
['вакилар', 3]
['югьанна', 3]
['рабгъури', 3]
['касиб', 3]
['даккун', 3]
['апіруган', 3]
['абйири', 3]
['зиълан', 3]
['увкан', 3]
['явуб', 3]
['ачвуз', 3]
['бурж', 3]
['буржназ', 3]
['гъянир', 3]
['жарарин', 3]
['апіидар', 3]
['ктитуру', 3]
['зигури', 3]
['гъабхьиш', 3]
['чіюрх', 3]
['хамхар', 3]
['пидива', 3]
['ужур', 3]
['ківан', 3]
['шибритіар', 3]
['улубчівиган', 3]
['йикіру', 3]
['миннат', 3]
['ккайир', 3]
['кіурза', 3]
['халкьра', 3]
['шагьрин', 3]
['вуна', 3]
['жарариз', 3]
['гъяркъдар', 3]
['гъушунчва', 3]
['тевза', 3]
['убхъури', 3]
['кіурачва', 3]
['ипіуру', 3]
['гъюб', 3]
['дахъру', 3]
['лизи', 3]
['ликарихъ', 3]
['ликариз', 3]
['макар', 3]
['ягъ', 3]
['фарисейи', 3]
['чав-чакди', 3]
['шлийи', 3]
['гьадрарикан', 3]
['мак', 3]
['хъугъували', 3]
['гъюрхну', 3]
['архаин', 3]
['бязи', 3]
['тум', 3]
['ктучівиган', 3]
['ктучіву', 3]
['аннамиш', 3]
['ебхьурайи', 3]
['гафнахъ', 3]
['гъазанмиш', 3]
['кабхьну', 3]
['адарш', 3]
['тадабгъиди', 3]
['дадана', 3]
['сирнав', 3]
['абхъру', 3]
['жинди', 3]
['чиркин', 3]
['утіубччвуру', 3]
['ярхла', 3]
['лиж', 3]
['ктибту', 3]
['чакан', 3]
['гъапінуш', 3]
['ифи', 3]
['кьялаъ', 3]
['аьлхъюри', 3]
['дибисну', 3]
['гьадушваъ', 3]
['дарапіиш', 3]
['улихьмиди', 3]
['тмундари', 3]
['хябяхъ', 3]
['агъзур', 3]
['дилигну', 3]
['нигь', 3]
['тямягьяр', 3]
['хач', 3]
['малайикарин', 3]
['мушвахь', 3]
['гьарай', 3]
['хътругъру', 3]
['насил', 3]
['мина', 3]
['багарихьди', 3]
['учвхъанди', 3]
['аьршариз', 3]
['гъулаъ', 3]
['ціа', 3]
['тіанкь', 3]
['гьивуб', 3]
['дубхьна', 3]
['йибхьайки', 3]
['хьибдияв', 3]
['суд', 3]
['учвухъ', 3]
['аммаки', 3]
['сяаьтна', 3]
['ккундувуз', 3]
['гьадгъаз', 3]
['рябкъюз', 3]
['гъябкъюндар', 3]
['ахъру', 3]
['уьлкейиан', 3]
['марфа', 3]
['йипа', 3]
['ляхнарин', 3]
['алдабгъ', 3]
['велзевулин', 3]
['ктаура', 3]
['айиті', 3]
['рябкъюру', 3]
['тахсиркар', 3]
['дапіна', 3]
['лисундин', 3]
['чіатан', 3]
['яратмиш', 3]
['жвуван', 3]
['насликан', 3]
['хъюгъиган', 3]
['ихтият', 3]
['хутілиъ', 3]
['апіидиза', 3]
['увхьан', 3]
['шулин', 3]
['лап', 3]
['гъяркъю', 3]
['лукіар', 3]
['урччвиди', 3]
['мициб', 3]
['инсафсуз', 3]
['гунагькрар', 3]
['гъачай', 3]
['хай', 3]
['аьгъдарзуз', 3]
['дилин', 3]
['йикіуз', 3]
['сарин', 3]
['гъапіиган', 3]
['деъ', 3]
['хябяхъдин', 3]
['апіурза', 3]
['шубурпири', 3]
['дарапіди', 3]
['дяви', 3]
['ярхлаъ', 3]
['варж', 3]
['дюбхнайи', 3]
['кіари', 3]
['идарачийи', 3]
['гужниинди', 3]
['жилар', 3]
['кьяппавал', 3]
['аьзабнакк', 3]
['ибрагьимди', 3]
['чвуччву', 3]
['хъугъувал', 3]
['маллйириз', 3]
['агьали', 3]
['вахтарира', 3]
['швушвар', 3]
['тувраза', 3]
['гьамцдар', 3]
['деебхьну', 3]
['аьрвалар', 3]
['узкан', 3]
['гъазанж', 3]
['лигури', 3]
['дибикінайибдин', 3]
['гъалабулугъ', 3]
['даттли', 3]
['уьъйир', 3]
['аьгъюр', 3]
['дарзуз', 3]
['ханжал', 3]
['пилатдихьна', 3]
['ккебгъну', 3]
['гъибихъундар', 3]
['гизафдари', 2]
['гъуллугъниин', 2]
['ктитну', 2]
['дикъатниинди', 2]
['аьхиризкьан', 2]
['гьамрарикан', 2]
['дибикіну', 2]
['аьгъюваларин', 2]
['малла', 2]
['табшуругъар', 2]
['бегьерсузур', 2]
['агьли', 2]
['маллйирин', 2]
['яна', 2]
['тупут', 2]
['гъяркъган', 2]
['хуш', 2]
['илтіикіиди', 2]
['абйирин', 2]
['ясдин', 2]
['малайикдиз', 2]
['хпирра', 2]
['дийигънайи', 2]
['гьаънайи', 2]
['жабраил', 2]
['чіал', 2]
['чарасуз', 2]
['удучівру', 2]
['чіат', 2]
['мюгьталди', 2]
['удучівиган', 2]
['лал', 2]
['хилин', 2]
['ишаратариинди', 2]
['йигъарилан', 2]
['шив', 2]
['вазлин', 2]
['йирхьубпи', 2]
['ваз', 2]
['хъирснайи', 2]
['гафариин', 2]
['паччагьвалин', 2]
['вухъа', 2]
['увуъ', 2]
['ямдин', 2]
['гьялак', 2]
['дупнайиб', 2]
['духьна', 2]
['лукіран', 2]
['аьжуз', 2]
['рягьим', 2]
['наслари', 2]
['кьувватлури', 2]
['илдитну', 2]
['аьжузар', 2]
['шулайидар', 2]
['абйириз', 2]
['гъапиганси', 2]
['дициб', 2]
['гъядар', 2]
['бал', 2]
['дидик', 2]
['бютюн', 2]
['гъеебхьдари', 2]
['балкан', 2]
['кюмекназ', 2]
['гъапіубси', 2]
['кьудратлур', 2]
['душмнарихьан', 2]
['марцциди', 2]
['ухь', 2]
['мучіушнаъ', 2]
['паччагьдин', 2]
['удубчівуру', 2]
['вилаятдиъ', 2]
['давуд', 2]
['улубкьуру', 2]
['сарпи', 2]
['тіунаъ', 2]
['дитру', 2]
['гъафнийи', 2]
['варишварихъанди', 2]
['гунгьариккан', 2]
['хурайи', 2]
['гъабхьнуш', 2]
['лигухьа', 2]
['иливури', 2]
['улариз', 2]
['миржид', 2]
['йигълан', 2]
['иливуру', 2]
['бахш', 2]
['деврин', 2]
['рубкьайиз', 2]
['абйир-бабари', 2]
['симеонди', 2]
['хилариина', 2]
['завалариккан', 2]
['юсуфна', 2]
['израилиъ', 2]
['себеб', 2]
['яракь', 2]
['яшнаъ', 2]
['дарши', 2]
['йигъ-йишвди', 2]
['гьудудучіври', 2]
['душвахьна', 2]
['хьувализ', 2]
['машквраз', 2]
['живан', 2]
['йигъандин', 2]
['суалар', 2]
['дадайи', 2]
['гъахьунчва', 2]
['мегер', 2]
['ахъундайи', 2]
['назаретдиз', 2]
['аллагьдизра', 2]
['гьирод', 2]
['уьлкейинна', 2]
['маллйир', 2]
['ярдан', 2]
['вуйиси', 2]
['ишая', 2]
['дару', 2]
['рябкъиди', 2]
['гьязурди', 2]
['эскрарира', 2]
['дяхинна', 2]
['дяхин', 2]
['абхьди', 2]
['ціигъ', 2]
['гафариинди', 2]
['гьякимдар', 2]
['масан', 2]
['дубхьнайи', 2]
['левийин', 2]
['мелкийин', 2]
['мелки', 2]
['маттайин', 2]
['матта', 2]
['ягьудайин', 2]
['исакьдин', 2]
['исакь', 2]
['нюгьдин', 2]
['нюгь', 2]
['чюлиз', 2]
['дибикінаки', 2]
['ялгъуз', 2]
['ягъал', 2]
['паччагьлугъар', 2]
['гьяйбат', 2]
['тувна', 2]
['явдар', 2]
['дерккру', 2]
['гьамлин', 2]
['йивуз', 2]
['уьлкейиз', 2]
['гъудужвуру', 2]
['рабгъуз', 2]
['вуйивал', 2]
['дупнайиганси', 2]
['духтир', 2]
['кафернагьумдиъ', 2]
['ляхнарикан', 2]
['абайин', 2]
['гьаундайи', 2]
['гъарзарилан', 2]
['утіурккну', 2]
['кьялгъян', 2]
['гъюдучівну', 2]
