['ил', 308]
['кіира', 14]
['чебаили', 14]
['мутагіялимтази', 14]
['гіисас', 14]
['варх', 14]
['вакіили', 13]
['вегі', 13]
['аллагь', 13]
['идбаг', 13]
['бегілара', 13]
['къаршили', 13]
['дус', 13]
['яхіъяни', 13]
['чили', 13]
['хужаим', 13]
['веціал', 13]
['сарри', 12]
['гьачам', 12]
['чеили', 12]
['секьяйда', 12]
['гъайличи', 12]
['чевкъар', 12]
['вакіиб', 12]
['дирар', 12]
['дурхъати', 12]
['чус', 12]
['илмадан', 12]
['вархли', 12]
['гьала', 12]
['ила', 12]
['бунагьуни', 12]
['мугіяллим', 12]
['ишгъуна', 12]
['касили', 12]
['арц', 12]
['гьаланачи', 12]
['мякьла', 12]
['гіямру', 12]
['илар', 11]
['биъни', 11]
['шел', 11]
['шагьарлизи', 11]
['иличила', 11]
['бикіулри', 11]
['рурси', 11]
['кайили', 11]
['арбякьун', 11]
['балагь-кьадар', 11]
['гіелавяхі', 11]
['агара', 11]
['имціали', 11]
['петрли', 11]
['илкьяйда', 11]
['балга', 10]
['хъули', 10]
['гіяхі', 10]
['камси', 10]
['сегъуна', 10]
['чевяхіси', 10]
['бируси', 10]
['рухі', 10]
['юртлизи', 10]
['гьаннала', 10]
['чузи', 10]
['барили', 10]
['узи', 10]
['чилра', 10]
['дигуси', 10]
['набчил', 10]
['далли', 10]
['агарси', 10]
['мерличи', 10]
['палтар', 10]
['мутагіялимтани', 10]
['хіушара', 10]
['барх', 10]
['кьумурла', 10]
['аричи', 9]
['секіалра', 9]
['бикіар', 9]
['ахъси', 9]
['барибси', 9]
['хіябал', 9]
['у', 9]
['кьяйда', 9]
['адамтира', 9]
['мягіна', 9]
['илдачил', 9]
['адамтала', 9]
['жузлизиб', 9]
['хіушанира', 9]
['бархьли', 9]
['ахіенси', 9]
['адамра', 9]
['леври', 9]
['гіелавад', 9]
['тяп', 9]
['ванзаличи', 9]
['чули', 9]
['балули', 9]
['арякьи', 9]
['хужаимли', 9]
['шизиб', 8]
['чебла', 8]
['ургаб', 8]
['хапли', 8]
['малаикли', 8]
['рухіли', 8]
['чучи', 8]
['халкьра', 8]
['нура', 8]
['калун', 8]
['дурути', 8]
['дурибти', 8]
['ціакь', 8]
['вегіли', 8]
['бархьиб', 8]
['бакьили', 8]
['иличил', 8]
['илра', 8]
['сайси', 8]
['даудла', 8]
['марли', 8]
['бурес', 8]
['пача', 8]
['виъни', 8]
['бурили', 8]
['шала', 8]
['бакіибти', 8]
['кьаці', 8]
['бура', 8]
['ишаб', 8]
['адамла', 8]
['бакіили', 8]
['илкьяйдали', 8]
['сагати', 8]
['мутагіялим', 8]
['леб', 8]
['вакіес', 8]
['баягъи', 8]
['палтарра', 8]
['дунъяличи', 8]
['арикарли', 8]
['итди', 8]
['дудешли', 8]
['аричила', 7]
['хъулив', 7]
['заманала', 7]
['набзи', 7]
['тіамаличил', 7]
['гъайла', 7]
['тіама', 7]
['валли', 7]
['бегіти', 7]
['лебдеш', 7]
['гіяламатла', 7]
['халкьлис', 7]
['берцуди', 7]
['гьуни', 7]
['гьуникад', 7]
['чіянкі', 7]
['мер', 7]
['хили', 7]
['вакіибси', 7]
['ишбархіи', 7]
['вакіибхіели', 7]
['бирули', 7]
['белкіи', 7]
['рахли', 7]
['ягьуда', 7]
['виадли', 7]
['дакьили', 7]
['жинд', 7]
['якьубра', 7]
['дубла', 7]
['петр', 7]
['бунагькар', 7]
['балли', 7]
['адамлизи', 7]
['бурая', 7]
['лебси', 7]
['чилилра', 7]
['гіисачил', 7]
['диирая', 7]
['луга', 7]
['хіейрар', 7]
['вайси', 7]
['юрт', 7]
['калунти', 7]
['бекі', 7]
['гіелабад', 7]
['халкьли', 7]
['цагьачам', 7]
['дигули', 7]
['ихтияр', 7]
['чидил', 7]
['хіеръили', 7]
['хіябэсил', 7]
['шилизи', 7]
['хіулби', 7]
['уршили', 7]
['адамтани', 7]
['мурталра', 7]
['пилатли', 7]
['ярусалим', 7]
['хіябтіерхьаличи', 7]
['закария', 6]
['балуй', 6]
['израилла', 6]
['аллагьличи', 6]
['багьес', 6]
['гьалар', 6]
['гибси', 6]
['ишди', 6]
['вархьибси', 6]
['мариямли', 6]
['неш', 6]
['баибхіели', 6]
['бакіиб', 6]
['нушачи', 6]
['кьяшми', 6]
['бекідеш', 6]
['баргес', 6]
['хіебиуб', 6]
['адамтас', 6]
['къалабали', 6]
['секіайчила', 6]
['низамлизиб', 6]
['левли', 6]
['барахъес', 6]
['кили', 6]
['бекілил', 6]
['шагьар', 6]
['дудешла', 6]
['идбагла', 6]
['ихди', 6]
['гіяхіти', 6]
['ціедеш', 6]
['беркала', 6]
['лявкьуси', 6]
['хіечи', 6]
['илбисли', 6]
['иладли', 6]
['даимбариб', 6]
['ціакьти', 6]
['сегъуналра', 6]
['аціиб', 6]
['някъ', 6]
['дунъяличила', 6]
['симон', 6]
['петрра', 6]
['яхіъяра', 6]
['къаякъ', 6]
['тур', 6]
['юлдашуни', 6]
['гіялимтира', 6]
['бариб', 6]
['айзурли', 6]
['жибарили', 6]
['мутагіялимти', 6]
['виалли', 6]
['гіяхіли', 6]
['жан', 6]
['диреная', 6]
['хіушабра', 6]
['сукъур', 6]
['вархьиб', 6]
['дукьеная', 6]
['багьурли', 6]
['чеэс', 6]
['чариубхіели', 6]
['хъарбариб', 6]
['гіяхіил', 6]
['гіягінити', 6]
['аркьуси', 6]
['чариубли', 6]
['даимти', 6]
['викіулра', 6]
['хіеръая', 6]
['къаравашуни', 6]
['ахіенра', 6]
['хіябличи', 6]
['инжирла', 6]
['гіяйиб', 6]
['къуруш', 6]
['иличиб', 6]
['давлала', 6]
['гьалахили', 5]
['гьирад', 5]
['иудеяла', 5]
['вируси', 5]
['ахіенри', 5]
['гіямрура', 5]
['закарияни', 5]
['аціили', 5]
['урухмакіуд', 5]
['ура', 5]
['бурахъес', 5]
['хіерлири', 5]
['чариуб', 5]
['набчила', 5]
['юсуп', 5]
['мариям', 5]
['адамтазирад', 5]
['ибрагьимла', 5]
['уршилис', 5]
['бакьибси', 5]
['арикарлис', 5]
['хіукму', 5]
['дуги', 5]
['мякьлаб', 5]
['гіелабяхі', 5]
['бедибси', 5]
['паргъатли', 5]
['гіисачила', 5]
['пасхала', 5]
['бархіила', 5]
['хіядурли', 5]
['яхіъязи', 5]
['лебгіеб', 5]
['лебталалра', 5]
['итини', 5]
['бегіла', 5]
['дунъяла', 5]
['ари', 5]
['хъа', 5]
['цалра', 5]
['киласала', 5]
['чизилра', 5]
['шарала', 5]
['илдазибад', 5]
['бакіахъес', 5]
['тиладиухъун', 5]
['сунечил', 5]
['фарисейтира', 5]
['ца-чумал', 5]
['чебиули', 5]
['ахіенну', 5]
['илдазивад', 5]
['чягъирра', 5]
['вакилти', 5]
['бухіна', 5]
['шин', 5]
['даршла', 5]
['чарбиубхіели', 5]
['ургав', 5]
['сайрив', 5]
['диъни', 5]
['кьаціли', 5]
['шагьарлизир', 5]
['бархли', 5]
['халалгъуна', 5]
['буюрчили', 5]
['гье', 5]
['дакіили', 5]
['хіебирар', 5]
['гъамбиубли', 5]
['цацабехіти', 5]
['бархіехъла', 5]
['дугьабизур', 5]
['хіебиалли', 5]
['хіушачил', 5]
['дирхаирая', 5]
['идбагунира', 5]
['шайчи', 5]
['кариили', 5]
['бурагу', 5]
['юлдаш', 5]
['дарх', 5]
['арбякьи', 5]
['шалали', 5]
['фарисей', 5]
['ахіену', 5]
['мерани', 5]
['цали', 5]
['мурт', 5]
['гіякьлума', 5]
['эмхіе', 5]
['савли', 5]
['хъали', 5]
['бетахъибси', 5]
['вявъиб', 5]
['гъамли', 5]
['елеон', 5]
['хабурти', 4]
['нунира', 4]
['бурни', 4]
['лебли', 4]
['кіелра', 4]
['хіясибли', 4]
['тіемла', 4]
['малаик', 4]
['мерла', 4]
['уршира', 4]
['хіялалси', 4]
['марси', 4]
['вархьибсира', 4]
['бетарар', 4]
['сабаайчи', 4]
['дуравхъи', 4]
['дирули', 4]
['аричини', 4]
['назарет', 4]
['акіубси', 4]
['адамлис', 4]
['хіечил', 4]
['ишини', 4]
['ветарар', 4]
['пачала', 4]
['илира', 4]
['закарияла', 4]
['гіядатла', 4]
['ціакьси', 4]
['агьлу', 4]
['дудешлизи', 4]
['идбагунала', 4]
['бурхіни', 4]
['виштіал', 4]
['бебкіала', 4]
['римла', 4]
['чебяхіси', 4]
['шагьарлизив', 4]
['зубрачи', 4]
['даширая', 4]
['ардякьи', 4]
['бакіибхіели', 4]
['баргиб', 4]
['чеибхіели', 4]
['гьалабал', 4]
['ярусалимлизив', 4]
['гіисара', 4]
['нешра', 4]
['лишан', 4]
['пикруми', 4]
['лерри', 4]
['верхіел', 4]
['гъамриубли', 4]
['чарбиуб', 4]
['ахъили', 4]
['викіулри', 4]
['умціули', 4]
['сецад', 4]
['вягіза', 4]
['дирухіели', 4]
['гьаналра', 4]
['лерсини', 4]
['узила', 4]
['лерти', 4]
['авлахъличи', 4]
['арукиб', 4]
['бирен', 4]
['уди', 4]
['илбис', 4]
['рухіла', 4]
['жуз', 4]
['хіулбала', 4]
['кайиб', 4]
['излумазибад', 4]
['цализи-ца', 4]
['алавчарти', 4]
['хіебурахъес', 4]
['лехіахъес', 4]
['гъамиубли', 4]
['кьукьмусра', 4]
['викили', 4]
['гіелабадли', 4]
['кьявгала', 4]
['чарх', 4]
['укьенну', 4]
['аммаки', 4]
['дигути', 4]
['баргили', 4]
['бирхауди', 4]
['хасаркадатурти', 4]
['бурчан', 4]
['биру', 4]
['вирара', 4]
['ляркьян', 4]
['буралара', 4]
['бархіира', 4]
['някъла', 4]
['вакил', 4]
['тіалаббарили', 4]
['изай', 4]
['илабти', 4]
['илизиб', 4]
['диадалли', 4]
['дулгеная', 4]
['хіуйзибси', 4]
['вайти', 4]
['адамличи', 4]
['лехіихъули', 4]
['асубирар', 4]
['бекіла', 4]
['дурили', 4]
['бекіли', 4]
['пикрили', 4]
['лябкьути', 4]
['халкьличи', 4]
['бархьибти', 4]
['мутагіялимтира', 4]
['бебкіибти', 4]
['ишкьяйда', 4]
['хъарбарибси', 4]
['гіеларадли', 4]
['кьяшмачи', 4]
['ахъес', 4]
['ласяхъили', 4]
['бурули', 4]
['гьунила', 4]
['кадикибти', 4]
['агарти', 4]
['гьандуцес', 4]
['мутагіялимтачил', 4]
['вахъхіи', 4]
['бетаурси', 4]
['анцібукь', 4]
['юх', 4]
['юртла', 4]
['буцили', 4]
['каленая', 4]
['илдира', 4]
['балгара', 4]
['уршиличи', 4]
['агь', 4]
['бетаур', 4]
['хіушазивад', 4]
['архія', 4]
['нагагьладан', 4]
['дугьабизурли', 4]
['саял', 4]
['витили', 4]
['марфа', 4]
['нушара', 4]
['хіушазивадли', 4]
['чила', 4]
['гьатіиралра', 4]
['талихічебти', 4]
['гіяламат', 4]
['чархра', 4]
['вари', 4]
['мискинтас', 4]
['фарисейти', 4]
['гіялимти', 4]
['бикайчи', 4]
['мяхікамли', 4]
['давла', 4]
['сецадла', 4]
['адамтачи', 4]
['танбихі', 4]
['чебаибхіели', 4]
['къайгъибарая', 4]
['гіягінибиркур', 4]
['кайи', 4]
['ишав', 4]
['чарбатур', 4]
['илизира', 4]
['марлира', 4]
['уркіеціибарагу', 4]
['арку', 4]
['арилизи', 4]
['суал', 4]
['дура', 4]
['анхъла', 4]
['пачас', 4]
['ахіекіубли', 4]
['пасха', 4]
['хъаба', 4]
['жаназа', 4]
['жузла', 3]
['мурад', 3]
['детаурти', 3]
['анцібукьлумачила', 3]
['таманни', 3]
['бизахъан', 3]
['хьунулра', 3]
['бирухіели', 3]
['гіядат', 3]
['елизаветани', 3]
['харидеш', 3]
['жабраил', 3]
['икіини', 3]
['дугьайзур', 3]
['чевяхісила', 3]
['якьубла', 3]
['даимси', 3]
['пачадеш', 3]
['ахир', 3]
['биэс', 3]
['сарра', 3]
['тяхіярли', 3]
['салам', 3]
['канилавси', 3]
['дурхіяра', 3]
['хьурадиуб', 3]
['чеввикіибси', 3]
['разили', 3]
['лебгіебал', 3]
['уркіеціи', 3]
['сабира', 3]
['давлачебти', 3]
['хіебедили', 3]
['илисра', 3]
['нешли', 3]
['тамашакабиуб', 3]
['урухбиуб', 3]
['гьарра', 3]
['азаддеш', 3]
['наслулизивад', 3]
['сабти', 3]
['гіямрула', 3]
['улкала', 3]
['дурабухъун', 3]
['чарбухъун', 3]
['шагьарлизивадси', 3]
['дурусли', 3]
['кайхьиб', 3]
['чевяхіирули', 3]
['зубрала', 3]
['багьарбиуб', 3]
['деза', 3]
['биаб', 3]
['зубрачивси', 3]
['ванзаличир', 3]
['тамашабиуб', 3]
['гьарилра', 3]
['цаибил', 3]
['илзамана', 3]
['хьурадиубси', 3]
['симеонни', 3]
['арила', 3]
['хіулбани', 3]
['чебаира', 3]
['дудешра', 3]
['биахъес', 3]
['дарили', 3]
['галилеялизи', 3]
['башутири', 3]
['лявкьули', 3]
['ургар', 3]
['умціес', 3]
['хіергъиб', 3]
['секіайзив', 3]
['дигира', 3]
['гьирадли', 3]
['дерцахъес', 3]
['хіядурбарая', 3]
['пукьнира', 3]
['миціирси', 3]
['базахъес', 3]
['башути', 3]
['челябкьуси', 3]
['пикри', 3]
['уркіила', 3]
['ціализи', 3]
['гіягінилив', 3]
['халал', 3]
['вакіахъес', 3]
['лайикьли', 3]
['бекілилра', 3]
['че', 3]
['шизив', 3]
['закибад', 3]
['нухі', 3]
['гіергъира', 3]
['къаркъализи', 3]
['хіерируси', 3]
['давлара', 3]
['дирахъес', 3]
['лугас', 3]
['набзиб', 3]
['ишадли', 3]
['чарухъун', 3]
['тіинтібиуб', 3]
['лебтанилра', 3]
['вехіихьиб', 3]
['белкіунси', 3]
['биубсиличила', 3]
['бара', 3]
['улкализи', 3]
['гашира', 3]
['илияс', 3]
['гамъа', 3]
['уцили', 3]
['белшунси', 3]
['ціакьличил', 3]
['назаретлан', 3]
['буюрбариб', 3]
['адамлизибад', 3]
['илизибад', 3]
['тамашабиубли', 3]
['илцад', 3]
['симонна', 3]
['хъубеш', 3]
['тиладибариб', 3]
['дурадухъи', 3]
['чіумали', 3]
['вяхіиуб', 3]
['турани', 3]
['къаякъличи', 3]
['гіевугьни', 3]
['симоннизи', 3]
['шиннизи', 3]
['тиладибирулра', 3]
['арукьен', 3]
['симонра', 3]
['уркібухъун', 3]
['дархьдатурли', 3]
['левси', 3]
['гачикили', 3]
['садакьа', 3]
['някъби-кьяшми', 3]
['инсан', 3]
['чукурбикибти', 3]
['бахъдешли', 3]
['имкан', 3]
['сайсира', 3]
['айзину', 3]
['бусягіят', 3]
['баладая', 3]
['лебтазилра', 3]
['айзур', 3]
['уркібухъи', 3]
['кайибси', 3]
['ваши', 3]
['хіурматлис', 3]
['сяхібат', 3]
['бунагькарти', 3]
['фарисейтала', 3]
['бурхінира', 3]
['дуркьа', 3]
['викіар', 3]
['хъу', 3]
['аркьухіели', 3]
['дедиб', 3]
['буруси', 3]
['вякьун', 3]
['берубси', 3]
['вегілизи', 3]
['гіясибиубли', 3]
['мутагіялимтала', 3]
['жиндрала', 3]
['сая', 3]
['мутагіялимтачи', 3]
['гъайикіесвяхіиб', 3]
['талихічертирая', 3]
['диалли', 3]
['зубрачиб', 3]
['идбагунас', 3]
['идбагуни', 3]
['итил', 3]
['дигичевли', 3]
['дигахъу', 3]
['баркалла', 3]
['чеблалис', 3]
['дирудая', 3]
['гіяхібаркь', 3]
['гіяйибти', 3]
['пис', 3]
['зехни', 3]
['викіес', 3]
['хіял', 3]
['балуси', 3]
['тіутіи', 3]
['вашуси', 3]
['кьасбарили', 3]
['жугьутіунала', 3]
['тиладибухъун', 3]
['лайикьси', 3]
['гъамиубхіели', 3]
['бархьили', 3]
['цархіилла', 3]
['цализи', 3]
['шагьарла', 3]
['цайли-ца', 3]
['нешличи', 3]
['арикарлизи', 3]
['хіердикіес', 3]
['хьарбаахъес', 3]
['бирути', 3]
['сунечила', 3]
['хіечив', 3]
['цугбуциша', 3]
['дикіулрая', 3]
['хіердикіеная', 3]
['шуціали', 3]
['чеблуми', 3]
['лерал', 3]
['бурис', 3]
['ишала', 3]
['камли', 3]
['шагьуртазира', 3]
['шимазира', 3]
['цархіилтира', 3]
['сабухъ', 3]
['гъайра', 3]
['бакьаб', 3]
['анцібукьуни', 3]
['кавлан', 3]
['гьатіира', 3]
['узбира', 3]
['дубличи', 3]
['шинни', 3]
['дирхни', 3]
['саяра', 3]
['агарли', 3]
['вашулри', 3]
['нушази', 3]
['цурмала', 3]
['хіенкь', 3]
['биубси', 3]
['дурайули', 3]
['чарвариб', 3]
['ватихьиб', 3]
['хіи', 3]
['ухіна', 3]
['бирахъес', 3]
['дурайахъес', 3]
['тавра', 3]
['гьалабла', 3]
['кьаціра', 3]
['бикіули', 3]
['цабехі', 3]
['хъарбарили', 3]
['лебтачилра', 3]
['малаикунала', 3]
['чебаиб', 3]
['ишар', 3]
['гіергъила', 3]
['ведиб', 3]
['ведлуга', 3]
['чихъали', 3]
['нушачил', 3]
['лер', 3]
['пурбанбара', 3]
['вякьи', 3]
['верхіціану', 3]
['бутіиб', 3]
['чисалра', 3]
['дикіеная', 3]
['сабаибхіели', 3]
['балагьуни', 3]
['кьиямала', 3]
['гьанбиркулив', 3]
['разидеш', 3]
['зубралара', 3]
['чедиути', 3]
['кабизахъес', 3]
['киб', 3]
['хужаимлис', 3]
['хіунира', 3]
['хіянчи', 3]
['мутагіялимли', 3]
['га', 3]
['гес', 3]
['умціеная', 3]
['бедес', 3]
['виасли', 3]
['дурухіели', 3]
['хіябра', 3]
['гіягінили', 3]
['хіерудибарая', 3]
['сабгу', 3]
['бутіа', 3]
['гіягінисири', 3]
['бегітани', 3]
['кабуршу', 3]
['жавабкардешра', 3]
['абаціес', 3]
['калунси', 3]
['мас', 3]
['лерли', 3]
['давлачев', 3]
['пикриухъун', 3]
['дакіибти', 3]
['ризкьи', 3]
['кьукья', 3]
['къаравашла', 3]
['буюрчи', 3]
['жявли', 3]
['дигулра', 3]
['даршудеш', 3]
['дудешличи', 3]
['бирарал', 3]
['масала', 3]
['арукили', 3]
['хіечибси', 3]
['кіялгія', 3]
['тіутіила', 3]
['даргес', 3]
['угьулри', 3]
['унц', 3]
['гьела', 3]
['селичил', 3]
['биранти', 3]
['дунъялизиб', 3]
['хіербикіулри', 3]
['итра', 3]
['вируд', 3]
['хіябэсиллира', 3]
['бучили', 3]
['чили-биалра', 3]
['даршал', 3]
['беркеси', 3]
['дуціли', 3]
['ціерхьси', 3]
['ма', 3]
['бихіяхъес', 3]
['хъалибарглис', 3]
['мардеш', 3]
['мискин', 3]
['лазар', 3]
['ибрагьимли', 3]
['илдазивадли', 3]
['ахіенрив', 3]
['бархьдеш', 3]
['тяйдили', 3]
['бирхъули', 3]
['закхей', 3]
['сасили', 3]
['дариб', 3]
['пачани', 3]
['виънира', 3]
['баракатла', 3]
['кашишунасра', 3]
['гіялимтасра', 3]
['дигулри', 3]
['бархьси', 3]
['вебкіили', 3]
['верхіелра', 3]
['валлагь', 3]
['дагъа', 3]
['валуси', 3]
['къачагъ', 3]
['пилатличи', 3]
['биънира', 2]
['хіурматчевси', 2]
['алкіниличила', 2]
['пачали', 2]
['буили', 2]
['кьамлизирадси', 2]
['елизавета', 2]
['амруби', 2]
['жугъан', 2]
['хъулибси', 2]
['бузуси', 2]
['кьурбанбарибси', 2]
['шайчив', 2]
['кьабулбариб', 2]
['бирхьид', 2]
['чягъир', 2]
['черяхіти', 2]
['хіекьли', 2]
['гьавиубли', 2]
['ціакьлара', 2]
['уркіби', 2]
['гьуйчи', 2]
['малаиклизи', 2]
['баили', 2]
['хіейуб', 2]
['хъулиб', 2]
['лишанти', 2]
['баз', 2]
['набчирадли', 2]
['мариямлизи', 2]
['урегэсил', 2]
['галилеялизибси', 2]
['уличилси', 2]
['рурсиличи', 2]
['рурсилис', 2]
['черрикіибси', 2]
['мягінала', 2]
['сарира', 2]
['саррину', 2]
['минала', 2]
['дауд', 2]
['бедлуга', 2]
['наслулис', 2]
['кадиціур', 2]
['дурхіялис', 2]
['диаб', 2]
['елизаветас', 2]
['вявра', 2]
['арикарла', 2]
['бурибсиличи', 2]
['мубаракирули', 2]
['берцудила', 2]
['талихічерси', 2]
['кьудратла', 2]
['ціакьла', 2]
['гьаб-убла', 2]
['наслула', 2]
['гьанбикили', 2]
['кали', 2]
['акіни', 2]
['варкьес', 2]
['варкьиб', 2]
['дудешлис', 2]
['агарагу', 2]
['биштіаси', 2]
['тиладибарили', 2]
['улгесвяхіиб', 2]
['унруби', 2]
['викіусири', 2]
['дурули', 2]
['вакіибсира', 2]
['жявси', 2]
['вягіда', 2]
['уруххіекіули', 2]
['азадли', 2]
['диннис', 2]
['диахъес', 2]
['ветаруд', 2]
['кабихьес', 2]
['биркур', 2]
['бунагьунира', 2]
['халакайулри', 2]
['авлахъличив', 2]
['хіерирулри', 2]
['белкіахъес', 2]
['дирес', 2]
['гелешмеш', 2]
['гіяхілала', 2]
['юртлизиб', 2]
['малаикра', 2]
['урухмайрудая', 2]
['тіенила', 2]
['дезна', 2]
['чихъ', 2]
['цализи-цали', 2]
['мариямра', 2]
['адамтази', 2]
['дурхіяла', 2]
['черкад', 2]
['дакьибти', 2]
['гехіел', 2]
['канилав', 2]
['мусани', 2]
['кабихьибси', 2]
['симеон', 2]
['израиллис', 2]
['кумекличи', 2]
['хіерси', 2]
['някъбази', 2]
['лагъ', 2]
['ухуси', 2]
['дурутачи', 2]
['тамашакабирули', 2]
['кайхьунси', 2]
['ахъбирар', 2]
['илтяхіярличил', 2]
['гамъали', 2]
['риублири', 2]
['дубра', 2]
['хіерти', 2]
['леблизилра', 2]
['назаретлизи', 2]
['байрамличи', 2]
['кални', 2]
['хіясибалра', 2]
['илигіиб', 2]
['чарбиубли', 2]
['варгес', 2]
['варгибси', 2]
['урга', 2]
['хъайгіив', 2]
['гіякьлура', 2]
['имціадикіулри', 2]
['пилат', 2]
['авлахъличиб', 2]
['дугьабизахъес', 2]
['чедиверхур', 2]
['гіисайя', 2]
['жаннис', 2]
['дерцес', 2]
['ибрагьим', 2]
['пикрира', 2]
['галга', 2]
['хіева', 2]
['бурчантанира', 2]
['бариша', 2]
['имціаси', 2]
['бургъантани', 2]
['ахіенара', 2]
['башулри', 2]
['гіелавадли', 2]
['итала', 2]
['хіергус', 2]
['сабну', 2]
['анкіи', 2]
['калкьа', 2]
['тіинтібирули', 2]
['базахъили', 2]
['гьаргдиуб', 2]
['юсупла', 2]
['матат', 2]
['леви', 2]
['малхи', 2]
['матати', 2]
['кинан', 2]
['къадагъасиличи', 2]
['чарухъунхіели', 2]
['бухінаб', 2]
['ахъихіи', 2]
['чедаахъиб', 2]
['дедес', 2]
['жузлизибра', 2]
['арухили', 2]
['верцахъес', 2]
['хъарбиру', 2]
['хіиллакар', 2]
['киласабазиб', 2]
['багьахъесра', 2]
['бурахъесра', 2]
['киласализибти', 2]
['леблилра', 2]
['гьайгьайра', 2]
['тухтур', 2]
['сагъварес', 2]
['капернаумлизиб', 2]
['байхъала', 2]
['хіебарили', 2]
['израиллизиб', 2]
['хьунри', 2]
['илдазирадли', 2]
['гъамихіибси', 2]
['кьявга', 2]
['бирутири', 2]
['дубурла', 2]
['арухиб', 2]
['капернаум', 2]
['гіякьлула', 2]
['жиндралаиубси', 2]
['вяхъибси', 2]
['тамашала', 2]
['кумекбарахъес', 2]
['изала', 2]
['журала', 2]
['буцибти', 2]
['илбисуни', 2]
['балулри', 2]
['къайгъилизибикиб', 2]
['вягізурти', 2]
['жибарни', 2]
['гъамси', 2]
['гьарахъли', 2]
['чедаиб', 2]
['айили', 2]
['дубличибад', 2]
['тамандиубхіели', 2]
['цакьадар', 2]
['букили', 2]
['бялихъуни', 2]
['ита', 2]
['симонни', 2]
['абзур', 2]
['дузули', 2]
['туранира', 2]
['някъба', 2]
['бархти', 2]
['дурасиб', 2]
['кьаркьала', 2]
['дигулрану', 2]
['беда', 2]
['лехібизес', 2]
['кумек', 2]
['гьаман', 2]
['галилеялара', 2]
['шимазибад', 2]
['кьуват', 2]
['хіедузуси', 2]
['ганзиличи', 2]
['хіебаргили', 2]
['байла', 2]
['хасардалтес', 2]
['илдигъунти', 2]
['дашути', 2]
['бурушра', 2]
['дезаикіули', 2]
['хіяккабизур', 2]
['бикіутири', 2]
['левий', 2]
['лугіилизиб', 2]
['бурчантира', 2]
['яхіъяла', 2]
['чучил', 2]
['декіа', 2]
['баралли', 2]
['сагаси', 2]
['тіагьнагіи', 2]
['чягъирли', 2]
['тіагьнира', 2]
['аркьян', 2]
['бархіилара', 2]
['анкіила', 2]
['фарисейтани', 2]
['бирес', 2]
['барибал', 2]
['суненира', 2]
['адамтасра', 2]
['гіяйиблаварес', 2]
['дигіянали', 2]
['хіеруди', 2]
['бирулри', 2]
['кьас', 2]
