['пуная', 303]
['агъаф', 8]
['гьавайикес', 8]
['бахттлу', 8]
['ківал', 8]
['гихъас', 8]
['паччагьди', 8]
['алийина', 8]
['ерусалимдиъ', 8]
['халкьдин', 8]
['пасхайин', 8]
['чу', 8]
['гьете', 8]
['гіучіуна-гіайчіва', 8]
['іелеф', 8]
['идехаб', 8]
['мишттин', 8]
['шагьурдиди', 8]
['шейтіанди', 8]
['сакин', 8]
['миннат', 8]
['іелимар', 8]
['гагьди', 8]
['чвакес', 8]
['кканчин', 8]
['емишар', 8]
['унихьуна', 8]
['кьабахъай', 8]
['эессин', 8]
['ударар', 8]
['джилилди', 8]
['нае', 8]
['хіисаб', 8]
['гіезабарикк', 8]
['хьибудпе', 8]
['инсанна', 8]
['ученикар', 8]
['кіиркіа', 8]
['тебур', 8]
['ичира', 8]
['хъучадиная', 7]
['ниъ', 7]
['унихьуная', 7]
['хьира', 7]
['алихьуна', 7]
['іизраилдин', 7]
['халкьдигіас', 7]
['юрківар', 7]
['аяттар', 7]
['девей', 7]
['гіифу', 7]
['гишттин', 7]
['ваъ', 7]
['тагьа', 7]
['кей', 7]
['лин', 7]
['кеяттар', 7]
['иджвелар', 7]
['хьибу', 7]
['алихьас', 7]
['дадас', 7]
['рази', 7]
['джаллабурис', 7]
['алхьуная', 7]
['аркьаяф', 7]
['икіуна', 7]
['файдина', 7]
['алихьуная', 7]
['закуниъ', 7]
['ахтт', 7]
['аме', 7]
['гьемишан', 7]
['экьуная', 7]
['агвасе', 7]
['адесе', 7]
['иблиса', 7]
['зафас', 7]
['гьинас', 7]
['іисайихъас', 7]
['тегіриф', 7]
['гагь', 7]
['лекарикк', 7]
['ду', 7]
['гъилиъ', 7]
['вакилар', 7]
['симон', 7]
['ученикара', 7]
['фачи', 7]
['ирціанде', 7]
['майит', 7]
['кунар', 7]
['ученик', 7]
['вартт', 7]
['аргвай', 7]
['вевер', 7]
['вакилари', 7]
['ягъас', 7]
['чвахъай', 7]
['рекъди', 7]
['пичин', 7]
['захария', 6]
['малайик', 6]
['гъасе', 6]
['гьеме', 6]
['хулаас', 6]
['амур', 6]
['вахъай', 6]
['гьемишанди', 6]
['гашила', 6]
['хъучадегуна', 6]
['ухіасе', 6]
['кканеф', 6]
['нур', 6]
['буюрмиш', 6]
['атуная', 6]
['аллагьдисра', 6]
['мусайин', 6]
['файдиная', 6]
['арайи', 6]
['миштти', 6]
['захъас', 6]
['гьава', 6]
['фикьуна', 6]
['тахсир', 6]
['китабариъ', 6]
['ликіинаттар', 6]
['гафарил', 6]
['ягъари', 6]
['гьараяр', 6]
['гъилар', 6]
['учіуна', 6]
['атуна', 6]
['хьунаф', 6]
['алди', 6]
['хъугъувел', 6]
['фикирар', 6]
['ушугуна', 6]
['гьетегуна', 6]
['сайира', 6]
['іуьтіанас', 6]
['іайвел', 6]
['акьасттава', 6]
['агь', 6]
['кіуранил', 6]
['аячин', 6]
['шагьурдиас', 6]
['іегвал', 6]
['удигьай', 6]
['мис', 6]
['кеяф', 6]
['бурдж', 6]
['паччагьвелдихъас', 6]
['ми', 6]
['кунара', 6]
['іеламат', 6]
['хьучин', 6]
['хардж', 6]
['зак', 6]
['хьуне', 6]
['вакиларис', 6]
['верегуна', 6]
['экьвас', 6]
['хіезурди', 6]
['акьухаб', 6]
['неч', 6]
['чваалди', 6]
['чваал', 6]
['багу', 6]
['кіе', 6]
['девлетар', 6]
['лукіу', 6]
['ерусалим', 6]
['йиціу', 6]
['удигьра', 6]
['аятти', 6]
['къемч', 6]
['хумбар', 6]
['юлайиъ', 5]
['гебурихъ', 5]
['багулихъ', 5]
['дагіай', 5]
['улиъ', 5]
['ихьасе', 5]
['алиянас', 5]
['аларкьвасе', 5]
['гъургъас', 5]
['акьуф', 5]
['фуниъ', 5]
['заалас', 5]
['къакъ', 5]
['ваалди', 5]
['гьеле', 5]
['руьхіди', 5]
['гуджлу', 5]
['уджуз', 5]
['йине', 5]
['нан', 5]
['чіал', 5]
['хіекьданди', 5]
['рекъ', 5]
['къумариъ', 5]
['варха', 5]
['удигьди', 5]
['сакинди', 5]
['ами', 5]
['гьучушуна', 5]
['мебур', 5]
['ягъди', 5]
['руцай', 5]
['инсанарисра', 5]
['яхіъяйис', 5]
['сес', 5]
['ибригьим', 5]
['айчин', 5]
['фаша', 5]
['магъа', 5]
['эгьан', 5]
['завариас', 5]
['иблис', 5]
['веяф', 5]
['кьвакьварилди', 5]
['хулариъ', 5]
['илйа', 5]
['гебурикес', 5]
['гебуригіас', 5]
['дерейиъ', 5]
['ціа', 5]
['мукьуйиди', 5]
['балугъар', 5]
['айчіуна', 5]
['лодкайиъ', 5]
['тич', 5]
['ккиркіугуна', 5]
['фацанас', 5]
['вафас', 5]
['хъуттурфанас', 5]
['ерусалимдиас', 5]
['іелимари', 5]
['инсанара', 5]
['іелди-ухай', 5]
['герек', 5]
['ухіас', 5]
['кьаті', 5]
['ачушуна', 5]
['хіуьрджал', 5]
['алгъузуна', 5]
['ягьуда', 5]
['элхъенди', 5]
['заварил', 5]
['душманар', 5]
['аркьаттарис', 5]
['чвасра', 5]
['багварихъас', 5]
['сукъур', 5]
['гъас', 5]
['эскерарин', 5]
['кканве', 5]
['лайикьлу', 5]
['сайис', 5]
['захъ', 5]
['хіекь', 5]
['лекар', 5]
['манат', 5]
['хьед', 5]
['ухіуне', 5]
['чукь', 5]
['алтухъди', 5]
['мегіна', 5]
['лампа', 5]
['чуппар', 5]
['тин', 5]
['сайифасра', 5]
['гьучадина', 5]
['керхьуна', 5]
['ягіайдава', 5]
['иджи', 5]
['іисайигьди', 5]
['акьучин', 5]
['самари', 5]
['іелима', 5]
['белекин', 5]
['гьинан', 5]
['эхіттибар', 5]
['аркьаттар', 5]
['гьа', 5]
['чунна', 5]
['мус', 5]
['алтухъ', 5]
['дерейиас', 5]
['хабарди', 4]
['зунна', 4]
['акьунаттар', 4]
['ирод', 4]
['захарияйин', 4]
['элизаветта', 4]
['іудара', 4]
['ихьуная', 4]
['шадвел', 4]
['шиниккварис', 4]
['гьикунафе', 4]
['іебаб', 4]
['петтар', 4]
['вахттунилас', 4]
['джин', 4]
['акьугуна', 4]
['фуни', 4]
['салам', 4]
['алихьасе', 4]
['якьубан', 4]
['аллагьдифас', 4]
['элизаветтайис', 4]
['гъургъуна', 4]
['заал', 4]
['акьухіела', 4]
['аяттарис', 4]
['дегьен', 4]
['лишттин', 4]
['учифас', 4]
['атасе', 4]
['китабиъ', 4]
['джаллабур', 4]
['хіуриас', 4]
['вахттар', 4]
['садпе', 4]
['икіуная', 4]
['ахьуна', 4]
['хіуьппехъенар', 4]
['малайикар', 4]
['дуьгіебура', 4]
['див', 4]
['учіуная', 4]
['джикіиная', 4]
['ягъалас', 4]
['хуна', 4]
['агуне', 4]
['дадна', 4]
['гъайшасе', 4]
['ери', 4]
['иса', 4]
['гебурил', 4]
['адавуйив', 4]
['дадан', 4]
['римдин', 4]
['акьурай', 4]
['инсанарифас', 4]
['ирода', 4]
['гилди', 4]
['ккане', 4]
['леви', 4]
['гаш', 4]
['дуьнйайин', 4]
['аду', 4]
['вахттунисттегьен', 4]
['гъайшиная', 4]
['акьунаф', 4]
['файшуная', 4]
['пуч', 4]
['адинаф', 4]
['ягіая', 4]
['гиас', 4]
['дакьуна', 4]
['чалар', 4]
['гик', 4]
['вахъ', 4]
['атас', 4]
['дахьуна', 4]
['фарисеярина', 4]
['ягіархьуна', 4]
['фиттихъас', 4]
['рехіет', 4]
['гъайш', 4]
['гисаас', 4]
['учихъди', 4]
['ухіа', 4]
['аркьайдава', 4]
['ціуьре', 4]
['іелди', 4]
['са-іудари', 4]
['давуда', 4]
['садакьайин', 4]
['маллабурис', 4]
['хъуттурфуна', 4]
['іелимарис', 4]
['фиркьагьан', 4]
['хъуланди', 4]
['гьелиштти', 4]
['дадари', 4]
['алийинаттарис', 4]
['ккан', 4]
['баркаллагь', 4]
['бурджуни', 4]
['фишттин', 4]
['ціагъун', 4]
['тіибитіарин', 4]
['фачикіас', 4]
['мукьуйил', 4]
['джугьутіарин', 4]
['тис', 4]
['гьучарукьагуна', 4]
['бизар', 4]
['хъугъуна', 4]
['кіиркіан', 4]
['чаалди', 4]
['ккандеф', 4]
['итталар', 4]
['джаллабурилас', 4]
['дустт', 4]
['эгер', 4]
['инсандик', 4]
['хъугъувелди', 4]
['гіанаас', 4]
['тум', 4]
['тумун', 4]
['хъудава', 4]
['кикіуна', 4]
['къадагъа', 4]
['ккерхьуна', 4]
['закес', 4]
['чиппи', 4]
['тебурин', 4]
['иродас', 4]
['сасрабури', 4]
['кіил', 4]
['ккихуна', 4]
['ківалас', 4]
['бадала', 4]
['сурат', 4]
['гафарин', 4]
['гучіай', 4]
['чвагіас', 4]
['акьу', 4]
['весе', 4]
['давайчин', 4]
['іуьтіен', 4]
['ягіарухь', 4]
['дахи', 4]
['джилин', 4]
['и', 4]
['аргва', 4]
['ккидирківа', 4]
['марфа', 4]
['іайвелар', 4]
['рекъуьас', 4]
['еринди', 4]
['учикес', 4]
['адикаф', 4]
['гилас', 4]
['аве', 4]
['агвасттава', 4]
['кіилиъ', 4]
['фарисеяр', 4]
['сеіет', 4]
['дуьнйайи', 4]
['адес', 4]
['лукіарис', 4]
['гіахъасе', 4]
['кьел', 4]
['верш', 4]
['гулуна', 4]
['джикіине', 4]
['кидава', 4]
['мин', 4]
['аманат', 4]
['лазар', 4]
['ччуччу', 4]
['гъван', 4]
['инсанарик', 4]
['пе', 4]
['суьре', 4]
['килав', 4]
['паччагьдис', 4]
['йуькі', 4]
['элеун', 4]
['багъдин', 4]
['хъудавай', 4]
['ямагар', 4]
['къадакъарилди', 4]
['алирхіуна', 4]
['хумбари', 4]
['некьваригьди', 4]
['ппараттар', 3]
['алучіуная', 3]
['малла', 3]
['шамар', 3]
['фиркьайчира', 3]
['кканхьасе', 3]
['ухай', 3]
['дадарин', 3]
['аллагьдил', 3]
['гъузунаф', 3]
['кьана', 3]
['инсанарихъай', 3]
['ваз', 3]
['назарет', 3]
['майрамас', 3]
['архьасе', 3]
['афттава', 3]
['пегъилди', 3]
['гагьдилас', 3]
['алдея', 3]
['адесттегьен', 3]
['хъаяттар', 3]
['фадавай', 3]
['адине', 3]
['хуная', 3]
['шиникквдин', 3]
['шиникквдил', 3]
['баба', 3]
['чиппикди', 3]
['гъургъуная', 3]
['азадвел', 3]
['ухіаф', 3]
['хіекьди', 3]
['гьикасе', 3]
['фагьумра', 3]
['сан', 3]
['ликіен', 3]
['ихьас', 3]
['хіурариди', 3]
['гіадиджина', 3]
['тіунаъ', 3]
['майрамна', 3]
['ичай', 3]
['багуливди', 3]
['уларигьас', 3]
['хіуьппехъенари', 3]
['шиникквдихъас', 3]
['хьастти', 3]
['гьертти', 3]
['кумакихъ', 3]
['симеона', 3]
['училди', 3]
['бабас', 3]
['іизраилдиъ', 3]
['юркіураас', 3]
['ханджал', 3]
['ягіархьегуна', 3]
['сивара', 3]
['дерейиди', 3]
['хіа-ягъас', 3]
['верегъилди', 3]
['кіилин', 3]
['гіахьуная', 3]
['суалар', 3]
['ирціанди', 3]
['гъамар', 3]
['вахъас', 3]
['дерейинна', 3]
['маллабур', 3]
['яхіъяйилди', 3]
['аркьаттара', 3]
['пулар', 3]
['хъаяф', 3]
['кьур', 3]
['гъилив', 3]
['гъай', 3]
['ччуччун', 3]
['дусттагъиъ', 3]
['дадар', 3]
['якьуб', 3]
['ягъціур', 3]
['тіулаас', 3]
['веттар', 3]
['ад', 3]
['гіаттивунаф', 3]
['гіеджизарис', 3]
['сукъурарис', 3]
['эй', 3]
['назаретарин', 3]
['ккандеяф', 3]
['буі', 3]
['яіаниъ', 3]
['зарар', 3]
['іеламатар', 3]
['симонан', 3]
['куче', 3]
['иттал', 3]
['джикіигуна', 3]
['симонас', 3]
['гіихьуна', 3]
['фацуная', 3]
['іудар', 3]
['аяттара', 3]
['гіаттивуна', 3]
['къирагъихъди', 3]
['кабкари', 3]
['кирхіуна', 3]
['усари', 3]
['фарисеярна', 3]
['адинаттар', 3]
['джаллабурин', 3]
['аттушуна', 3]
['сагъди', 3]
['яхіъяйин', 3]
['фарисеярин', 3]
['хъучадесе', 3]
['гуджуникестти', 3]
['кьурц', 3]
['иджеф', 3]
['хуйиас', 3]
['іуьтіуная', 3]
['гъуландея', 3]
['сувалди', 3]
['ерусалимдин', 3]
['халкьра', 3]
['кіиркіахъас', 3]
['багвра', 3]
['веф', 3]
['авеф', 3]
['ирціанф', 3]
['дагъузуна', 3]
['гъушанасе', 3]
['суманф', 3]
['чіирхі', 3]
['аттивас', 3]
['даркьаф', 3]
['хіекиман', 3]
['хіекима', 3]
['къуджабур', 3]
['дусттар', 3]
['ачадес', 3]
['давахіела', 3]
['гьикунаттар', 3]
['меіеша', 3]
['идеми', 3]
['аргвая', 3]
['гьикая', 3]
['инсанаригі', 3]
['фачикіа', 3]
['фушар', 3]
['гимил', 3]
['іелдира', 3]
['ухайра', 3]
['фарисея', 3]
['багулихъди', 3]
['ччам', 3]
['учик', 3]
['гіифціур', 3]
['мач', 3]
['дишагьлин', 3]
['дишагьлис', 3]
['адикуна', 3]
['ученикарин', 3]
['алархьуная', 3]
['лекара', 3]
['адавай', 3]
['ахъакьуна', 3]
['алархьу', 3]
['гіачіугъуна', 3]
['девеф', 3]
['учихъ', 3]
['бабна', 3]
['авей', 3]
['сайи', 3]
['гьучадаркуна', 3]
['алдавай', 3]
['ваккарин', 3]
['ичугвас', 3]
['ахъаркьай', 3]
['ягьир', 3]
['ягьиран', 3]
['луькіей', 3]
['пегуна', 3]
['хъугъ', 3]
['учихъай', 3]
['ачавес', 3]
['чанта', 3]
['гьетисаъ', 3]
['мукьуйиъ', 3]
['ате', 3]
['сури', 3]
['фушчин', 3]
['дакьас', 3]
['гунира', 3]
['балугъ', 3]
['агъзур', 3]
['завариккди', 3]
['ученикарилди', 3]
['іуьтіуна', 3]
['кьаціра', 3]
['учихъас', 3]
['муфиіет', 3]
['іекун', 3]
['агъаяф', 3]
['хъудугъаттар', 3]
['дадалди', 3]
['мугар', 3]
['гьик', 3]
['ух', 3]
['кьияматин', 3]
['димари', 3]
['аликіуна', 3]
['аяв', 3]
['кидавай', 3]
['юркіураастти', 3]
['фаттивуна', 3]
['рекъуьн', 3]
['йирхіунар', 3]
['вунна', 3]
['тихъ', 3]
['хъахьуная', 3]
['часра', 3]
['іаттар', 3]
['кумакилди', 3]
['агваракь', 3]
['илгванф', 3]
['даваф', 3]
['аяхаб', 3]
['фарисей', 3]
['фарисеяри', 3]
['курушка', 3]
['деве', 3]
['гебурилди', 3]
['эхіттият', 3]
['іуьшуй', 3]
['ун', 3]
['гьерттис', 3]
['гьетиштти', 3]
['хіайи', 3]
['шейъер', 3]
['касибарис', 3]
['лукіар', 3]
['лукіун', 3]
['гіезабикк', 3]
['аркьаяв', 3]
['сутти', 3]
['тисаас', 3]
['вак', 3]
['ціемуя', 3]
['учигьди', 3]
['хіатти', 3]
['вец', 3]
['ибригьиман', 3]
['химир', 3]
['хіуьлмат', 3]
['аргваф', 3]
['вахъди', 3]
['аде', 3]
['къала', 3]
['ихьуна', 3]
['девехаб', 3]
['хіуб', 3]
['алми', 3]
['гьуккай', 3]
['гунагьин', 3]
['кук', 3]
['керхьуне', 3]
['мик', 3]
['хуйиъ', 3]
['джилар', 3]
['гунагь', 3]
['хіа-ягъ', 3]
['девлетлуйи', 3]
['ибригьима', 3]
['кіинаттаригіас', 3]
['тебури', 3]
['кіуранис', 3]
['лут', 3]
['нандиъ', 3]
['пушмал', 3]
['іемалар', 3]
['шигьидвел', 3]
['пайгъамбарари', 3]
['келхъенди', 3]
['сукъура', 3]
['чаб-чиппигіди', 3]
['йиціутти', 3]
['ирціандея', 3]
['аккетасе', 3]
['багъдихъанари', 3]
['іудпе', 3]
['ахъаркьагуна', 3]
['гіеджиз', 3]
['адахьас', 3]
['багами', 3]
['пасха', 3]
['чвахъас', 3]
['ккеккела', 3]
['іуьіуь', 3]
['ягіафттава', 3]
['гъушурай', 3]
['тахсира', 3]
['ачикунаф', 3]
['варава', 3]
['ціагъунил', 3]
['къачагъа', 3]
['хъуттурфугуна', 3]
['ціеса', 3]
['ахттилатар', 3]
['аяфе', 2]
['инсанарикес', 2]
['уларилди', 2]
['кьастт', 2]
['кидаф', 2]
['яшариъ', 2]
['маллабурин', 2]
['чиппил', 2]
['захарияйис', 2]
['кикіас', 2]
['кикіа', 2]
['усан', 2]
['элизаветтайи', 2]
['хасе', 2]
['аціунттар', 2]
['хуру', 2]
['аллагьдилди', 2]
['илйайин', 2]
['дахъасе', 2]
['захарияйи', 2]
['ягіархьасе', 2]
['джабрагьил', 2]
['фиичира', 2]
['ишаратарилди', 2]
['хьасттегьен', 2]
['алттивуна', 2]
['ерхьидпе', 2]
['иджвеликк', 2]
['кичархьуная', 2]
['паччагьвелдин', 2]
['ахир', 2]
['шувас', 2]
['шиникквдис', 2]
['ягьудеяйин', 2]
['элизаветтайин', 2]
['хіаттин', 2]
['ибурихъди', 2]
['ул', 2]
['хіисабикк', 2]
['гьалдихъас', 2]
['алавередегьен', 2]
['инсанарил', 2]
['дагъуна', 2]
['девлетлубур', 2]
['гьикуне', 2]
['іизраилдис', 2]
['йинаеф', 2]
['дадарис', 2]
['халкьдисра', 2]
['суннат', 2]
['кканхьуная', 2]
['дадафас', 2]
['унихьуттари', 2]
['халкьдилди', 2]
['пунаф', 2]
['ибригьимас', 2]
['душманарин', 2]
['дагучіай', 2]
['мучіаъ', 2]
['сирия', 2]
['идегуна', 2]
['шагьурариди', 2]
['майрамра', 2]
['вифлеемдиъ', 2]
['чаппаригі', 2]
['чіирил', 2]
['бадил', 2]
['хьунаеф', 2]
['шиникквра', 2]
['пунагъилди', 2]
['юсуфана', 2]
['бахш', 2]
['садакьара', 2]
['луфуран', 2]
['симеон', 2]
['юркіуран', 2]
['кіесттава', 2]
['дагуна', 2]
['гич', 2]
['агъилди', 2]
['ачадегуна', 2]
['тегіела', 2]
['уларис', 2]
['халкьарис', 2]
['халкьарин', 2]
['дуьгіера', 2]
['михъас', 2]
['аннара', 2]
['іуьссе', 2]
['якьу', 2]
['гебуригьди', 2]
['хабди', 2]
['руцас', 2]
['мебурис', 2]
['дадра', 2]
['назаретиди', 2]
['хьунаттар', 2]
['джанна', 2]
['пилат', 2]
['филип', 2]
['агъаттар', 2]
['къирагъарихъ', 2]
['ишаяйин', 2]
['унихьая', 2]
['майдан', 2]
['лек', 2]
['мукьар', 2]
['ккейчівас', 2]
['имикіа', 2]
['гъванарикес', 2]
['атіуна', 2]
['ціигі', 2]
['гъуланди', 2]
['берхіем', 2]
['хъаятти', 2]
['сайикра', 2]
['кимикіа', 2]
['сумар', 2]
['гафарилдира', 2]
['хьирди', 2]
['гіайчіуна', 2]
['дахъуная', 2]
['завар', 2]
['аладиная', 2]
['айчіугуна', 2]
['юсуфан', 2]
['матат', 2]
['малки', 2]
['матитай', 2]
['яуда', 2]
['ишай', 2]
['каинан', 2]
['нухі', 2]
['къумариди', 2]
['іисайихъ', 2]
['ккеттушугуна', 2]
['гъвандикес', 2]
['файшуна', 2]
['мукьуйилди', 2]
['паччагьвелар', 2]
['кканчира', 2]
['архьухаб', 2]
['тегіелайин', 2]
['азмурар', 2]
['руьхідин', 2]
['китаб', 2]
['фатас', 2]
['духттур', 2]
['кафернагьум', 2]
['іеламатарихъас', 2]
['ватандил', 2]
['хіуькуматтиъ', 2]
['хьиралди', 2]
['кабкар', 2]
['хіуькуматтиас', 2]
['аркьагъилди', 2]
['адатуна', 2]
['айчів', 2]
['айчіуная', 2]
['гьегишттин', 2]
['хіавелна', 2]
['иттай', 2]
['суфра', 2]
['рагъ', 2]
['иттаттар', 2]
['алихьай', 2]
['хіуьлин', 2]
['къирагъихъ', 2]
['гафттил', 2]
['лодка', 2]
['уьркіе', 2]
['симона', 2]
['іуьштти', 2]
['илдешар', 2]
['гіаттиная', 2]
['ахъуная', 2]
['лодкабур', 2]
['симон-петтруйи', 2]
['загьас', 2]
['багулифас', 2]
['алаціуна', 2]
['гулуная', 2]
['ягіархьас', 2]
['унихьай', 2]
['ахунил', 2]
['фалиджайи', 2]
['алгъушуная', 2]
['вартталас', 2]
['иттаф', 2]
['ахунна', 2]
['хъаттфайшуна', 2]
['дуьхьуьная', 2]
['адинаяф', 2]
['кеяттарис', 2]
['наврузбег', 2]
['амедегьен', 2]
['чіир', 2]
['кіечіариди', 2]
['чехира', 2]
['ерсе', 2]
['учра', 2]
['учира', 2]
['рукъуна', 2]
['фикьас', 2]
['багамингагь', 2]
['унахъуная', 2]
['гихъ', 2]
['еф', 2]
['итталара', 2]
['кирхіас', 2]
['аркьахіела', 2]
['гіеджизар', 2]
