['э', 1393]
['хубе', 10]
['кем', 10]
['сэгiэт', 10]
['лой', 10]
['догъ', 10]
['диренге', 10]
['хьэрмэхь', 10]
['берде', 10]
['мидуь', 10]
['кумеки', 10]
['суьрхэ', 10]
['вери', 10]
['эгъуьл', 10]
['бэгъ', 10]
['диренуьм', 10]
['хьозур', 10]
['биер', 10]
['шуьвер', 10]
['гъэри', 10]
['зирнов', 10]
['есиёв', 10]
['сохум', 9]
['дениши', 9]
['денишире', 9]
['гуьрге', 9]
['бурам', 9]
['тигьи', 9]
['энжэгъ', 9]
['тен', 9]
['жон', 9]
['себэхьимуьн', 9]
['сере', 9]
['эеки', 9]
['но', 9]
['рафдуьт', 9]
['вогошд', 9]
['сег', 9]
['нибу', 9]
['хьэз', 9]
['чум', 9]
['хурим', 9]
['иловлей', 9]
['тозе', 9]
['имуре', 9]
['ишу', 9]
['ведешенд', 9]
['раси', 9]
['доне', 9]
['нум', 9]
['гьер', 9]
['овурде', 9]
['дегь', 9]
['эбрэгъ', 9]
['рэхьо', 9]
['чиме-чин', 9]
['гiэил', 9]
['косибе', 9]
['гъэзей', 9]
['гьеммей', 9]
['гисне', 8]
['лэгiэй', 8]
['себэхьмунде', 8]
['гъэгьр', 8]
['екиш', 8]
['омориге', 8]
['мисохум', 8]
['бош', 8]
['вэхди', 8]
['пойгьой', 8]
['дуз', 8]
['бисдоруьт', 8]
['оморуьт', 8]
['юш', 8]
['бирем', 8]
['сад', 8]
['суьрхи', 8]
['энугьоре', 8]
['овурд', 8]
['огъойме', 8]
['лелей', 8]
['мэхьтел', 8]
['вогошде', 8]
['нуькере', 8]
['хуьшдеревоз', 8]
['вини', 8]
['киниге', 8]
['оморени', 8]
['коре', 8]
['сохди', 8]
['бирей', 8]
['жогьоб', 8]
['нун', 8]
['шейх-ислам', 8]
['ен', 8]
['бирорме', 8]
['бие', 8]
['бун', 8]
['гiошир', 8]
['хон', 8]
['гьеусэгiэт', 8]
['гьерки', 7]
['видовусд', 7]
['чуьшме', 7]
['ини', 7]
['нен', 7]
['худо', 7]
['гiуьлом', 7]
['весси', 7]
['дениш', 7]
['10', 7]
['терси', 7]
['офде', 7]
['11', 7]
['бегьем', 7]
['гьери', 7]
['воисдени', 7]
['12', 7]
['сифет', 7]
['бирени', 7]
['расд', 7]
['серме', 7]
['терс', 7]
['пара', 7]
['тик', 7]
['туьлкире', 7]
['пар', 7]
['мекеш', 7]
['чумгьой', 7]
['сула', 7]
['одомире', 7]
['хунде', 7]
['куьшде', 7]
['шеригiэт', 7]
['пушо', 7]
['дануьсд', 7]
['гъэдер', 7]
['билогъ', 7]
['сохдени', 7]
['тэхьно', 7]
['бебе', 7]
['белки', 7]
['бесд', 7]
['вено', 7]
['сохденуьм', 7]
['ужире', 7]
['же', 7]
['пур', 7]
['чуьнки', 7]
['веноре', 7]
['куьгьне', 7]
['дуьньегь', 7]
['шегьере', 7]
['гъэриш', 7]
['хьэет', 7]
['ги', 7]
['лэгiэ', 7]
['булши', 7]
['шир', 7]
['пойневери', 7]
['вокурд', 7]
['гъуногъ', 7]
['аббас', 7]
['дарафд', 7]
['раби', 7]
['муьрде', 6]
['вохурд', 6]
['михурум', 6]
['бегем', 6]
['хисире', 6]
['кей', 6]
['гешд', 6]
['кечиле', 6]
['сертуь', 6]
['дерьёгь', 6]
['дерафд', 6]
['эзинжо', 6]
['ведироморе', 6]
['зигьисде', 6]
['эхи', 6]
['одомигьо', 6]
['чуькле', 6]
['вени', 6]
['гужевоз', 6]
['биребу', 6]
['луьгей', 6]
['гьуьндуьре', 6]
['хурузкуьгьире', 6]
['жире', 6]
['кешире', 6]
['мивинуьт', 6]
['мизенуь', 6]
['пэхьники', 6]
['гъовре', 6]
['хотур', 6]
['13', 6]
['дануьсдени', 6]
['гердо', 6]
['эричуь', 6]
['гъозие-гъэдер', 6]
['офд', 6]
['сохдге', 6]
['чорей', 6]
['де', 6]
['одомигьой', 6]
['пура', 6]
['пешму', 6]
['дебу', 6]
['дуллу', 6]
['мисохд', 6]
['гiэрей', 6]
['жэгiмет', 6]
['нуьшди', 6]
['сохдиге', 6]
['гофгьоре', 6]
['верафд', 6]
['гьисди', 6]
['нуьшдуьт', 6]
['дерс', 6]
['гiэсбиш', 6]
['дироморе', 6]
['кишди', 6]
['гъопуй', 6]
['десе', 6]
['егиле', 6]
['шейх', 6]
['поисде', 6]
['эжи', 6]
['рафденуьм', 6]
['имишев', 6]
['гiэруьси', 6]
['пилкей', 6]
['пиез', 6]
['миглеи', 6]
['буй', 6]
['шороб', 6]
['гiэтош', 6]
['суфре', 6]
['дуне', 6]
['хонум', 6]
['хэбэр', 6]
['кутумгьоре', 6]
['кечел', 6]
['хурд', 5]
['гiэрине', 5]
['гуйге', 5]
['поисди', 5]
['гузет', 5]
['биёв', 5]
['гиёв', 5]
['ху', 5]
['воисдениге', 5]
['ихдиёр', 5]
['уш', 5]
['хуби', 5]
['гьемей', 5]
['тоб', 5]
['недо', 5]
['омбаре', 5]
['поисд', 5]
['пара-пара', 5]
['песини', 5]
['хосденуьм', 5]
['медиров', 5]
['мигируь', 5]
['хунегьо', 5]
['бэгъэй', 5]
['гьовой', 5]
['куфде', 5]
['бебей', 5]
['богъ', 5]
['гiоше', 5]
['суьфре', 5]
['бер', 5]
['мирав', 5]
['мекенуь', 5]
['расди', 5]
['туьревоз', 5]
['екире', 5]
['вэгiдо', 5]
['геле', 5]
['14', 5]
['гъилогъ', 5]
['сохденуьт', 5]
['биренге', 5]
['усол', 5]
['векенде', 5]
['суьфде', 5]
['хьэйвугьо', 5]
['керву', 5]
['севдегер', 5]
['дегешде', 5]
['гьишд', 5]
['чеменлугъ', 5]
['вебу', 5]
['алейкум', 5]
['хуьрд', 5]
['шори-шори', 5]
['кеши', 5]
['гьеле', 5]
['чоре', 5]
['воисд', 5]
['метерс', 5]
['бурра', 5]
['map', 5]
['гуфдиренуьт', 5]
['хэйр', 5]
['деригьо', 5]
['нидануьм', 5]
['туьш', 5]
['меревоз', 5]
['имбуруз', 5]
['оморем', 5]
['энгуьшд', 5]
['месох', 5]
['гьово', 5]
['тикей', 5]
['мисохи', 5]
['гирдуьт', 5]
['гъуногълугъи', 5]
['согъбоши', 5]
['бириге', 5]
['расире', 5]
['метлеб', 5]
['бебешуре', 5]
['гiэсбме', 5]
['черх', 5]
['чор', 5]
['фурамо', 5]
['зол', 5]
['дере', 5]
['ире', 5]
['ихдиер', 5]
['когъоз', 5]
['буру', 5]
['совучере', 5]
['хилос', 5]
['рафдени', 5]
['мих', 5]
['хэгьергьо', 5]
['гушде', 5]
['ошугъ', 5]
['пеленг', 5]
['куче', 5]
['оморут', 5]
['девей', 5]
['гiэсел', 5]
['тэхд', 5]
['мерде', 5]
['кутумгьо', 5]
['расдиш', 5]
['суьмерду', 5]
['данандей', 5]
['донлугъ', 5]
['чогъол', 5]
['сие', 5]
['песово', 4]
['диренбу', 4]
['руьгъэ', 4]
['рихде', 4]
['усэгiэт', 4]
['эхириш', 4]
['десме', 4]
['дестуь', 4]
['дузи', 4]
['дэгъдэгъэ', 4]
['вирихд', 4]
['сохдуьм', 4]
['гьерчуь', 4]
['недануьсд', 4]
['деде', 4]
['вокоши', 4]
['чуьни', 4]
['рузгьо', 4]
['ранжбергьо', 4]
['ноле', 4]
['жигейтуь', 4]
['ёгъин', 4]
['хуьщдере', 4]
['инсонгьо', 4]
['тегьенггьо', 4]
['гьеебо', 4]
['рафденге', 4]
['овурди', 4]
['рафдеки', 4]
['чешмиш', 4]
['сеггьо', 4]
['чуьтами', 4]
['нуьшдебу', 4]
['ведироморени', 4]
['келей', 4]
['гуфдируьт', 4]
['гофе', 4]
['мунде', 4]
['бурри', 4]
['чогъэ', 4]
['салам', 4]
['неки', 4]
['келе-келе', 4]
['шиновусде', 4]
['олхогьин', 4]
['елойге', 4]
['кемер', 4]
['зигьисденбу', 4]
['вилеет', 4]
['филон', 4]
['воисде', 4]
['герден', 4]
['оморенге', 4]
['гуфдиребуге', 4]
['сохдеи', 4]
['уни', 4]
['гьейбеи', 4]
['хэзиней', 4]
['хэнжеле', 4]
['буйругъи', 4]
['шиновусденге', 4]
['сохим', 4]
['суьфдеи', 4]
['гусбенде', 4]
['мэхьэл', 4]
['серхьэд', 4]
['биренбу', 4]
['лов', 4]
['винуьм', 4]
['шимшиле', 4]
['ярай', 4]
['веромо', 4]
['фегьм', 4]
['симов', 4]
['беруьм', 4]
['дешенд', 4]
['геймиш', 4]
['зурбое', 4]
['мегь', 4]
['нумаз', 4]
['мени', 4]
['килит', 4]
['деше', 4]
['рач', 4]
['тике', 4]
['оморенигьо', 4]
['дервозе', 4]
['деберд', 4]
['кини', 4]
['кимигьо', 4]
['меслэхьэт', 4]
['овурдуьт', 4]
['екиге', 4]
['кешуьм', 4]
['диро', 4]
['пенж', 4]
['небуге', 4]
['муй', 4]
['хэлефме', 4]
['гъэлечей', 4]
['бебешму', 4]
['гъушун', 4]
['есири', 4]
['вогошденге', 4]
['15', 4]
['дориге', 4]
['16', 4]
['совучей', 4]
['сохдебу', 4]
['духдерле', 4]
['муьрд', 4]
['17', 4]
['хуьшдереш', 4]
['18', 4]
['19', 4]
['чуьл', 4]
['20', 4]
['веги', 4]
['эденбу', 4]
['гуит', 4]
['эришму', 4]
['духде', 4]
['девруьше', 4]
['чуьлимуьн', 4]
['догъле', 4]
['вэхиз', 4]
['бебешу', 4]
['оморенуьт', 4]
['торик', 4]
['бурайт', 4]
['миевт', 4]
['венит', 4]
['гьемере', 4]
['фурмуш', 4]
['хокистер', 4]
['доно', 4]
['муьвэхь', 4]
['рэхьм', 4]
['кара', 4]
['хьэёт', 4]
['хуьшдени', 4]
['пейлей', 4]
['герде', 4]
['ело', 4]
['бордоре', 4]
['огьойме', 4]
['гiошбаз', 4]
['салгьо', 4]
['картушке', 4]
['вадарафд', 4]
['тохэ', 4]
['жарить', 4]
['зенме', 4]
['себэхьи', 4]
['зирновиш', 4]
['гiэрси', 4]
['монет', 4]
['пэхьникие', 4]
['немерде', 4]
['есиев', 4]
['зиндегунитуь', 4]
['шендере', 4]
['нарине', 4]
['енебуге', 3]
['шуьгъэм', 3]
['оморей', 3]
['бошгу', 3]
['чаруьсд', 3]
['герми', 3]
['иловле', 3]
['вараси', 3]
['фурмунди', 3]
['фурмунде', 3]
['нидануь', 3]
['видов', 3]
['новур', 3]
['дегешди', 3]
['пенжегьой', 3]
['сухде', 3]
['дурте', 3]
['суьм', 3]
['оморе-оморе', 3]
['экуьнди', 3]
['кинле', 3]
['гуфдиренигьо', 3]
['несохд', 3]
['эйтуь', 3]
['хунегьошу', 3]
['туморе', 3]
['мидануь', 3]
['миберуьт', 3]
['мивируьхуь', 3]
['зере-зере', 3]
['миденишуь', 3]
['туьни', 3]
['бошим', 3]
['хэнде', 3]
['дирей', 3]
['гуфдиренуьм', 3]
['дуьшмен', 3]
['шовгiо', 3]
['хуьщде', 3]
['пенжей', 3]
['берд', 3]
['суьфделе', 3]
['гьечиревоз', 3]
['гъэжгъуре', 3]
['миденуьшуьт', 3]
['ээ', 3]
['минишуь', 3]
['мегируь', 3]
['мирасуь', 3]
['миофдону', 3]
['гъэдерсуьз', 3]
['медешенуь', 3]
['мурав', 3]
['киме', 3]
['дануьм', 3]
['мивиним', 3]
['еново', 3]
['хьэлежигери', 3]
['мимуну', 3]
['бине', 3]
['бисдоки', 3]
['гуфдиребируьм', 3]
['куке', 3]
['дусди', 3]
['дусд', 3]
['хурекгьо', 3]
['вой', 3]
['кеш', 3]
['игърол', 3]
['бугу', 3]
['хуг', 3]
['гирисде', 3]
['офдори', 3]
['чул', 3]
['гьердуьеки', 3]
['гьерсееки', 3]
['келкуьгьи', 3]
['мейду', 3]
['норуьт', 3]
['венуьшде', 3]
['рэхьэ', 3]
['эжеки', 3]
['сохдем', 3]
['китуь', 3]
['сенгъ', 3]
['эзижире', 3]
['миёвт', 3]
['дедей', 3]
['дивэгi', 3]
['зэхьлей', 3]
['девере', 3]
['энуни', 3]
['венуьшд', 3]
['тэхсири', 3]
['зиёди', 3]
['биренигьо', 3]
['кифлет', 3]
['гиснеи', 3]
['дошде', 3]
['мэгiэной', 3]
['фирсо', 3]
['мэгiлуьм', 3]
['расуь', 3]
['дануьсденбу', 3]
['мофдону', 3]
['дири', 3]
['сохи', 3]
['гьейбей', 3]
['декуьрд', 3]
['дорени', 3]
['бирет', 3]
['поисдебу', 3]
['бигьил', 3]
['езугъ', 3]
['динж', 3]
['екиревоз', 3]
['суьрхгьоре', 3]
['диребу', 3]
['коргьойтуь', 3]
['гъэлеж', 3]
['гьемише', 3]
['гьичиш', 3]
['нуьшде', 3]
['шор', 3]
['сеимуьн', 3]
['туьфенге', 3]
['нушунд', 3]
['гуьзеле', 3]
['дерд', 3]
['тенги', 3]
['верасде', 3]
['омон', 3]
['мипоюм', 3]
['омбарте', 3]
['нубот', 3]
['хурдуьт', 3]
['нисохум', 3]
['шимшил', 3]
['неофд', 3]
['зеки', 3]
['герек', 3]
['дебугьо', 3]
['мегьитгьо', 3]
['гьей', 3]
['мармардаш', 3]
['тов-тов', 3]
['шекуьл', 3]
['бенд', 3]
['туз', 3]
['нисд', 3]
['сур', 3]
['дануь', 3]
['зеверсер', 3]
['гъэлечеи', 3]
['дарафде', 3]
['киньете', 3]
['дироморембу', 3]
['гъул', 3]
['ух', 3]
['гiэйб', 3]
['вероморе', 3]
['нимелит', 3]
['менг', 3]
['дервозей', 3]
['ох', 3]
['хьэвуьз', 3]
['рустоме', 3]
['гъозие', 3]
['девлет', 3]
['хундеи', 3]
['партал', 3]
['шеш', 3]
['дуьлме', 3]
['дуьлпесо', 3]
['ой', 3]
['сохдум', 3]
['гуфдируьм', 3]
['недери', 3]
['товле', 3]
['эдембируьм', 3]
['гъозиеи', 3]
['хэлгъэ', 3]
['пенжерере', 3]
['хэгьерме', 3]
['бирортуь', 3]
['хьофдофой', 3]
['совуре', 3]
['гъозие-гъэдере', 3]
['сади', 3]
['зенжил', 3]
['суре', 3]
['вокошире', 3]
['рузи', 3]
['товуш', 3]
['мигую', 3]
['демунде', 3]
['имид', 3]
['сив', 3]
['утогъэ', 3]
['бирмунде', 3]
['кобоб', 3]
['кобобгьоре', 3]
['овурдени', 3]
['синемиш', 3]
['мунутгу', 3]
['хэгьере', 3]
['шендени', 3]
['тикегьой', 3]
['хунере', 3]
['пенжере', 3]
['ведироморенуьт', 3]
['гъэреулчигьо', 3]
['томоше', 3]
['чой', 3]
['мипуьрсуь', 3]
['21', 3]
['сирогъ', 3]
['гъэдэгъэ', 3]
['22', 3]
['фура', 3]
['тике-тике', 3]
['зигьисденбируьт', 3]
['хурек', 3]
['десгьой', 3]
['хосде', 3]
['венгесд', 3]
['фуберд', 3]
['пертово', 3]
['куле', 3]
['вохурде', 3]
['гьозор', 3]
['теслих', 3]
['дуьзд', 3]
['бирмунд', 3]
['бироргьой', 3]
['девейме', 3]
['девеймере', 3]
['бироре', 3]
['дире', 3]
['эгъуьлменде', 3]
['дедешму', 3]
['хуте', 3]
['энугъо', 3]
['недирем', 3]
['ловош', 3]
['серкуш', 3]
['нэхирчи', 3]
['комиреки', 3]
['мерге', 3]
['восдо', 3]
['дори', 3]
['чойхоне', 3]
['балам', 3]
['нэгъэре', 3]
['бегьлуь', 3]
['гъэрд', 3]
['леш', 3]
['везире', 3]
['гъэноре', 3]
['тогъор', 3]
['теке', 3]
['мидоно', 3]
['пигь', 3]
['сенгъэ', 3]
['хьомол', 3]
['бести', 3]
['хьомоли', 3]
['ингъэдер', 2]
['семе', 2]
['муьрдени', 2]
['мурам', 2]
['миём', 2]
['михури', 2]
['зуте', 2]
['и-а-а', 2]
['куьнди', 2]
['хисиренге', 2]
['ведиромори', 2]
['думит', 2]
['диеш', 2]
['деруьм', 2]
['гушдме', 2]
['куьндигьо', 2]
['зигьисденуьм', 2]
['биёбур', 2]
['ченгъэдер', 2]
['ведиро', 2]
['дури', 2]
['ведини', 2]
['e', 2]
['валлагь', 2]
['дузире', 2]
['тентуь', 2]
['зу', 2]
['шишире', 2]
['жигеш', 2]
['фэгъире', 2]
['пойме', 2]
['шуморде', 2]
['бирмун', 2]
['вэхуьшде', 2]
['назуре', 2]
['лерзире-лерзире', 2]
['хурдейме', 2]
['видов-видов', 2]
['тартапил', 2]
['кемерме', 2]
['вогосире', 2]
['виниш', 2]
['зурбо', 2]
['герме', 2]
['чигьоре', 2]
['чуьклелеи', 2]
['гуьре', 2]
['гофгьо', 2]
['зеренуьт', 2]
['гьелебуле', 2]
['доренуьт', 2]
['жунме', 2]
['гьисдигьо', 2]
['сермере', 2]
['пучунде', 2]
['буте', 2]
['дургу', 2]
['шохьонгуми', 2]
['беруь', 2]
['вогошдеки', 2]
['винируьт', 2]
['туморере', 2]
['дерики', 2]
['мигируьт', 2]
['хэхэ', 2]
['мохуру', 2]
['мибисдорумге', 2]
['хунош', 2]
['гъувотсуьз', 2]
['дорун', 2]
['дуьли', 2]
['ечи', 2]
['миёру', 2]
['тов-тови', 2]
['унгъэдер', 2]
['селт', 2]
['гъэл', 2]
['куьнде', 2]
['соймише', 2]
['оморебируьт', 2]
['духдеревоз', 2]
['овлоте', 2]
['гъэжгъуй', 2]
['тие', 2]
['кунбологъово', 2]
['вогошдуьт', 2]
['зеверо', 2]
['эа', 2]
['мисохим', 2]
['хуьзуьм', 2]
['зарбевоз', 2]
['мишенуь', 2]
['бил-лапатке', 2]
['оворе', 2]
['медарав', 2]
['вилеетиге', 2]
['гiуьр', 2]
['чогъ', 2]
['хурденуьм', 2]
['мара', 2]
['гирисун', 2]
['дегешд', 2]
['илчи', 2]
['сеггьой', 2]
['мивидовут', 2]
['мивидову', 2]
['гуж', 2]
['кешире-кешире', 2]
['невери', 2]
['гофгьойтуь', 2]
['оморум', 2]
['бэхд', 2]
['дорум', 2]
['жовоне', 2]
['негуьрд', 2]
['эдембири', 2]
['ведеберде', 2]
['гъэребечдор', 2]
['пушойме', 2]
['сесме', 2]
['декуьрденуьт', 2]
['гiэселе', 2]
['хурденуьт', 2]
['туьчуьни', 2]
['хэриш', 2]
['бурайм', 2]
['имуш', 2]
['гирисденуьм', 2]
['жумунд', 2]
['зеруьт', 2]
['гъуллугътуь', 2]
['биёйт', 2]
['хьэрмэхьи', 2]
['гешдуьт', 2]
['уреш', 2]
['офдуьт', 2]
['ове', 2]
['марал', 2]
['наштови', 2]
['эзже', 2]
['нечогъ', 2]
['кервуревоз', 2]
['евош-евош', 2]
['сугъразани', 2]
['хэсде', 2]
['тэхьное', 2]
['шориревоз', 2]
['чумгьойме', 2]
['гъэгьри', 2]
['усоли', 2]
['тэхьнои', 2]
['биреки', 2]
['неёв', 2]
['хэревоз', 2]
['саламете', 2]
['чуьиге', 2]
['вирихдем', 2]
['гьишденбу', 2]
['бисдоге', 2]
['дур', 2]
['муйгьой', 2]
['лэгiэре', 2]
['ёр', 2]
['поюнд', 2]
['расики', 2]
['невебу', 2]
['лугъонде', 2]
['эле', 2]
['хэритуь', 2]
['коргьой', 2]
['офу', 2]
['зу-зу', 2]
['беди', 2]
['ники', 2]
['дуьгьо', 2]
['нимей', 2]
['миди', 2]
['суьрхэвоз', 2]
['ховтуь', 2]
['рэгiиет', 2]
['расдире', 2]
['микуьшуь', 2]
['хосдени', 2]
['бирэхьме', 2]
['омоки', 2]
['суьрхгьо', 2]
['маре', 2]
['гьечиш-гьечуш', 2]
['хубики', 2]
['бэхшлемиш', 2]
['гъэгьре', 2]
['мугуи', 2]
['зигьисденуьт', 2]
['доребугьо', 2]
['гейтен', 2]
['мибурри', 2]
['гiэилгьойме', 2]
['хогьин', 2]
['тэхсириш', 2]
['ужиреи', 2]
['кенде', 2]
['хэнжелевоз', 2]
['буш', 2]
['хьуьрмет', 2]
['ведерафд', 2]
['вогошдуьмге', 2]
['хуьрдини', 2]
['зенуьм', 2]
['зими', 2]
['шинохд', 2]
['дуланмиш', 2]
['жендекме', 2]
['сабур', 2]
['воисдге', 2]
['гьевел', 2]
['неветовугьо', 2]
['мебош', 2]
['хош', 2]
['пуфдедиме', 2]
['жовогьилет', 2]
['хоей', 2]
['гъоз', 2]
['гъимет', 2]
['оморенбу', 2]
['фирегье', 2]
['буьлбуьле', 2]
['назуке', 2]
['оф', 2]
['дердгьой', 2]
['дерму', 2]
['екиреш', 2]
['гьевели', 2]
['бугъозме', 2]
['гуьрденге', 2]
['доргьо', 2]
['веромори', 2]
['келлей', 2]
['аслане', 2]
['мол', 2]
['терсиренуьм', 2]
['биренуьм', 2]
['бере', 2]
['гiэрешу', 2]
['дирири', 2]
['хун', 2]
['зугьун', 2]
['божэхь', 2]
['сенигiэт', 2]
['гiуьломе', 2]
['гъэшов-гъэшовлемиш', 2]
['гуьтермиш', 2]
['киной', 2]
['дервозегьой', 2]
['шегьери', 2]
['пишнеи', 2]
['миглей', 2]
['руьгъ-руьгъ', 2]
['бэхдевери', 2]
['тукунгьо', 2]
['пури', 2]
['гъозие-гъэдери', 2]
['нигуюми', 2]
['егьере', 2]
['вегирдебу', 2]
['егьер', 2]
['верафде', 2]
['гуьндуьре', 2]
['нуьм', 2]
['хундеки', 2]
['фелег', 2]
['килите', 2]
['сов', 2]
['дивор', 2]
['норе', 2]
['рузиш', 2]
['бошум', 2]
['мереш', 2]
['огь', 2]
['зани', 2]
['вешенд', 2]
['соф', 2]
['рустомиш', 2]
['нуьшим', 2]
['хурег', 2]
['бебеймуре', 2]
['духдериш', 2]
['севдегери', 2]
['комини', 2]
['хьофдимуьн', 2]
['куктуь', 2]
['дир', 2]
['томом', 2]
['нуьвуьсд', 2]
['декирд', 2]
['гуьрдуьм', 2]
['зиед', 2]
['чоримуьн', 2]
['мугум', 2]
['руьхьсет', 2]
['дироморуьм', 2]
['сали', 2]
['омореи', 2]
['гiэлим', 2]
['зевер', 2]
['ведарафдеи', 2]
['вэхизунд', 2]
['мидани', 2]
['довгiош', 2]
['гъуьли', 2]
['ник', 2]
['оморуьм', 2]
['расири', 2]
['хьоли', 2]
['гушме', 2]
['мивинуьм', 2]
['муьгьтер', 2]
['дураз', 2]
['пуьрсируьм', 2]
['сэбэхьимуьн', 2]
['довгiо', 2]
['женг', 2]
['бебешмуре', 2]
['шиши', 2]
['бердуьт', 2]
['расиренигьо', 2]
['оморенуьм', 2]
['ижиреи', 2]
['хисим', 2]
['эгер', 2]
['эегъэ', 2]
['дено', 2]
['куфд', 2]
['хьисобевоз', 2]
['хэгьерюре', 2]
['офдоре', 2]
['энгуьшдерире', 2]
['кемлей', 2]
['хурум', 2]
['буз', 2]
['кес', 2]
['хуьршлемиш', 2]
['ашар', 2]
['энгуьшде', 2]
