['саб', 301]
['гагай', 18]
['ургуд', 18]
['чве', 18]
['гъарах', 18]
['гьяйван', 18]
['духьнайи', 18]
['периханум', 18]
['аба', 17]
['вуйиган', 17]
['апiурайи', 17]
['туву', 17]
['улихь', 17]
['мапiан', 17]
['байна', 17]
['паччагьдиз', 17]
['чпи', 17]
['гъулаз', 17]
['палтар', 17]
['къисханум', 17]
['аждагьайи', 17]
['дици', 16]
['шулдар', 16]
['юкiв', 16]
['зат', 16]
['ипiруб', 16]
['мурар', 16]
['сабан', 16]
['кьяляхъ', 16]
['адар', 16]
['7', 16]
['гьарйир', 16]
['ча', 16]
['бицiи', 16]
['гъизил', 16]
['гъяркъган', 16]
['гъахьнийи', 16]
['аждагьайин', 16]
['жилириз', 16]
['уьру', 15]
['вахтналан', 15]
['йикк', 15]
['уткан', 15]
['эй', 15]
['гьамциб', 15]
['уччву', 15]
['мюгьтал', 15]
['фикрар', 15]
['кайи', 15]
['хиял', 15]
['фуж', 15]
['гьарган', 15]
['дайи', 15]
['хъюгъю', 15]
['8', 15]
['уьл', 15]
['цiиб', 15]
['гагайи', 15]
['гагайиз', 15]
['арсран', 15]
['азай', 15]
['шуйи', 14]
['ав', 14]
['чiуру', 14]
['уягъ', 14]
['дуст', 14]
['рябкъюру', 14]
['йигъ', 14]
['йигъарикан', 14]
['гъул', 14]
['сес', 14]
['апiбан', 14]
['учву', 14]
['уч', 14]
['гьарай', 14]
['ясди', 14]
['везир', 14]
['гардан', 14]
['салам', 14]
['думура', 14]
['микi', 14]
['бицiуну', 14]
['маллайин', 14]
['гъабшиган', 13]
['фициб', 13]
['хьуз', 13]
['вуза', 13]
['дарди', 13]
['пагь', 13]
['дишла', 13]
['тмуну', 13]
['шлу', 13]
['гъадабгъну', 13]
['кiваин', 13]
['лигуруш', 13]
['лиг', 13]
['масу', 13]
['азад', 13]
['апiуйи', 13]
['хулан', 13]
['яс', 13]
['закур', 13]
['9', 13]
['гъари', 13]
['хулар', 13]
['гъардаш', 13]
['уьмар', 13]
['багагь', 13]
['узхьан', 13]
['симир', 13]
['10', 12]
['мумкин', 12]
['ужуб', 12]
['вуйиб', 12]
['ккунди', 12]
['шагьриз', 12]
['наана', 12]
['мина', 12]
['муг', 12]
['шулайи', 12]
['адру', 12]
['магьа', 12]
['гъулан', 12]
['кiуллан', 12]
['ягъчiвур', 12]
['йивуз', 12]
['ришра', 12]
['дадай', 12]
['гъуш', 12]
['чвйир', 12]
['гъалайиъ', 12]
['кьабул', 12]
['гъапнийи', 12]
['чпиз', 12]
['дада', 12]
['ялхъван', 12]
['марцц', 12]
['гьади', 12]
['айханум', 12]
['лути', 12]
['хазна', 12]
['гаш', 11]
['дид', 11]
['думуган', 11]
['ичв', 11]
['ипiуз', 11]
['ухьуз', 11]
['ушв', 11]
['жанаври', 11]
['вахт', 11]
['вува', 11]
['уж', 11]
['маш', 11]
['аьхир', 11]
['улар', 11]
['апiуб', 11]
['гъапиш', 11]
['инсан', 11]
['йивури', 11]
['рякъди', 11]
['гъит', 11]
['амур', 11]
['удучiвну', 11]
['шубуб', 11]
['ужур', 11]
['гюзел', 11]
['ихтилат', 11]
['гаф', 11]
['гъизилин', 11]
['гъяркъю', 11]
['йишвну', 11]
['хьайин', 11]
['пилта', 11]
['гъябкъю', 10]
['гъабхьи', 10]
['гъюри', 10]
['алабхъуру', 10]
['давам', 10]
['гьич', 10]
['ярхи', 10]
['гьадмуган', 10]
['гъавриъ', 10]
['чи', 10]
['апiарза', 10]
['лигури', 10]
['кюмек', 10]
['ккундуш', 10]
['бабан', 10]
['ликар', 10]
['сацiиб', 10]
['апiру', 10]
['девлетлу', 10]
['дибисну', 10]
['дяхин', 10]
['йигъар', 10]
['везири', 10]
['артухъ', 10]
['шулдайи', 10]
['кади', 10]
['вуди', 10]
['наан', 10]
['дапiнайи', 10]
['душваъ', 10]
['ярхла', 10]
['гъушган', 10]
['хул', 10]
['фатмаханум', 10]
['шив', 10]
['жакьв', 10]
['гвачiнинган', 10]
['гъужа', 10]
['маллайиз', 10]
['гирамирин', 10]
['накьв', 10]
['шихди', 10]
['кьюл', 9]
['ина', 9]
['хьа', 9]
['сабпну', 9]
['диван', 9]
['нир', 9]
['гъабч', 9]
['ай', 9]
['сагъ', 9]
['яйиъ', 9]
['вал', 9]
['бала', 9]
['дидисну', 9]
['агуз', 9]
['мялум', 9]
['лицури', 9]
['цiа', 9]
['вягьши', 9]
['лигара', 9]
['касди', 9]
['инсандин', 9]
['читин', 9]
['вич', 9]
['шагьриъ', 9]
['гъалайин', 9]
['чiал', 9]
['гъалайиз', 9]
['дурарикан', 9]
['дийигъу', 9]
['11', 9]
['дюнмиш', 9]
['12', 9]
['уьмур', 9]
['яйиин', 9]
['дугъкан', 9]
['шубар', 9]
['гага', 9]
['гьебгу', 9]
['гад', 9]
['швушв', 9]
['деънайи', 9]
['аллагьди', 9]
['гъуногъ', 9]
['хуне', 9]
['ригъ', 9]
['багахь', 8]
['хьайиз', 8]
['сатiиди', 8]
['шубубпи', 8]
['хъюбгъю', 8]
['сулаз', 8]
['гъюз', 8]
['хъюбгъру', 8]
['теклиф', 8]
['гьаддиз', 8]
['гъафиган', 8]
['кавха', 8]
['ужу', 8]
['гъушну', 8]
['ургур', 8]
['рякъюъди', 8]
['гъунши', 8]
['кiваъ', 8]
['дердер', 8]
['кiулиз', 8]
['гъюрайи', 8]
['дарапiди', 8]
['чахьна', 8]
['мициб', 8]
['язухъ', 8]
['сану', 8]
['цiин', 8]
['жюже', 8]
['лизи', 8]
['удар', 8]
['тамшир', 8]
['даршиш', 8]
['ижи', 8]
['себеб', 8]
['дагну', 8]
['шилкан', 8]
['учу', 8]
['йигълан', 8]
['йис', 8]
['кафтар', 8]
['бицiир', 8]
['накьвдик', 8]
['ваз', 8]
['гъапiган', 8]
['сумчир', 8]
['касибрин', 8]
['гъафнийи', 8]
['мучiу', 8]
['лукi', 8]
['балкан', 8]
['алахьну', 8]
['хъуркьубси', 8]
['дугъхьан', 8]
['улигь', 8]
['хпирин', 8]
['духну', 8]
['ишури', 8]
['ккуру', 8]
['йишвахь', 8]
['гъяйи', 8]
['лигуз', 8]
['дукi', 8]
['гьяйвнилан', 8]
['бегди', 8]
['луф', 8]
['дадайиз', 8]
['жилар', 8]
['хумурзаг', 8]
['хпириз', 8]
['ахчах', 8]
['кюкйир', 8]
['аьгьмад', 8]
['шихдин', 8]
['зен', 8]
['эз', 8]
['яратмиш', 8]
['дубхьнайи', 7]
['мукьан', 7]
['дустар', 7]
['тмунуб', 7]
['ад', 7]
['зарбди', 7]
['ари', 7]
['кьюбпи', 7]
['багахьна', 7]
['яваш', 7]
['кьан', 7]
['ибшри', 7]
['сесниинди', 7]
['аьхюб', 7]
['дагъдин', 7]
['цiийи', 7]
['шлуб', 7]
['алдахъу', 7]
['гьамусра', 7]
['йивну', 7]
['ярквраъ', 7]
['абгуз', 7]
['кiулиъ', 7]
['чiигъар', 7]
['кьабижви', 7]
['дюз', 7]
['ккуни', 7]
['дилигну', 7]
['апiруган', 7]
['лазим', 7]
['чирккв', 7]
['варитiан', 7]
['жюжейи', 7]
['аьхъиъ', 7]
['гьамцдар', 7]
['падишагь', 7]
['ишри', 7]
['касдиз', 7]
['гъитну', 7]
['учвуз', 7]
['гъафну', 7]
['байра', 7]
['устайи', 7]
['учвра', 7]
['кiуйи', 7]
['шубуд', 7]
['ляхнар', 7]
['шур', 7]
['14', 7]
['хъуркьру', 7]
['баяриз', 7]
['лигай', 7]
['бахт', 7]
['мурари', 7]
['гъягъюри', 7]
['удучiвуру', 7]
['гьялакди', 7]
['улупу', 7]
['вердиш', 7]
['иливну', 7]
['ниъ', 7]
['рякъюру', 7]
['хал', 7]
['туври', 7]
['акв', 7]
['гъуйдиъ', 7]
['завариз', 7]
['бизар', 7]
['кушар', 7]
['дивну', 7]
['пуз', 7]
['башмакъ', 7]
['завар', 7]
['мух', 7]
['гьарин', 7]
['йисан', 7]
['хутiлиз', 7]
['бачi', 7]
['азайи', 7]
['увхьан', 6]
['пул', 6]
['аслан', 6]
['увухъди', 6]
['абайин', 6]
['гъабхьундайи', 6]
['йигъан-йигъан', 6]
['дипiну', 6]
['ухди', 6]
['адарди', 6]
['гашди', 6]
['хайлин', 6]
['кiурава', 6]
['апiухьа', 6]
['айиган', 6]
['сумчриъ', 6]
['дийигънайи', 6]
['хуб', 6]
['даршул', 6]
['гардандиан', 6]
['шулин', 6]
['ачухъ', 6]
['гъябгъюру', 6]
['дубхну', 6]
['ккудубкiуру', 6]
['жаза', 6]
['дарза', 6]
['пис', 6]
['варидариз', 6]
['белки', 6]
['апiур', 6]
['гъабхьнуш', 6]
['хилар', 6]
['аку', 6]
['ччвур', 6]
['тувнийи', 6]
['ражну', 6]
['ригъдин', 6]
['хюрчаз', 6]
['имбу', 6]
['удрар', 6]
['хуларин', 6]
['аьдат', 6]
['бабаз', 6]
['хилиъ', 6]
['дидкан', 6]
['гъапиб', 6]
['гьял', 6]
['багъиш', 6]
['гъузру', 6]
['халачи', 6]
['дидиъ', 6]
['13', 6]
['за', 6]
['улариккан', 6]
['йигъанна', 6]
['девлет', 6]
['шубур', 6]
['бицiину', 6]
['дина', 6]
['гъягъюз', 6]
['гьюри-перийин', 6]
['мугъу', 6]
['ккундийи', 6]
['метлеб', 6]
['пуч', 6]
['гьерху', 6]
['дубсу', 6]
['аждагьайиз', 6]
['чаин', 6]
['айитi', 6]
['ккайи', 6]
['хуз', 6]
['тiалаб', 6]
['15', 6]
['чвйири', 6]
['16', 6]
['ахмакъ', 6]
['тюфенг', 6]
['хябяхъган', 6]
['гьяйвниин', 6]
['терг', 6]
['кьисмат', 6]
['гъиту', 6]
['гирами', 6]
['тамам', 6]
['жив-жив', 6]
['ярквраз', 6]
['чухайин', 6]
['мутмйир', 6]
['гьаъру', 6]
['периханумдиз', 6]
['ипiури', 6]
['ивну', 6]
['бегдин', 6]
['гъеебхьган', 6]
['наратдин', 6]
['вахтарилан', 6]
['нубат', 6]
['адми', 6]
['алди', 6]
['чкиди', 6]
['инсанар', 6]
['гъардши', 6]
['кьун', 6]
['люкь', 6]
['гъуландар', 6]
['гъулариъ', 6]
['вахтари', 6]
['маллайихьна', 6]
['нюкьнарин', 6]
['гъоз', 6]
['сэхьиб', 6]
['умчари', 6]
['aпiypy', 6]
['гату', 5]
['цiибди', 5]
['манзил', 5]
['мушваъ', 5]
['хюрч', 5]
['ицци', 5]
['гъягъруган', 5]
['нирин', 5]
['увук', 5]
['дийибгъну', 5]
['явашди', 5]
['машквар', 5]
['гьамушв', 5]
['аьмал', 5]
['дирипiди', 5]
['кьюридра', 5]
['абхъру', 5]
['гъи', 5]
['учiву', 5]
['кьялаъ', 5]
['вахтар', 5]
['хьар', 5]
['хьайи', 5]
['сесер', 5]
['даршули', 5]
['чиркквар', 5]
['гъубшну', 5]
['жиниди', 5]
['гъадагъну', 5]
['диш', 5]
['гъвалахъ', 5]
['гъабшиш', 5]
['хайир', 5]
['марччар', 5]
['цiару', 5]
['маргъар', 5]
['увузра', 5]
['чвера', 5]
['мугъаз', 5]
['улихьинди', 5]
['цiигъ', 5]
['ярквран', 5]
['хъебекъну', 5]
['герендилан', 5]
['вузуз', 5]
['ляхнариз', 5]
['фужкiара', 5]
['хътру', 5]
['жюжейиз', 5]
['вуйин', 5]
['аьжуз', 5]
['касибри', 5]
['имиди', 5]
['аьгъяйи', 5]
['уьлин', 5]
['сари', 5]
['гъубшу', 5]
['тму', 5]
['гьяйвни', 5]
['аьжал', 5]
['сикин', 5]
['анжагъ', 5]
['ккади', 5]
['балугъ', 5]
['гъахьну-гъахьундар', 5]
['апiурза', 5]
['белики', 5]
['герек', 5]
['ургуб', 5]
['ясдиз', 5]
['тув', 5]
['шагьрин', 5]
['чирах', 5]
['бенд', 5]
['ккебгъру', 5]
['шуркан', 5]
['накьвдиин', 5]
['уста', 5]
['хабарсузди', 5]
['шурхьан', 5]
['базариъ', 5]
['мугъан', 5]
['йивуру', 5]
['ялхъвнар', 5]
['гьапiру', 5]
['марцциди', 5]
['вуйза', 5]
['бахтнан', 5]
['ктибту', 5]
['хьибди', 5]
['ваъ', 5]
['уйнамиш', 5]
['диву', 5]
['тувуз', 5]
['ул', 5]
['завуз', 5]
['гьяйран', 5]
['абцiну', 5]
['тула', 5]
['гъуйдиин', 5]
['17', 5]
['гъаравашари', 5]
['саризра', 5]
['йитим', 5]
['кечмиш', 5]
['апiуза', 5]
['гъапиган', 5]
['кьаст', 5]
['гъардшин', 5]
['жакьвар', 5]
['ху', 5]
['ахуз', 5]
['рягъникк', 5]
['гарччлар', 5]
['нивкiуз', 5]
['хюни', 5]
['дапiнура', 5]
['дагълар', 5]
['суал', 5]
['учiвну', 5]
['гьатму', 5]
['саягъ', 5]
['адмйир', 5]
['кифир', 5]
['йихь', 5]
['мутму', 5]
['гъашиган', 5]
['дугъахьна', 5]
['накьвдиина', 5]
['гъюнариин', 5]
['дийибгънайи', 5]
['гьяйвниз', 5]
['гвар', 5]
['успагьи', 5]
['рякъюри', 5]
['учвкан', 5]
['вуна', 5]
['инсанари', 5]
['булагъдиин', 5]
['хьадан', 5]
['шакiана', 5]
['адарзуз', 5]
['исизди', 5]
['дурхну', 5]
['ачiни', 5]
['паччагьдигьна', 5]
['даршлу', 5]
['ачрар', 5]
['илтiибкiу', 5]
['гъазанмиш', 5]
['дажи', 5]
['даждин', 5]
['цiарцiар', 5]
['уз', 5]
['бег', 5]
['берекетлу', 5]
['швеъ', 5]
['е', 5]
['не', 5]
['дюзмиш', 5]
['марччарин', 5]
['тахсир', 5]
['дубсну', 4]
['гьялак', 4]
['удубчiвну', 4]
['гъябгъюз', 4]
['думукьан', 4]
['гьапiруш', 4]
['шад', 4]
['абайи', 4]
['васият', 4]
['дициб', 4]
['гъирагъдихъ', 4]
['сифте', 4]
['кьялахъ', 4]
['гъирагъдихъна', 4]
['аьмалдар', 4]
['мукьаз', 4]
['душв', 4]
['фила', 4]
['эйси', 4]
['рякъюн', 4]
['яш', 4]
['дерд', 4]
['йирси', 4]
['гъягъюри-гъягъюри', 4]
['ккадабгъну', 4]
['имдарди', 4]
['сан', 4]
['убчiву', 4]
['мидиз', 4]
['ужудар', 4]
['мюгьталди', 4]
['жумарт', 4]
['алдру', 4]
['битiру', 4]
['минди', 4]
['узухъди', 4]
['дуствал', 4]
['убхуз', 4]
['дубшну', 4]
['пеъ', 4]
['либцури', 4]
['вуяв', 4]
['кiваан', 4]
['рякъюрайвуз', 4]
['мисал', 4]
['хюрчабан', 4]
['бети', 4]
['касдин', 4]
['гардандиъ', 4]
['дидлан', 4]
['русвагь', 4]
['бугъмиш', 4]
['ки', 4]
['дийигъуру', 4]
['ялгъузди', 4]
['йигъаз', 4]
['наънан', 4]
['чiивиди', 4]
['абцiнайи', 4]
['чазра', 4]
['аьламатнан', 4]
['ифи', 4]
['дебккну', 4]
['айидар', 4]
['унчiв', 4]
['гъапiуб', 4]
['хьибдар', 4]
['дерниъ', 4]
['йишвар', 4]
['шту', 4]
['сабпи', 4]
['табигъ', 4]
['лихури', 4]
['гъузу', 4]
['иццру', 4]
['сарихьанра', 4]
['падишагьдин', 4]
['вилаятариъ', 4]
['улматарикан', 4]
['падишагьди', 4]
['вазар', 4]
['балихьна', 4]
['шубудпи', 4]
['гъапiиш', 4]
['гьякь', 4]
['ахъну', 4]
['халкьар', 4]
['шурахьна', 4]
['улупуз', 4]
['апiбанди', 4]
['гиран', 4]
['аьлхъюри', 4]
['аьгъязуз', 4]
['учiвубси', 4]
['рукьан', 4]
['футнийир', 4]
['гъюруган', 4]
['ктибтуйи', 4]
['пашманди', 4]
['дидик', 4]
['кiажар', 4]
['улупуру', 4]
['сил', 4]
['ушвниан', 4]
['пачагьди', 4]
['дийигъну', 4]
['чiигъ', 4]
['кивну', 4]
['хъергну', 4]
['чвуччву', 4]
['чвйирра', 4]
['гвачiнин', 4]
['тiагъруди', 4]
['гъумар', 4]
['апiархьа', 4]
['деу', 4]
['шартi', 4]
['миди', 4]
['адмийирин', 4]
['гукiни', 4]
['итну', 4]
['гъягъру', 4]
['чухсагъул', 4]
['ктибтуру', 4]
['узухъ', 4]
['мягъян', 4]
['хай', 4]
['ришна', 4]
['гьюри-пери', 4]
['гьяйвнин', 4]
['гьяйванра', 4]
['гъалйир', 4]
['фици-вуш', 4]
['нур', 4]
['тiубахъ', 4]
['гъабхьнийи', 4]
['бегьемди', 4]
['гъитру', 4]
['шулуш', 4]
['ашра', 4]
['деъну', 4]
['кьатi', 4]
['гъяйиз', 4]
['гьерхган', 4]
['дугъак', 4]
['хулариъ', 4]
['кьюр', 4]
['гъахьнуш', 4]
['марцци', 4]
['яман', 4]
['завариин', 4]
['ккуниб', 4]
['жилири', 4]
['месэла', 4]
['хъапiну', 4]
['багагьна', 4]
['дивру', 4]
['деъру', 4]
['ивру', 4]
['гъудужвну', 4]
['дитну', 4]
['ишуз', 4]
['хьиди', 4]
['гъярчв', 4]
['гъябкъюнчуз', 4]
['сеъ', 4]
['ахью', 4]
['хьаран', 4]
['кiулик', 4]
['гъах', 4]
['периханумди', 4]
['уьлер', 4]
['тiилисимдиинди', 4]
['уларин', 4]
['майдандиъ', 4]
['аган', 4]
['ягъли', 4]
['сумчриз', 4]
['машнягъ', 4]
['гъапиганси', 4]
['булагъдиина', 4]
['штуз', 4]
['ликриин', 4]
['ис', 4]
['апiдайи', 4]
['швушвди', 4]
['дитiибхну', 4]
['шинт', 4]
['мурариз', 4]
['вичар', 4]
['ахъру', 4]
['шлиз-вуш', 4]
['гъуйдин', 4]
['ясана', 4]
['лигуру', 4]
['чйир', 4]
['хуру', 4]
['елиг', 4]
['уьмрикан', 4]
['вазлилан', 4]
['улихьна', 4]
['гъилицнац', 4]
['шагьриан', 4]
['бицiидар', 4]
['тiибхну', 4]
['гъадабгъуз', 4]
['биргъуру', 4]
['фужар', 4]
['мурарин', 4]
['хпирра', 4]
['касибариз', 4]
['чiагъар', 4]
['шулдарзухьан', 4]
['агь', 4]
['кiурбар', 4]
['ашкар', 4]
['кесп', 4]
['хъуркьу', 4]
['хиларигъ', 4]
['дюъйир', 4]
['инжиг', 4]
['имдайи', 4]
['аьгьмаддин', 4]
['гъарзарилан', 4]
['дидхъанмина', 4]
['даждиинди', 4]
['аьхюр', 4]
['чахьан', 4]
['духьна', 4]
['инчи', 4]
['малла-цiарцiар', 4]
['рабгъуру', 4]
['гъачагъари', 4]
['нюкьян', 4]
['жаллатiар', 4]
['ших', 4]
['накьвдиинна', 4]
['кьур', 4]
['адмийир', 4]
['инсанариз', 4]
['мурглин', 4]
['бацар', 4]
['йив', 4]
['ччим', 4]
['халай', 4]
['хуьшде', 4]
['сер', 4]
['песде', 4]
['догъле', 4]
['нирар', 4]
['жилариин', 4]
['дапiназа', 4]
['кьамкьамиса', 4]
['урхъ', 3]
['ебгну', 3]
['сабсана', 3]
['туврайи', 3]
['узухьна', 3]
['увухьна', 3]
['чiур', 3]
['яйилан', 3]
['гьяйванат', 3]
['аьх', 3]
['ебгуру', 3]
['ккебгъну', 3]
['илтiибкiну', 3]
['баладар', 3]
['гьибтру', 3]
['ипiрубдихъ', 3]
['аман', 3]
['узузра', 3]
['азуз', 3]
['бисуз', 3]
['ипiин', 3]
['пайра', 3]
['сулан', 3]
['гъябгъюри', 3]
['гъягъярхьа', 3]
['хюлин', 3]
['ккикк', 3]
['тiурин', 3]
['гъашихъанмина', 3]
['жанавриз', 3]
['сулна', 3]
['фун', 3]
['дабхъру', 3]
['гъитiу', 3]
['гъябкъюндарзуз', 3]
['ккадапiган', 3]
['гъадагъуз', 3]
['увутiан', 3]
['шейъ', 3]
['гъибтну', 3]
['кьацi', 3]
['чиркквари', 3]
['пеъра', 3]
['даттра', 3]
['ухшар', 3]
['нач', 3]
['рябкъюри', 3]
['бегелмиш', 3]
['убчiвру', 3]
['гьан', 3]
['гьаккму', 3]
['рякъюразуз', 3]
['адагъу', 3]
['гъагъи', 3]
['тюфенгар', 3]
['мяхъ', 3]
['писвалар', 3]
['кмиди', 3]
['апiинай', 3]
['цiигъян', 3]
['хюрчабну', 3]
['гьебгну', 3]
['гъеебхьу', 3]
['йикiруб', 3]
['мурарихъ', 3]
['тахсиркар', 3]
['вуйиз', 3]
['бетдиъ', 3]
['ижмиди', 3]
['чахъ', 3]
['аьжайиб', 3]
['бицiиб', 3]
['имдарзухьан', 3]
['ярхиб', 3]
['жил', 3]
['бегьем', 3]
['гакiвлар', 3]
['вуйики', 3]
['ачмиш', 3]
['лик', 3]
['дарман', 3]
['хураг', 3]
['гъябгъюрайи', 3]
['чиркквру', 3]
['кентхуда', 3]
['гъазар', 3]
['гъизгъин', 3]
['раккнар', 3]
['вушул', 3]
['гъаравашди', 3]
['кентхудайи', 3]
['гьяйвнар', 3]
['гьяйвнарин', 3]
['фуниъ', 3]
['сабра', 3]
['цiи', 3]
['гагьдилан', 3]
['ахмиш', 3]
['узкан', 3]
['сикинди', 3]
['фургъун', 3]
['гъаравашра', 3]
['апiураза', 3]
['дахъру', 3]
['вилаятарин', 3]
['гъахнийи', 3]
['уьзур', 3]
['каламариз', 3]
['пачагьдин', 3]
['везирариз', 3]
['хъайи-хътру', 3]
['жандак', 3]
['аьламат', 3]
['гъеерхьган', 3]
['везириз', 3]
['уьлкйириз', 3]
['нагагь', 3]
['тувиш', 3]
['дишди', 3]
['гьацi', 3]
['хабрар', 3]
['ими', 3]
['жаллатiари', 3]
['гъалайихъна', 3]
['фалчйир', 3]
['гъушнийи', 3]
['апiбу', 3]
['гъиган', 3]
['дустраз', 3]
['разивал', 3]
['дустру', 3]
['апiиди', 3]
['кюмекназ', 3]
['дерди', 3]
['тавханайиъ', 3]
['гъахуру', 3]
['устайиз', 3]
['мяълийир', 3]
['яни', 3]
['дариз', 3]
['ккилигури', 3]
['гьяйванатар', 3]
['дишагьли', 3]
['шли-вуш', 3]
['гъеерхьу', 3]
['дугъазра', 3]
['разиди', 3]
['йишваз', 3]
['дидихъди', 3]
['алдагъган', 3]
['вилаятдиъ', 3]
['гъахьнушра', 3]
['касибриз', 3]
['дуфнайи', 3]
['фаракьат', 3]
['шубрид', 3]
['шагьур', 3]
['дару', 3]
['сабдиъ', 3]
['шли', 3]
['касра', 3]
['ахъли', 3]
['учухь', 3]
['гъузну', 3]
['багарихь', 3]
['гъягъюрава', 3]
['ригъра', 3]
['рягьятвал', 3]
['шадвалиинди', 3]
['гъала', 3]
['вилаятдин', 3]
['деетну', 3]
['гьациб', 3]
['деркку', 3]
['анжах', 3]
['чак', 3]
['умуд', 3]
['гъумариин', 3]
['шей', 3]
['аьхирки', 3]
['дивнайи', 3]
['массу', 3]
['итру', 3]
['кьялану', 3]
['лихуз', 3]
['алдахъуру', 3]
['гъузуз', 3]
['дагъдиин', 3]
['вартiан', 3]
['гъягъюрза', 3]
['ал', 3]
['гьялар', 3]
['жаллатiариз', 3]
['хябяхъдизди', 3]
['гъюбан', 3]
['тур', 3]
['кьабирин', 3]
['вилаятариз', 3]
['дяркъну', 3]
['иб', 3]
['турувди', 3]
['хала', 3]
['гъайгъу', 3]
['вуйиганси', 3]
['гьяятдиъ', 3]
['удучiвган', 3]
['лицуз', 3]
['айвандикк', 3]
['сач', 3]
['тинди', 3]
['кахъру', 3]
['гъяркъюндайи', 3]
['гъапибси', 3]
['тiублан', 3]
['тувуб', 3]
['чюлиъ', 3]
['йишвлан', 3]
['чахъди', 3]
['тулара', 3]
['ирж', 3]
['хури', 3]
['гъакiну', 3]
['ахъу', 3]
['улматар', 3]
['18', 3]
['аьмпар', 3]
['илбицури', 3]
['жаргъури', 3]
['сарсана', 3]
['19', 3]
['юргъа', 3]
['инди', 3]
['элеъну', 3]
['йигъну', 3]
['гьаддихъанмина', 3]
['къисханумдин', 3]
['жилирин', 3]
['кур', 3]
['гьюкум', 3]
['раццаъ', 3]
['билцнаг', 3]
['гъваин', 3]
['ктарди', 3]
['апiура', 3]
['дитiирхну', 3]
['адабгъну', 3]
['чiарар', 3]
['хиларигъян', 3]
['кiван', 3]
['улариан', 3]
['кiуруганси', 3]
['убгъури', 3]
