['да', 1311]
['эшитип', 13]
['ичип', 13]
['экенни', 13]
['шоссагьат', 13]
['гелегенде', 13]
['ача', 13]
['болса', 13]
['улангъа', 13]
['этермен', 13]
['чыкъгъанда', 13]
['такъа', 13]
['гийип', 13]
['атам', 13]
['охуп', 13]
['язып', 13]
['къадини', 13]
['тавке', 13]
['гьармут', 13]
['ченгерткини', 13]
['будай', 12]
['вай', 12]
['агъач', 12]
['чаба', 12]
['баралар', 12]
['туралар', 12]
['герек', 12]
['токътап', 12]
['оьзюн', 12]
['ташны', 12]
['тартып', 12]
['боламы', 12]
['тёгюп', 12]
['жыйып', 12]
['битгенде', 12]
['кююнде', 12]
['онгуп-оьсюп', 12]
['бий', 12]
['юрт', 12]
['бёрюлер', 12]
['къарайлар', 12]
['шат', 12]
['сакълап', 12]
['этеген', 12]
['тюгюлмен', 12]
['палан', 12]
['къазан', 12]
['башы', 12]
['сююп', 12]
['той', 12]
['абзаргъа', 12]
['бириси', 12]
['тегенек', 12]
['отгъа', 12]
['къойду', 12]
['ур', 12]
['айгъырны', 12]
['ухлап', 12]
['ухлай', 12]
['башында', 12]
['17', 12]
['сюймей', 12]
['18', 12]
['юрю', 12]
['барайыкъ', 12]
['гелмей', 12]
['къайтарып', 12]
['чакъыра', 12]
['дёрт', 12]
['атасына', 12]
['уьчюнчю', 12]
['къызардашы', 12]
['къарачачны', 12]
['къарачач', 12]
['тюе', 12]
['эрине', 12]
['балта', 12]
['эдик', 11]
['къалып', 11]
['гьы', 11]
['къойгъан', 11]
['гелигиз', 11]
['тюгю', 11]
['оьз', 11]
['болалар', 11]
['къуйрукъну', 11]
['яшай', 11]
['сувну', 11]
['авур', 11]
['парахат', 11]
['терен', 11]
['къыр', 11]
['ашайман', 11]
['къапу', 11]
['гелди', 11]
['ичи', 11]
['янында', 11]
['этсе', 11]
['багъананы', 11]
['ал', 11]
['девню', 11]
['айтма', 11]
['19', 11]
['20', 11]
['буюра', 11]
['сёз', 11]
['амалым', 11]
['къатынын', 11]
['къайры', 11]
['атдан', 11]
['еринде', 11]
['оьгей', 11]
['отну', 11]
['ярыкъ', 11]
['сувсар', 11]
['этмеге', 11]
['бийтемир', 11]
['адамни', 11]
['къылычтёш', 11]
['акъ-къатун', 11]
['арагъа', 10]
['гьилла', 10]
['ёлдан', 10]
['хыйлы', 10]
['аювну', 10]
['оьлтюре', 10]
['бугюн', 10]
['басып', 10]
['гёрдюм', 10]
['тирмен', 10]
['танг', 10]
['ёмагъы', 10]
['къоян', 10]
['алдын', 10]
['оьзлер', 10]
['барса', 10]
['гьай', 10]
['къалмай', 10]
['барасан', 10]
['токъта', 10]
['кимдир', 10]
['бери', 10]
['ачувлу', 10]
['англап', 10]
['гелейим', 10]
['ягъагъа', 10]
['бузав', 10]
['къозуну', 10]
['гёргенде', 10]
['аркъасына', 10]
['жан', 10]
['кёк', 10]
['чохай', 10]
['къазып', 10]
['ёлдаш', 10]
['гюнлер', 10]
['къагъып', 10]
['чыгъара', 10]
['айтарсан', 10]
['гьакъында', 10]
['ерден', 10]
['саялы', 10]
['яхшылыкъ', 10]
['ятгъан', 10]
['тирменчи', 10]
['затланы', 10]
['арасында', 10]
['чечип', 10]
['уянып', 10]
['гьуя', 10]
['гелейик', 10]
['турсун', 10]
['къуллукъ', 10]
['къувалап', 10]
['гёзлерин', 10]
['къан', 10]
['къоюгъуз', 10]
['къапуну', 10]
['къаланы', 10]
['къаравул', 10]
['асгер', 10]
['атына', 10]
['баргъан', 10]
['тюрлю', 10]
['кебин', 10]
['гесип', 10]
['21', 10]
['чачы', 10]
['22', 10]
['сыдырып', 10]
['къыйын', 10]
['бири', 10]
['барайым', 10]
['сатып', 10]
['къолуна', 10]
['къолунда', 10]
['буссагьат', 10]
['къурбанали', 10]
['тавлу', 10]
['къызгъанч', 10]
['нартланы', 10]
['дорба', 9]
['къойма', 9]
['сюйген', 9]
['семиз', 9]
['тюлкюге', 9]
['сайын', 9]
['бёрюге', 9]
['къабанны', 9]
['етишгенде', 9]
['эшите', 9]
['тирменге', 9]
['сугъуп', 9]
['къуйругъун', 9]
['энни', 9]
['гелирмен', 9]
['ойлашып', 9]
['тургъан', 9]
['йырлай', 9]
['терекден', 9]
['этесен', 9]
['авлакъда', 9]
['яшайгъан', 9]
['ари-бери', 9]
['гетди', 9]
['узун', 9]
['ёлун', 9]
['узата', 9]
['къуйругъуна', 9]
['санныкъны', 9]
['гьейлер', 9]
['нетесен', 9]
['языкъ', 9]
['башлайлар', 9]
['кёлню', 9]
['опуракъларын', 9]
['акъча', 9]
['башынгны', 9]
['этелер', 9]
['гьатта', 9]
['билмеймен', 9]
['къарайыкъ', 9]
['билев', 9]
['зух', 9]
['ерли', 9]
['ахырда', 9]
['асгерни', 9]
['бермей', 9]
['манат', 9]
['тюшелер', 9]
['болурман', 9]
['къуш', 9]
['кисесине', 9]
['оьлтюрме', 9]
['савбол', 9]
['болмайман', 9]
['энемге', 9]
['къыздан', 9]
['атын', 9]
['уьй', 9]
['аривлюгюне', 9]
['вазирлер', 9]
['тас', 9]
['астаракъ', 9]
['тайып', 9]
['тюеге', 9]
['кёкге', 9]
['тийип', 9]
['кимсен', 9]
['дарман', 9]
['тойгъа', 9]
['тюбюнден', 9]
['берейим', 9]
['тилеп', 9]
['юртну', 9]
['кёстекге', 9]
['вакътиде', 9]
['ажай', 9]
['буну', 9]
['агьмат', 9]
['хаммат', 9]
['жинлар', 9]
['къалавзар', 9]
['берирмен', 8]
['ишге', 8]
['ярты', 8]
['тута', 8]
['тут', 8]
['ачуву', 8]
['ашайлар', 8]
['битип', 8]
['этсем', 8]
['къуйрукъ', 8]
['гёрсетип', 8]
['сувдан', 8]
['этер', 8]
['болма', 8]
['чилав', 8]
['тюлкю-акъай', 8]
['къалыр', 8]
['эшикге', 8]
['артына', 8]
['онгмай-оьсмей', 8]
['мида', 8]
['дида', 8]
['оьте', 8]
['ютуп', 8]
['ярып', 8]
['анасын', 8]
['яртысын', 8]
['сюйсенг', 8]
['юрюген', 8]
['тютюн', 8]
['хинти-минти', 8]
['эс', 8]
['яр', 8]
['чачларын', 8]
['къуюгъа', 8]
['сорайлар', 8]
['жымчыкъ', 8]
['дюньяда', 8]
['менден', 8]
['къуюдан', 8]
['оьрге', 8]
['гёрмей', 8]
['яшы', 8]
['тие', 8]
['нас', 8]
['ичиндеги', 8]
['гелсин', 8]
['къызына', 8]
['сакъаллы', 8]
['пайда', 8]
['алда', 8]
['толгъан', 8]
['къалды', 8]
['барын', 8]
['авзун', 8]
['йыллар', 8]
['болмас', 8]
['тана', 8]
['чыкъмай', 8]
['толуп', 8]
['агъаларым', 8]
['тынгламай', 8]
['сёйлеп', 8]
['этмей', 8]
['ярамай', 8]
['еринден', 8]
['адамсан', 8]
['лакъыр', 8]
['къойман', 8]
['оьтюп', 8]
['атасыны', 8]
['беремен', 8]
['балагь', 8]
['гишиге', 8]
['гьазир', 8]
['ит', 8]
['тезлик', 8]
['айтса', 8]
['къызардашлары', 8]
['пачаны', 8]
['тюшген', 8]
['тюени', 8]
['къагъа', 8]
['биревю', 8]
['агъачдан', 8]
['узакъ', 8]
['авлакъгъа', 8]
['алмай', 8]
['биревге', 8]
['хоншу', 8]
['заманлар', 8]
['эртенинде', 8]
['ярлы', 8]
['йип', 8]
['сувсарны', 8]
['али', 8]
['заманларда', 8]
['гьюсен', 8]
['биревню', 8]
['юз', 8]
['токъсан', 8]
['туварчыны', 8]
['алтун', 8]
['байрамалиге', 8]
['гьажикерим', 8]
['худайберди', 8]
['палчы', 8]
['насипни', 8]
['сазан', 8]
['авчу', 8]
['рагьим', 8]
['багъип', 8]
['патий', 8]
['митминат', 8]
['уруна', 7]
['тюлкюню', 7]
['гет', 7]
['тавшан', 7]
['хоразны', 7]
['къоялар', 7]
['ойлай', 7]
['болмагъа', 7]
['тизив', 7]
['салам', 7]
['болгъунча', 7]
['халкъны', 7]
['къошну', 7]
['айып', 7]
['барагъанын', 7]
['атынг', 7]
['аявлу', 7]
['гесек', 7]
['амал', 7]
['ачувлана', 7]
['эшекге', 7]
['ант', 7]
['чыгъагъан', 7]
['бир-бирине', 7]
['гелир', 7]
['баш', 7]
['тюбек', 7]
['ишин', 7]
['ачылгъан', 7]
['гюнге', 7]
['барабыз', 7]
['къурдаш', 7]
['къайталар', 7]
['уллусу', 7]
['ошай', 7]
['гьайван', 7]
['турарсан', 7]
['бувуп', 7]
['гир', 7]
['къычырып', 7]
['гиччиси', 7]
['тувра', 7]
['хандан', 7]
['къызымны', 7]
['ессине', 7]
['кёлге', 7]
['болгъанны', 7]
['берме', 7]
['уьюнде', 7]
['чыгъалар', 7]
['олагъа', 7]
['къар', 7]
['къоярман', 7]
['ярдан', 7]
['тапсам', 7]
['сал', 7]
['къозун', 7]
['алгъа', 7]
['уланын', 7]
['чыкъса', 7]
['ябып', 7]
['айгъыр', 7]
['болагъан', 7]
['арада', 7]
['адамдан', 7]
['чыкъма', 7]
['акъчаны', 7]
['тавгъа', 7]
['аждагьаны', 7]
['эсине', 7]
['гелдинг', 7]
['изну', 7]
['гелдим', 7]
['23', 7]
['байтал', 7]
['бурулуп', 7]
['ичме', 7]
['заманы', 7]
['уланына', 7]
['биябур', 7]
['яшын', 7]
['етип', 7]
['къуйругъундан', 7]
['ортасында', 7]
['сёзюн', 7]
['гертиден', 7]
['аз', 7]
['гёрсете', 7]
['гьариси', 7]
['итни', 7]
['къув', 7]
['гелелер', 7]
['бувара', 7]
['ачылып', 7]
['алты', 7]
['аскерхангъа', 7]
['агъачгъа', 7]
['теберип', 7]
['башмакъ', 7]
['къалажакъ', 7]
['чырмап', 7]
['сой', 7]
['къазанны', 7]
['къазангъа', 7]
['хапды', 7]
['нетейим', 7]
['оьлген', 7]
['сатмагъа', 7]
['хытан', 7]
['къадиге', 7]
['тюкенге', 7]
['тюкенчи', 7]
['геч', 7]
['къайын', 7]
['бавур', 7]
['къарайман', 7]
['яхсайгъа', 7]
['нартлагъа', 7]
['насибимни', 7]
['балны', 7]
['къораны', 7]
['ишинг', 6]
['кюмес', 6]
['битдирип', 6]
['бите', 6]
['гёрсе', 6]
['оьзюм', 6]
['гьиллачы', 6]
['экиси', 6]
['тюлкю-тюлкю', 6]
['ашайыкъ', 6]
['нарт', 6]
['негер', 6]
['гюнлерден', 6]
['инанып', 6]
['оьлмей', 6]
['яшайсан', 6]
['заманында', 6]
['илинип', 6]
['тарта', 6]
['къолу', 6]
['шолар', 6]
['къалсын', 6]
['эчкини', 6]
['баласын', 6]
['балаларым', 6]
['гетейик', 6]
['аркъадан', 6]
['гьайванланы', 6]
['ачдан', 6]
['артгъа', 6]
['берсенг', 6]
['арт', 6]
['магь', 6]
['арасына', 6]
['агъачлыкъгъа', 6]
['уьюнг', 6]
['гьакъыллы', 6]
['къартны', 6]
['тюгюлмю', 6]
['хомузну', 6]
['къозугъа', 6]
['къояр', 6]
['абзарына', 6]
['етгенде', 6]
['тогъанакъ', 6]
['ёкъда', 6]
['ананг', 6]
['терезеден', 6]
['оьлтюрмей', 6]
['агъачны', 6]
['йылап', 6]
['уьйретди', 6]
['яшынып', 6]
['къолун', 6]
['бугъай', 6]
['къол', 6]
['сабанчыны', 6]
['санныкъгъа', 6]
['болдум', 6]
['балагьдан', 6]
['йылангъа', 6]
['шунча', 6]
['ялгъан', 6]
['айтасан', 6]
['сабанчыгъа', 6]
['намарт', 6]
['оьлме', 6]
['савгъат', 6]
['элте', 6]
['чечинип', 6]
['уьстюнден', 6]
['ханым', 6]
['къызынгны', 6]
['адамлагъа', 6]
['къалаланы', 6]
['тюшюрюп', 6]
['къувалай', 6]
['шугъар', 6]
['къарагъыз', 6]
['тёлени', 6]
['ине', 6]
['меники', 6]
['береми', 6]
['бермесмен', 6]
['гёз', 6]
['гетейим', 6]
['этдим', 6]
['сорап', 6]
['етишелер', 6]
['чыгъарман', 6]
['сакълай', 6]
['атларын', 6]
['ойгъа', 6]
['тюеден', 6]
['тёбени', 6]
['тилеймен', 6]
['уьчюнчюлей', 6]
['бусагъыз', 6]
['ерлеге', 6]
['юреги', 6]
['къолай', 6]
['гавур', 6]
['чачын', 6]
['тамгъа', 6]
['азат', 6]
['этгенмен', 6]
['ягъындагъы', 6]
['24', 6]
['барыгъыз', 6]
['эр', 6]
['уьйден', 6]
['гиеген', 6]
['иче', 6]
['йыгъыла', 6]
['къул', 6]
['ял', 6]
['этемен', 6]
['къатыным', 6]
['къайтгъанда', 6]
['тавушлар', 6]
['бавну', 6]
['чыкъ', 6]
['къолундагъы', 6]
['артыкъ', 6]
['тапшура', 6]
['ёлну', 6]
['ел', 6]
['тюк', 6]
['урчукъ', 6]
['зарал', 6]
['гелтир', 6]
['ибрагьимге', 6]
['къалкъыгъа', 6]
['языгъы', 6]
['гёзлерингни', 6]
['эшигин', 6]
['жинлер', 6]
['сюемен', 6]
['бёрк', 6]
['эшикден', 6]
['савдюгерчи', 6]
['герти', 6]
['берли', 6]
['салагъан', 6]
['билдире', 6]
['тойлар', 6]
['туваргъа', 6]
['бир-эки', 6]
['тигип', 6]
['сыйлы', 6]
['затлар', 6]
['ялбарып', 6]
['патиматны', 6]
['тамазагъа', 6]
['деди', 6]
['шонча', 6]
['гьайдап', 6]
['болгъай', 6]
['эпсиз', 6]
['миналаны', 6]
['агъа-ини', 6]
['бавурну', 6]
['янынга', 6]
['молланы', 6]
['хасапчы', 6]
['бешикни', 6]
['багьасы', 6]
['гьайт', 6]
['анасыны', 6]
['алтынны', 6]
['тонкъуллакъ', 6]
['къапгъунгъа', 6]
['чум', 6]
['албаслы', 6]
['ашгьаду', 6]
['эртенге', 5]
['барысы', 5]
['уяна', 5]
['уланыны', 5]
['гьона', 5]
['тайны', 5]
['йыгъа', 5]
['чагъан', 5]
['гьавчубуз', 5]
['къартыбыз', 5]
['эти', 5]
['къачан', 5]
['чыгып', 5]
['билдирмей', 5]
['турасан', 5]
['айландырып', 5]
['унну', 5]
['чыгъар', 5]
['къатынлар', 5]
['сюре', 5]
['биринчи', 5]
['сабанны', 5]
['мал', 5]
['сатма', 5]
['саламын', 5]
['яйып', 5]
['тёбе', 5]
['яшланы', 5]
['тюбюндеги', 5]
['тюпде', 5]
['эшитгенде', 5]
['къачгъан', 5]
['гида', 5]
['отлап', 5]
['бара-бара', 5]
['тишлерин', 5]
['минав', 5]
['орманлыкъны', 5]
['пачасы', 5]
['къулакъ', 5]
['атыла', 5]
['аваз', 5]
['гёзлери', 5]
['агьмакъ', 5]
['бирини', 5]
['къалдым', 5]
['тери', 5]
['тёле', 5]
['терисин', 5]
['таман', 5]
['гючлю', 5]
['балаларын', 5]
['кеп', 5]
['айтаман', 5]
['тюгюлсен', 5]
['къалкъысына', 5]
['ашагъан', 5]
['тынглап', 5]
['аш-сув', 5]
['шундан', 5]
['бала', 5]
['бирисин', 5]
['ашажакъ', 5]
['гесмеге', 5]
['айтмагъа', 5]
['къуюну', 5]
['бичен', 5]
['оьлтюремен', 5]
['мунча', 5]
['дюньяны', 5]
['чыкъды', 5]
['ябуп', 5]
['береген', 5]
['оьлюмден', 5]
['атасындан', 5]
['алай', 5]
['къызыны', 5]
['билемен', 5]
['гёргендокъ', 5]
['гёремисен', 5]
['къаз', 5]
['сындырып', 5]
['чю', 5]
['агъачлыкъда', 5]
['оьзлеге', 5]
['ахшамгъа', 5]
['амалсыз', 5]
['орнуна', 5]
['берерсен', 5]
['этегенни', 5]
['этейик', 5]
['яшырып', 5]
['къайсылайдыр', 5]
['урламагъа', 5]
['тюпге', 5]
['бакъдырып', 5]
['огь', 5]
['отбашгъа', 5]
['башындан', 5]
['бизни', 5]
['гёзю', 5]
['адамланы', 5]
['ошайгъан', 5]
['бармагъа', 5]
['йибер', 5]
['токътайлар', 5]
['къалма', 5]
['бош', 5]
['айгъыргъа', 5]
['керван', 5]
['башлагъан', 5]
['эретуруп', 5]
['акъчадан', 5]
['денгизни', 5]
['сюек', 5]
['гетежек', 5]
['гёрмегенмен', 5]
['ашап-ичип', 5]
['яныма', 5]
['гелгинче', 5]
['зая', 5]
['юртуна', 5]
['тюшме', 5]
['жинлени', 5]
['эп', 5]
['сёзюнг', 5]
['къабул', 5]
['ойлап', 5]
['къайтагъанда', 5]
['айлы', 5]
['айлар', 5]
['охума', 5]
['айтар', 5]
['билме', 5]
['мажлисге', 5]
['гечени', 5]
['эр-къатын', 5]
['тапма', 5]
['кекелли', 5]
['мангалайлы', 5]
['сююнч', 5]
['къатынынг', 5]
['башгъасын', 5]
['гючюк', 5]
['гьыз', 5]
['емишлер', 5]
['сагьат', 5]
['намазгъа', 5]
['ортанчы', 5]
['юзюк', 5]
['тешикден', 5]
['булардан', 5]
['берелер', 5]
['булакъ', 5]
['кимни', 5]
['сел', 5]
['затдан', 5]
['къызардаш', 5]
['арыгъан', 5]
['къатыныны', 5]
['ягъы', 5]
['уланкъардаш', 5]
['ачма', 5]
['чачлары', 5]
['гелирсен', 5]
['тамашалыкъ', 5]
['хабарын', 5]
['юмуп', 5]
['иннемей', 5]
['чыкъгъанман', 5]
['йыллыкъ', 5]
['гамиш', 5]
['хабарлай', 5]
['ариде', 5]
['къаласына', 5]
['ерин', 5]
['эшитген', 5]
['алдындагъы', 5]
['бавтаны', 5]
['кисесинден', 5]
['гиев', 5]
['барны', 5]
['сомалагъын', 5]
['башыма', 5]
['хапдынгмы', 5]
['савут', 5]
['ана', 5]
['шуланы', 5]
['къысыр', 5]
['алайым', 5]
['гёресен', 5]
['тешикни', 5]
['атлар', 5]
['ойлашалар', 5]
['уланкъардашы', 5]
['бийий', 5]
['басгъан', 5]
['тёге', 5]
['янып', 5]
['тавкени', 5]
['тувары', 5]
['айтды', 5]
['къуллукъчулар', 5]
['гьармутну', 5]
['табуп', 5]
['бермессен', 5]
['акъчасын', 5]
['оьлюм', 5]
['атамны', 5]
['хазна', 5]
['батгъычны', 5]
['алдынгъы', 5]
['шолайына', 5]
['китап', 5]
['яшгъа', 5]
['тува', 5]
['эшитиле', 5]
['къардаш', 5]
['акъчалыкъ', 5]
['чыкъдым', 5]
['оьлтюрген', 5]
['къагъыла', 5]
['четенни', 5]
['ариги', 5]
['бирлери', 5]
['ессин', 5]
['насибим', 5]
['гёзюм', 5]
['агъачланы', 5]
['янкъыллакъ', 5]
['къармакъгъа', 5]
['гёме', 5]
['юлдуз', 5]
['яхши', 5]
