['бур', 1623]
['лавсуну', 12]
['душгу', 12]
['кiяласса', 12]
['чайгу', 12]
['зул', 12]
['чансса', 12]
['бусан', 12]
['шанай', 12]
['чуртту', 12]
['арулла', 12]
['бигьа', 12]
['шаппа', 12]
['ляркъуну', 12]
['чiила', 12]
['лувдуш', 12]
['оьлил', 12]
['ттаркiру', 12]
['баргъ', 12]
['щарссанихь', 12]
['уссил', 12]
['къуруш', 12]
['бизар', 11]
['аллагьнал', 11]
['дара', 11]
['ххявххун', 11]
['щяв', 11]
['кiункiу', 11]
['мунил', 11]
['ганияр', 11]
['занай', 11]
['бувчiуну', 11]
['дуллалисса', 11]
['даркьуну', 11]
['туну', 11]
['гикку', 11]
['дукрагу', 11]
['гичча', 11]
['винма', 11]
['риртун', 11]
['гиву', 11]
['ттучiа', 11]
['учiан', 11]
['цiу', 11]
['дия', 11]
['паракьат', 11]
['чiивисса', 11]
['хъун', 11]
['заллу', 11]
['ургарча', 11]
['ацiан', 11]
['хъуннасса', 11]
['аьтiий', 11]
['бавцiуну', 11]
['хъямала', 11]
['хъус', 11]
['13', 11]
['арулва', 11]
['аждагьа', 11]
['байсса', 11]
['винна', 11]
['куц', 11]
['тур', 11]
['шанна', 11]
['увкусса', 11]
['чув', 11]
['ссупра', 11]
['бува', 11]
['качалнал', 11]
['ккупiас', 11]
['булунна', 10]
['чiалай', 10]
['левххун', 10]
['аьтiун', 10]
['тай', 10]
['мяйжаннугу', 10]
['ку', 10]
['хьурча', 10]
['зару', 10]
['шатлул', 10]
['бивтун', 10]
['ягу', 10]
['уттигу', 10]
['ганихь', 10]
['булун', 10]
['ларххуну', 10]
['жуав', 10]
['ттуккул', 10]
['кьатiув', 10]
['гайннан', 10]
['бикiайссар', 10]
['хiачiан', 10]
['кьабивтун', 10]
['шарда', 10]
['кiира', 10]
['хьукун', 10]
['авцiуну', 10]
['вайннал', 10]
['14', 10]
['тинмай', 10]
['тти', 10]
['ачу', 10]
['ттула', 10]
['дучри', 10]
['лув', 10]
['ява', 10]
['укунсса', 10]
['бат', 10]
['аьркинссар', 10]
['майбакъу', 10]
['щинал', 10]
['жайран', 10]
['хьхьуну', 10]
['зад', 10]
['кiиссагу', 10]
['бувчiин', 10]
['ххарину', 10]
['хазна', 10]
['чумарт', 10]
['шикку', 9]
['циняр', 9]
['варанттул', 9]
['къашайсса', 9]
['ххуллин', 9]
['нава', 9]
['мукунсса', 9]
['чин', 9]
['вяркъул', 9]
['лахъсса', 9]
['тiивтiуну', 9]
['махъру', 9]
['хьулух', 9]
['гивун', 9]
['шиву', 9]
['къарал', 9]
['ганахь', 9]
['увцуну', 9]
['архiал', 9]
['ницал', 9]
['ссихi', 9]
['буси', 9]
['накi', 9]
['хiаллай', 9]
['цакуну', 9]
['нарт', 9]
['унсукьлун', 9]
['арх', 9]
['шагьрулул', 9]
['16', 9]
['ятiул', 9]
['ливккун', 9]
['икiу', 9]
['арснан', 9]
['уссурвал', 9]
['адиминал', 9]
['щарссагу', 9]
['къашавай', 9]
['дува', 9]
['анаварну', 9]
['тiиртiуну', 9]
['лавчiун', 9]
['лаган', 9]
['цири', 9]
['луглан', 9]
['занан', 9]
['данна', 9]
['лавхьхьусса', 9]
['чiатiа', 9]
['неххачiан', 9]
['авадансса', 9]
['жайрандалул', 9]
['щяивкiун', 9]
['гурга', 9]
['мискинсса', 9]
['дардирдай', 9]
['хiухчил', 9]
['ханнахь', 9]
['ханнан', 9]
['къараахiмадлул', 9]
['чiявукiулшиву', 8]
['магъ', 8]
['ялтту', 8]
['лагма-ялтту', 8]
['бушиву', 8]
['шин', 8]
['акъа', 8]
['ласи', 8]
['къалявкъуну', 8]
['къахъанай', 8]
['ччиккул', 8]
['цiими', 8]
['буслай', 8]
['бувтуну', 8]
['чiарах', 8]
['лахьхьин', 8]
['лавгсса', 8]
['щябивкiун', 8]
['ххув', 8]
['усса', 8]
['акъахьурча', 8]
['гьарайзу', 8]
['неххавун', 8]
['ххуйну', 8]
['жул', 8]
['щаллусса', 8]
['паракьатну', 8]
['яннарду', 8]
['микку', 8]
['залуннал', 8]
['касак', 8]
['хъян', 8]
['цан', 8]
['чал', 8]
['жаваб', 8]
['тава', 8]
['лавхъун', 8]
['уссияв', 8]
['тiанкi', 8]
['цавай', 8]
['бивукун', 8]
['ссаламгу', 8]
['зий', 8]
['ивхьуну', 8]
['ишин', 8]
['ацiния', 8]
['кьутi', 8]
['ца-ца', 8]
['гьантта', 8]
['кьаивтун', 8]
['мугу', 8]
['вихь', 8]
['жула', 8]
['ацiу', 8]
['канил', 8]
['зунттул', 8]
['чани', 8]
['гьунтти', 8]
['бакiрачiан', 8]
['лякъин', 8]
['бикiайсса', 8]
['къатлува', 8]
['ттунгу', 8]
['ккаччал', 8]
['кiиз', 8]
['къячiи', 8]
['кiисри', 8]
['барча', 8]
['арснал', 8]
['щинчiав', 8]
['щарссанин', 8]
['ккарккун', 8]
['ккупiаснан', 8]
['бярнил', 8]
['туман', 8]
['тiама', 8]
['ханначiан', 8]
['бувчiу', 8]
['мискиннан', 8]
['кьукьин', 8]
['судиянал', 8]
['къараахiмад', 8]
['къадиркiун', 7]
['цайми', 7]
['левчунма', 7]
['гиккун', 7]
['лирчiун', 7]
['лагма', 7]
['хъунмур', 7]
['аьрщарай', 7]
['цивппа', 7]
['миннан', 7]
['пикрирдай', 7]
['кiи', 7]
['дакiнин', 7]
['хъама', 7]
['бувкуну', 7]
['хъунма', 7]
['цичiар', 7]
['нану', 7]
['бия', 7]
['оь', 7]
['маз', 7]
['хъунил', 7]
['мурхь', 7]
['гьич', 7]
['бухьурча', 7]
['лавкьуну', 7]
['аллагьнайн', 7]
['яру', 7]
['сагъну', 7]
['шайсса', 7]
['паччахiнан', 7]
['ххяххан', 7]
['лухiисса', 7]
['авадан', 7]
['буцай', 7]
['оьккисса', 7]
['ххяли', 7]
['ваксса', 7]
['нузкьун', 7]
['лувату', 7]
['увкумур', 7]
['къума', 7]
['гамур', 7]
['кiичiиравун', 7]
['ссигу', 7]
['хiаллавун', 7]
['аьрщарайн', 7]
['авли', 7]
['валлагь', 7]
['шавайн', 7]
['тикку', 7]
['щак', 7]
['гьантлий', 7]
['ссур', 7]
['душру', 7]
['кьатi', 7]
['дуссар', 7]
['мичча', 7]
['аьрал', 7]
['вичiан', 7]
['буттан', 7]
['тiимур', 7]
['тiар', 7]
['чiири', 7]
['увсун', 7]
['душнихь', 7]
['инава', 7]
['левчуна', 7]
['усаврил', 7]
['цащала', 7]
['дансса', 7]
['къуллугъчитал', 7]
['хъяй', 7]
['шагьрулий', 7]
['ххюва', 7]
['бавхiуну', 7]
['буюр', 7]
['кiюрххилнин', 7]
['ччяни', 7]
['укуну', 7]
['рухi', 7]
['ччикун', 7]
['оьл', 7]
['ттучiан', 7]
['ашрапирттал', 7]
['жанграл', 7]
['барчаман', 7]
['къатри', 7]
['щинавун', 7]
['дарцiуну', 7]
['чассажи', 7]
['цивхьур', 7]
['бакъари', 7]
['авлия', 7]
['хьхьу', 7]
['бавсса', 7]
['кiюрххила', 7]
['хъув', 7]
['чiахху', 7]
['ттархь', 7]
['цуркинт', 7]
['ххай', 7]
['щяйтiантрал', 7]
['шардаллил', 7]
['тяй', 7]
['цiунил', 7]
['кiия', 7]
['ацiва', 7]
['мукьцiалва', 7]
['тяхъашиву', 7]
['хъацiаьлил', 7]
['щарссанищал', 7]
['хъяврин', 6]
['левчуну', 6]
['къачча', 6]
['чiирисса', 6]
['бюрх', 6]
['вичiив', 6]
['бучiан', 6]
['аслан', 6]
['бувкiсса', 6]
['цiаний', 6]
['ххартi', 6]
['личин', 6]
['бивкiукун', 6]
['букан', 6]
['урив', 6]
['агь', 6]
['бивкiсса', 6]
['буслан', 6]
['ссу', 6]
['лихъан', 6]
['читiул', 6]
['хъит', 6]
['кiива', 6]
['вих', 6]
['лахъисса', 6]
['гайгу', 6]
['дяхтта', 6]
['ттуллари', 6]
['кьинигу', 6]
['бивкiуну', 6]
['марцiсса', 6]
['къумасса', 6]
['чухъа', 6]
['булувкьуну', 6]
['ялув', 6]
['ганий', 6]
['бурхха', 6]
['цурку', 6]
['бивчiан', 6]
['марцi', 6]
['хьу', 6]
['дулара', 6]
['уруглай', 6]
['цаймигу', 6]
['зуруй', 6]
['ивтун', 6]
['дикiул', 6]
['ттуя', 6]
['хайр', 6]
['бакъара', 6]
['къахьунниссар', 6]
['аллагьнан', 6]
['бачiи', 6]
['вив', 6]
['къабусарча', 6]
['буцин', 6]
['арцул', 6]
['бансса', 6]
['хiаятраву', 6]
['душиву', 6]
['инсантурал', 6]
['буру', 6]
['укунгу', 6]
['нагьлил', 6]
['кьинирдал', 6]
['уругарча', 6]
['арула', 6]
['къалалувун', 6]
['иран', 6]
['ашрапиртту', 6]
['бивчуну', 6]
['дура', 6]
['бувцiуну', 6]
['шанма', 6]
['мишан', 6]
['жагьилсса', 6]
['дарчiуну', 6]
['шагьрулийн', 6]
['мува', 6]
['канан', 6]
['барчаллагь', 6]
['17', 6]
['гьалмахчунал', 6]
['ккавккукун', 6]
['уккан', 6]
['лавай', 6]
['цувагу', 6]
['къужлул', 6]
['аьркин', 6]
['ливчуну', 6]
['цуксса', 6]
['ихтилат', 6]
['къурши', 6]
['сукку', 6]
['лахъан', 6]
['ттеркьюкьал', 6]
['шайкун', 6]
['ахир', 6]
['тiи', 6]
['инагу', 6]
['задгу', 6]
['дучiан', 6]
['ниттихь', 6]
['паччахiнахь', 6]
['ххуллийн', 6]
['чiан', 6]
['усттарнан', 6]
['биттур', 6]
['майбакъуй', 6]
['чiатiаракi', 6]
['увкiсса', 6]
['щарнил', 6]
['лувдушнил', 6]
['буллусса', 6]
['ккаччив', 6]
['ппалгу', 6]
['оьлуркъу', 6]
['ливхъуну', 6]
['ил', 6]
['къаччан', 6]
['дикiайсса', 6]
['ттуйн', 6]
['хъиривмур', 6]
['лаглай', 6]
['цура', 6]
['бургарча', 6]
['щарссанийн', 6]
['сагъ', 6]
['цiунилгу', 6]
['ттархьру', 6]
['дарцумур', 6]
['качал', 6]
['ливтiусса', 6]
['хiукму', 6]
['ласгу', 6]
['бярав', 6]
['янналул', 6]
['тiайласса', 6]
['диван', 6]
['усттарнахь', 6]
['къавахъ', 6]
['малланал', 6]
['ххют', 6]
['лавмарт', 6]
['лавмартнал', 6]
['цухьлул', 6]
['накь', 6]
['кьаст', 5]
['даврихлу', 5]
['щихьхьун', 5]
['личiи-личiисса', 5]
['касакру', 5]
['хiайвантрал', 5]
['неххял', 5]
['бакiру', 5]
['чакъалданул', 5]
['идавсил', 5]
['дард', 5]
['акъасса', 5]
['гихунмай', 5]
['ахирданийгу', 5]
['бакiгу', 5]
['шатта', 5]
['дунияллийх', 5]
['нацiусса', 5]
['хiачiлай', 5]
['кьувкьуну', 5]
['кюру', 5]
['инсаннан', 5]
['ганилгу', 5]
['уххан', 5]
['ппив', 5]
['мурчiи', 5]
['шинмай', 5]
['авлий', 5]
['къахъну', 5]
['шамулчинмур', 5]
['чiунил', 5]
['къахьунну', 5]
['шану', 5]
['хъиннува', 5]
['вацiлуву', 5]
['вищал', 5]
['ххялцу', 5]
['мухiаммад', 5]
['игьа', 5]
['хьхьичiа', 5]
['ивкiсса', 5]
['кьамул', 5]
['къабучiиссар', 5]
['гьарахъалттил', 5]
['щиллив', 5]
['цуппагу', 5]
['бугъ', 5]
['хъа', 5]
['ишри', 5]
['кiанттайн', 5]
['дуканмур', 5]
['цiухлан', 5]
['циванни', 5]
['къадурккун', 5]
['зимиз', 5]
['эшкьи', 5]
['чiюлу', 5]
['бацiу', 5]
['хъанахъисса', 5]
['ницi', 5]
['къабувну', 5]
['гьунар', 5]
['чул', 5]
['оьрватiи', 5]
['оьрту', 5]
['оьрватiив', 5]
['хiарачат', 5]
['лачiун', 5]
['ниттин', 5]
['ттущал', 5]
['агана', 5]
['икьрал', 5]
['цiакь', 5]
['дукан', 5]
['икiайсса', 5]
['ласнахь', 5]
['ятiулсса', 5]
['унсукьлухь', 5]
['ярагъгу', 5]
['битлай', 5]
['хьуссар', 5]
['чайманал', 5]
['къадурну', 5]
['шагьру', 5]
['бияйхту', 5]
['аьралуннал', 5]
['личiи', 5]
['гайва', 5]
['къатравун', 5]
['хiакьинуния', 5]
['дакъассар', 5]
['цаннал', 5]
['ити', 5]
['увкiра', 5]
['18', 5]
['бакьин', 5]
['мукьра', 5]
['бикiан', 5]
['бутiа', 5]
['лувсса', 5]
['дахьа', 5]
['инавагу', 5]
['щях', 5]
['гьанна', 5]
['махъунмай', 5]
['хъами', 5]
['мигу', 5]
['къурхъ', 5]
['къархьуну', 5]
['цил', 5]
['барулул', 5]
['кiай', 5]
['гьунттихавай', 5]
['загу', 5]
['лахъну', 5]
['бишин', 5]
['бандлий', 5]
['урчiа', 5]
['бувчiун', 5]
['девтурал', 5]
['кунмасса', 5]
['нуз', 5]
['шаннагу', 5]
['жугу', 5]
['дурив', 5]
['цукунсса', 5]
['зия', 5]
['душних', 5]
['шанашисса', 5]
['гьантри', 5]
['илхъи', 5]
['илхъигу', 5]
['дарчуну', 5]
['увтун', 5]
['майбакъучiан', 5]
['авну', 5]
['махъунай', 5]
['ивкiуну', 5]
['буттукьа', 5]
['дару', 5]
['хьунниссар', 5]
['бавтiун', 5]
['бивчусса', 5]
['аьгу-аьтiий', 5]
['дюхлай', 5]
['дичара', 5]
['ницiал', 5]
['гайнналгу', 5]
['ттуй', 5]
['бунугу', 5]
['бувккуну', 5]
['бивххуну', 5]
['цахъи', 5]
['мабара', 5]
['къавтiун', 5]
['гьарица', 5]
['жун', 5]
['лу', 5]
['хiурмат', 5]
['щинзир', 5]
['ссал', 5]
['бувххуну', 5]
['ссупра-мупра', 5]
['мусил-мухiадлул', 5]
['улу', 5]
['хъана', 5]
['бахчилай', 5]
['кусса', 5]
['дуну', 5]
['маша', 5]
['гилавка', 5]
['барз', 5]
['давугу', 5]
['цiа', 5]
['оьвтiун', 5]
['махъсса', 5]
['давурттив', 5]
['дарттуну', 5]
['ласнал', 5]
['бувссия', 5]
['дишин', 5]
['кьариртун', 5]
['дулурча', 5]
['оьрму', 5]
['багьа', 5]
['цачiанма', 5]
['бучiайхту', 5]
['ивкiусса', 5]
['ккавкмур', 5]
['цiан', 5]
['чiурду', 5]
['тiайлану', 5]
['тiаннул', 5]
['чартту', 5]
['нукар', 5]
['хъацi', 5]
['бувчiул', 5]
['чассаг', 5]
['малла', 5]
['ккаччил', 5]
['судрайн', 5]
['ттучанчи', 5]
['ярахiмад', 5]
['уссичiан', 5]
['вихну', 5]
['хiисилттух', 5]
['ссай', 5]
['амир', 5]
['амирдул', 5]
['мантули', 5]
['аццалав', 5]
['кiуллул', 4]
['бугьан', 4]
['чайватiар', 4]
['цирив', 4]
['хiилла', 4]
['дирирну', 4]
['хiайвант', 4]
['вияту', 4]
['ккаччи', 4]
['магъру', 4]
['зунна', 4]
['личiий', 4]
['ласияра', 4]
['чiарарду', 4]
['диркiсса', 4]
['къакуну', 4]
['гукун', 4]
['бурувгун', 4]
['цiухлай', 4]
['ганих', 4]
['бикiай', 4]
['чакъал', 4]
['дус', 4]
['аьнакiи', 4]
['цума', 4]
['макiра', 4]
['дукрарду', 4]
['щилчiав', 4]
['заманнай', 4]
['дунияллий', 4]
['къатлучiан', 4]
['кьацi', 4]
['архну', 4]
['дукралул', 4]
['ччиккимявлул', 4]
['кiулсса', 4]
['кiирисса', 4]
['биша', 4]
['вяркъу', 4]
['мабутара', 4]
['къакъунттул', 4]
['балай', 4]
['нааьна', 4]
['бикiу', 4]
['чан', 4]
['щарщуну', 4]
['нуххуву', 4]
['хiурматрай', 4]
['шиккун', 4]
['ганащал', 4]
['кiутiу', 4]
['ттуккугу', 4]
['бивсса', 4]
['залуннан', 4]
['чулуха', 4]
['жанавартрал', 4]
['бучiайсса', 4]
['митiикьукьул', 4]
['чурх', 4]
['митiикьукьу', 4]
['учайсса', 4]
['хьунну', 4]
['митiикьукьуй', 4]
['щюллисса', 4]
['уртту', 4]
['цукунчiавсса', 4]
['къаляркъуну', 4]
['анавар', 4]
['куннасса', 4]
['дикiайссар', 4]
['бувхсса', 4]
['бювхъуну', 4]
['ливтiуну', 4]
['бавцуну', 4]
['баян', 4]
['бюхъарча', 4]
['щядиркiун', 4]
['лерххун', 4]
['къарин', 4]
['буссия', 4]
['къашай', 4]
['тамаша', 4]
['хъиннура', 4]
['бюхттулсса', 4]
['гьассур', 4]
['маркiачiан', 4]
['виричу', 4]
['хьумур', 4]
['цавагу', 4]
['бусияра', 4]
['мунан', 4]
['ттигу', 4]
['дучрайгу', 4]
['19', 4]
['загълунсса', 4]
['турлих', 4]
['пулансса', 4]
['тивун', 4]
['уссар', 4]
['хьунна', 4]
['рязи', 4]
['мукунма', 4]
['так', 4]
['бурттий', 4]
['пачахiнал', 4]
['барчаллагьгу', 4]
['ияйхту', 4]
['ниттичiан', 4]
['аьтiунгу', 4]
['цукунчiав', 4]
['къахъанан', 4]
['ттуруллул', 4]
['девнал', 4]
['цаятува', 4]
['тиву', 4]
['сан', 4]
['дев', 4]
['щурщу', 4]
['ццах', 4]
['цагу', 4]
['учiанна', 4]
['лавгукун', 4]
['багьагу', 4]
['буттахь', 4]
['къадирхьуну', 4]
['тiутiи', 4]
['цащава', 4]
['карав', 4]
['мютiий', 4]
['кьурван', 4]
['игьагу', 4]
['мукьулчинмур', 4]
['руртун', 4]
['ма', 4]
['бахшишру', 4]
['мугьлат', 4]
['девтуран', 4]
['каниш', 4]
['махъа', 4]
['ччарча', 4]
['шинай', 4]
['майран', 4]
['тамансса', 4]
['манзил', 4]
['мунащал', 4]
['чiалан', 4]
['нартнал', 4]
['чая', 4]
['жура', 4]
['бусун', 4]
['цiакьну', 4]
['оьрчiащал', 4]
['тия', 4]
['пашманну', 4]
['акъара', 4]
['лякьлуву', 4]
['лелуххи', 4]
['лелуххул', 4]
['кiаная', 4]
['хъамаличу', 4]
['къакiулли', 4]
['бивщусса', 4]
['ххарил', 4]
['кьацiливун', 4]
['жучiа', 4]
['бувкiмур', 4]
['зузи', 4]
['нагь', 4]
['дуссарив', 4]
['гайннахь', 4]
['дучрачiан', 4]
['банниссар', 4]
['ххулу', 4]
['тамур', 4]
['даврий', 4]
['даншиврул', 4]
['бакiрайх', 4]
['ккаккайхту', 4]
['пуч', 4]
['биххан', 4]
['шяраву', 4]
['ччива', 4]
['лавгуну', 4]
['эмаратсса', 4]
['ккавксса', 4]
['хьунмур', 4]
['бивххун', 4]
['ххирамур', 4]
['арсгу', 4]
['къавтiунгу', 4]
['ччима', 4]
['буклай', 4]
['чiалачiисса', 4]
['ккашилну', 4]
['дакъари', 4]
['чiара', 4]
['билаятрал', 4]
['архсса', 4]
['гайннуй', 4]
['ххюрхху', 4]
['лаивкiун', 4]
['цу', 4]
['бюхъайссар', 4]
['райхiанат', 4]
['къав', 4]
['дянив', 4]
['гива', 4]
['щаллу', 4]
['куявнал', 4]
['къама', 4]
['иникiма', 4]
['гьарахъалугу', 4]
['дацiан', 4]
['ттархьру-мархьру', 4]
['укку', 4]
['ххазина', 4]
['дирзун', 4]
['алчейна', 4]
['чалчейна', 4]
['вайксса', 4]
['нарив', 4]
['ччуччин', 4]
['щарссаних', 4]
['ппалул', 4]
['хъиннивав', 4]
['дулав', 4]
['банссарив', 4]
['чарван', 4]
['оьвчин', 4]
['духху', 4]
['гъарал', 4]
['лявкъунни', 4]
['ссах', 4]
['лякъирча', 4]
['руртуну', 4]
['хiайван', 4]
['чiапiив', 4]
['мугьругу', 4]
['харж', 4]
['ганайн', 4]
['хьуннин', 4]
['артельданул', 4]
['ацiра', 4]
['цулун', 4]
['хьхьичiва', 4]
['ххаржангу', 4]
['ляълу', 4]
['бувчiа', 4]
['ашрапи', 4]
['вихьхьун', 4]
['хазналул', 4]
['ялувмур', 4]
['аьрзирай', 4]
['ссятраву', 4]
['щарссанилгу', 4]
['мутялимтал', 4]
['кьадинал', 4]
['ххунчiал', 4]
['къуппа-ххалаххи', 4]
['ххютгу', 4]
['хъарас', 4]
['бургъил', 4]
['бусарча', 4]
['кьали', 4]
['губернаторнал', 4]
['бурцiил', 4]
['ттирхiуну', 4]
['кiурчiлу', 4]
['мантулил', 4]
['патiил', 4]
['мурад', 3]
['аллагь', 3]
