['ми', 411]
['рышере', 23]
['гьухьури', 23]
['гiар', 23]
['кiаъды', 22]
['куьмег', 22]
['диш', 22]
['гьаъаси', 22]
['хыл', 22]
['захда', 22]
['хыле', 22]
['эгер', 22]
['гадыере', 22]
['пачагьара', 22]
['виъий', 21]
['йе', 21]
['йыхды', 21]
['иди', 21]
['6', 21]
['нинды', 21]
['вуруъура', 20]
['мидире', 20]
['рази', 20]
['йиъид', 20]
['гьили', 20]
['хьуйне', 20]
['духара', 20]
['нинис', 20]
['мидид', 19]
['йикi', 19]
['кьул', 19]
['вада', 19]
['мибишис', 19]
['гьацiара', 19]
['гъыiрч', 19]
['джагварды', 19]
['ани', 18]
['шу', 18]
['дуруъура', 18]
['видж', 18]
['джываб', 18]
['гуьлле', 18]
['къазамиш', 18]
['аа', 18]
['кал', 18]
['сикiикiий', 17]
['вишир', 17]
['ти', 17]
['шиви', 17]
['выр', 17]
['ваiс', 17]
['ваi', 17]
['гьанийды', 17]
['йыгъ', 17]
['хад', 17]
['га', 17]
['гьеми', 17]
['сукури', 17]
['балад', 17]
['йиркьыр', 17]
['выш', 17]
['нехир', 17]
['хьыдылды', 17]
['выри', 16]
['йишийне', 16]
['7', 16]
['йиван', 16]
['адиший', 16]
['миннет', 16]
['выгiыл', 16]
['шивди', 16]
['кьаiсды', 16]
['гьамбаз', 16]
['джишир', 16]
['шешун', 16]
['сикi', 15]
['калды', 15]
['хъывылцiара', 15]
['гьила', 15]
['урдухан', 15]
['ахтармиш', 15]
['гьади', 15]
['джу', 15]
['арыди', 15]
['хылис', 15]
['рышед', 15]
['ий', 15]
['хынимер', 14]
['дыхьыр', 14]
['гьаса', 14]
['дур', 14]
['чiел', 14]
['лузур', 14]
['руръура', 14]
['хъиркьыри', 14]
['эдемиере', 14]
['сахьусды', 14]
['тек', 14]
['йахара', 14]
['риши', 13]
['валыг', 13]
['мукъаi', 13]
['миды', 13]
['гьабыр', 13]
['валыгмар', 13]
['баба', 13]
['дирине', 13]
['риъий', 13]
['минийыхда', 13]
['дагул', 13]
['гид', 13]
['геде', 13]
['гьухьуд', 13]
['диъий', 13]
['къариере', 13]
['бадана', 13]
['диъи', 13]
['минийс', 13]
['дидды', 13]
['кьаiсиере', 13]
['манут', 13]
['къыдыкь', 13]
['йикiы', 13]
['еквёс', 13]
['вихье', 13]
['джи', 12]
['хьуъ', 12]
['улесды', 12]
['гьеч', 12]
['гьыъыд', 12]
['гьагуд', 12]
['йагъмиш', 12]
['йа', 12]
['йигад', 12]
['минийы', 12]
['салам', 12]
['дишири', 12]
['нур', 12]
['джигьил', 12]
['джухьды', 12]
['яц', 12]
['къабах', 12]
['качбыр', 12]
['си', 11]
['джигиди', 11]
['ешемиш', 11]
['сикiире', 11]
['мисед', 11]
['бес', 11]
['хъуд', 11]
['гьаъад', 11]
['адиш', 11]
['гьание', 11]
['гедене', 11]
['выъыд', 11]
['ээкед', 11]
['гьувгуйне', 11]
['йишихь', 11]
['йываъшене', 11]
['джвер', 11]
['сиенебыр', 11]
['туфанг', 11]
['духул', 11]
['йихьаъ', 11]
['хъуiгъуiре', 11]
['хал', 11]
['дава', 11]
['мибишды', 11]
['банаа', 11]
['дидис', 11]
['лювшур', 11]
['хъаiл', 11]
['минийда', 11]
['мисе', 11]
['е', 11]
['кьуле', 11]
['ана', 11]
['аллагьара', 11]
['саид', 11]
['дишир', 10]
['гъийгъа', 10]
['вите', 10]
['кид', 10]
['улабыр', 10]
['гьарый', 10]
['къизилед', 10]
['ула', 10]
['йидкьыр', 10]
['маъ', 10]
['йыхана', 10]
['гичiере', 10]
['сагъул', 10]
['шурук', 10]
['гьааса', 10]
['инсанар', 10]
['вейшере', 10]
['8', 10]
['сийене', 10]
['пачагьас', 10]
['задаа', 10]
['сен', 10]
['адишды', 10]
['гьаiммише', 10]
['ришир', 10]
['гьагвара', 10]
['муiкъаi', 10]
['гини', 10]
['мидыла', 9]
['садахьур', 9]
['мидиъ', 9]
['руъурдиш', 9]
['гьаъарай', 9]
['гьайвыр', 9]
['йаiхъ', 9]
['чiар', 9]
['убул', 9]
['халды', 9]
['выси', 9]
['ришири', 9]
['аллагь', 9]
['йыкьаi', 9]
['дели', 9]
['чара', 9]
['выгiлире', 9]
['ул', 9]
['вурукьуiрув', 9]
['минийде', 9]
['кiыб', 9]
['шей', 9]
['гъуiдидей', 9]
['хьибыр', 9]
['йикье', 9]
['ридж', 9]
['эдемиед', 9]
['дуст', 9]
['никьикла', 9]
['йывхыiр', 9]
['рухьуд', 9]
['ирхьури', 9]
['суркьур', 9]
['вишихь', 9]
['мал', 9]
['хуiлаiхды', 9]
['иессиере', 9]
['халиче', 9]
['чiарбыр', 9]
['йак', 9]
['сирире', 8]
['сытiана', 8]
['сабыйды', 8]
['йикьири', 8]
['мидис', 8]
['хырыда', 8]
['бытiрана', 8]
['тиниъ', 8]
['рышбаi', 8]
['руъурай', 8]
['чiелбыр', 8]
['миммыс', 8]
['гьалысна', 8]
['джис', 8]
['шадана', 8]
['гьы', 8]
['гьаiзыр', 8]
['балта', 8]
['усбыр', 8]
['хьыв', 8]
['къариед', 8]
['йидж', 8]
['гьакь', 8]
['йеримиш', 8]
['пашмал', 8]
['либкьыр', 8]
['гьасса', 8]
['лыiхды', 8]
['джин', 8]
['минийикла', 8]
['хъидкьыри', 8]
['гъил', 8]
['духарды', 8]
['хъваiнчi', 8]
['бан', 8]
['мал-девле', 8]
['качал', 8]
['качалара', 8]
['эвелды', 8]
['йывхыiс', 8]
['йешемиш', 7]
['нахаiн', 7]
['мы', 7]
['у', 7]
['лийкьыйне', 7]
['дават', 7]
['пай', 7]
['йекв', 7]
['ирды', 7]
['гьидис', 7]
['ваа', 7]
['халаа', 7]
['ваъад', 7]
['выхьды', 7]
['миммыра', 7]
['тiыбаiъаiл', 7]
['дамаа', 7]
['гьаiр', 7]
['викье', 7]
['рыхыiре', 7]
['цiый', 7]
['гiал', 7]
['бейниван', 7]
['улес', 7]
['гергыри', 7]
['лийир', 7]
['сур', 7]
['заз', 7]
['гичi', 7]
['йахши', 7]
['гыбыл', 7]
['хынимар', 7]
['мибищды', 7]
['сагьаiл', 7]
['ледкьыри', 7]
['9', 7]
['сукьур', 7]
['закла', 7]
['лурзур', 7]
['гаркъыд', 7]
['рышес', 7]
['йогъцiурды', 7]
['ришире', 7]
['гука', 7]
['як', 7]
['джабатi', 7]
['ихтияр', 7]
['гъилы', 7]
['гъана', 7]
['кьваiб', 7]
['каiчiури', 7]
['хьиба', 7]
['сенбыр', 7]
['заманади', 7]
['накь', 7]
['маралад', 7]
['гьаiсан', 7]
['магьузар', 7]
['шубаi', 6]
['кьвёб', 6]
['йулдаш', 6]
['еквес', 6]
['тiили', 6]
['бана', 6]
['ер', 6]
['дуруъус', 6]
['йибкьыр', 6]
['махв', 6]
['яраб', 6]
['гьагури', 6]
['мукi', 6]
['шал', 6]
['вишид', 6]
['лувзур', 6]
['сибамбый', 6]
['хыди', 6]
['бабара', 6]
['зада', 6]
['гьаъасды', 6]
['джвёр', 6]
['эбир', 6]
['тiаджи', 6]
['сыдкьыiр', 6]
['тини', 6]
['ваъарай', 6]
['йыгъбыр', 6]
['иессиед', 6]
['мываъ', 6]
['мириеде', 6]
['гьадид', 6]
['фатма', 6]
['кьулула', 6]
['кьийамат', 6]
['дуьз', 6]
['раъара', 6]
['лыъыр', 6]
['мысна', 6]
['хынимешды', 6]
['джуда', 6]
['йывды', 6]
['хьар', 6]
['лычi', 6]
['шеере', 6]
['гьабише', 6]
['гьалыс', 6]
['йыгъырмыкла', 6]
['мибишикла', 6]
['гьадухъун', 6]
['люъури', 6]
['йиширдиш', 6]
['йикисдиш', 6]
['хьидикла', 6]
['кирхьури', 6]
['йикьа', 6]
['кьаiсий', 6]
['рышехда', 6]
['хьурагине', 6]
['вакла', 6]
['выс', 6]
['аргыри', 6]
['майдана', 6]
['выгiлис', 6]
['гiаiля', 6]
['ай-адиший', 6]
['духарыхда', 6]
['эгъетiир', 6]
['гъыiрчед', 6]
['никьихьде', 6]
['гиркiа', 6]
['гакъара', 6]
['халбыр', 6]
['йигит', 6]
['джурхуд', 6]
['авал-авал', 6]
['кьваiд', 6]
['духарда', 6]
['никьик', 6]
['рахара', 6]
['нехирхъан', 6]
['садакьа', 6]
['хаiбахъаiн', 6]
['мадана', 6]
['джывыъыр', 6]
['сиенебишис', 6]
['гьал', 6]
['иесси', 6]
['ги', 6]
['рырых', 6]
['гьухьуси', 6]
['былахада', 6]
['гьаъасди', 6]
['вахда', 6]
['къунши', 6]
['гьаiзриъил', 6]
['хьывад', 6]
['гьуiмир', 6]
['хьыдынийды', 6]
['тушед', 6]
['гъилабыр', 6]
['рухьурай', 6]
['зер', 6]
['китаб', 6]
['выкьа', 5]
['зынна', 5]
['йиший', 5]
['йишихьвна', 5]
['йыха', 5]
['сысада', 5]
['гьада', 5]
['сура', 5]
['хъибкьыр', 5]
['банад', 5]
['заа', 5]
['кваiчiури', 5]
['сибамбыере', 5]
['силийман', 5]
['джыбыр', 5]
['викиси', 5]
['вахара', 5]
['мыс', 5]
['белки', 5]
['руъуд', 5]
['инамиш', 5]
['рак', 5]
['хъиркьыд', 5]
['суркури', 5]
['хъыгад', 5]
['шывга', 5]
['шилды', 5]
['камды', 5]
['йивиргара', 5]
['уу', 5]
['гьувга', 5]
['ит', 5]
['гьаiмал', 5]
['писды', 5]
['миз', 5]
['гакъыри', 5]
['джившир', 5]
['йыхвалды', 5]
['аждамый', 5]
['гивир', 5]
['аман', 5]
['касибед', 5]
['йизды', 5]
['гьине', 5]
['шугу', 5]
['йыхыiр', 5]
['чалышмиш', 5]
['гьидид', 5]
['кьалкьара', 5]
['занна', 5]
['виъиме', 5]
['хукас', 5]
['дуьзды', 5]
['былахара', 5]
['кьаiсе', 5]
['йиъиме', 5]
['цiы', 5]
['гьукьлихда', 5]
['муруд', 5]
['субчiис', 5]
['ваана', 5]
['гъуiдидее', 5]
['мычiахъа', 5]
['ваъасды', 5]
['йиъина', 5]
['чух', 5]
['гадыед', 5]
['гьыъыйне', 5]
['хакьыр', 5]
['балугъмар', 5]
['текды', 5]
['вылцiад', 5]
['мибишыхда', 5]
['мийман', 5]
['диван', 5]
['гьанийис', 5]
['хъывыри', 5]
['сабтыр', 5]
['10', 5]
['эгъепiир', 5]
['гьилине', 5]
['гуьрчекды', 5]
['гьархыiри', 5]
['йиркьыри', 5]
['гвалахбыр', 5]
['даватбыр', 5]
['суьдкуьри', 5]
['духарыс', 5]
['гъыiрчехъанад', 5]
['руъус', 5]
['нинде', 5]
['шудаъ', 5]
['падишагьад', 5]
['йикисди', 5]
['хъикьа', 5]
['гьуiрмет', 5]
['сесбыр', 5]
['раiхъ', 5]
['шура', 5]
['кьулу', 5]
['гичiинире', 5]
['лакьалкьара', 5]
['йиванды', 5]
['кьадар', 5]
['кiыбди', 5]
['парч', 5]
['къариеде', 5]
['ниныхда', 5]
['сагъ', 5]
['хьын', 5]
['йидкьыри', 5]
['ризвана', 5]
['къаб', 5]
['хазна', 5]
['шегьерди', 5]
['эгъелъэре', 5]
['гъаъна', 5]
['четин', 5]
['вагъаiс', 5]
['ладжбарара', 5]
['дериди', 5]
['хыiб', 5]
['сывхыiри', 5]
['шир', 5]
['гъыiрчер', 5]
['гъыiрчехъанара', 5]
['маралмар', 5]
['йер', 5]
['берекет', 5]
['саиде', 5]
['ахъыгыри', 5]
['нисе', 5]
['рустам', 5]
['кьухьа', 4]
['зала', 4]
['гьаа', 4]
['балыймар', 4]
['яхши', 4]
['миммыд', 4]
['вацiара', 4]
['хьураа', 4]
['угь', 4]
['кувчiури', 4]
['сувкьур', 4]
['рагъасды', 4]
['гьемисе', 4]
['фикирек', 4]
['убур', 4]
['гьувургара', 4]
['даватак', 4]
['гадахъ', 4]
['дживчiир', 4]
['гъуiля', 4]
['сыние', 4]
['сухъувгури', 4]
['сикiикiиере', 4]
['ацiыр', 4]
['ку', 4]
['вадаа', 4]
['хьидик', 4]
['гъыi', 4]
['сивиргара', 4]
['ригиде', 4]
['хъавахыри', 4]
['рыiхъ', 4]
['тике-тике', 4]
['гьаасад', 4]
['хаiр', 4]
['герек', 4]
['гъигъе', 4]
['быкьбиче', 4]
['руръурай', 4]
['укь', 4]
['хынимешис', 4]
['убул-бацый', 4]
['гъай', 4]
['гагь', 4]
['джуду', 4]
['хук', 4]
['ваъаси', 4]
['дагьар', 4]
['миммыда', 4]
['гакъама', 4]
['хурджумбыр', 4]
['хъуна', 4]
['хука', 4]
['гьагур', 4]
['хахъына', 4]
['сириргара', 4]
['игъибхьури', 4]
['шукур', 4]
['гъара', 4]
['мехв', 4]
['минийра', 4]
['хъибкьыри', 4]
['лабшур', 4]
['кьути', 4]
['выъыйне', 4]
['гъа', 4]
['гибхьур', 4]
['хыла', 4]
['улеси', 4]
['худкас', 4]
['гьадире', 4]
['кьатi', 4]
['инсанашис', 4]
['былах', 4]
['улере', 4]
['духъунды', 4]
['гьышири', 4]
['кьяса', 4]
['кибхыiри', 4]
['сирих', 4]
['йизыд', 4]
['рыкьыр', 4]
['гьаммыды', 4]
['зыга', 4]
['хьиб', 4]
['бармак', 4]
['ливири', 4]
['духреше', 4]
['гадыйере', 4]
['сувгъур', 4]
['гадыес', 4]
['хъу', 4]
['везир', 4]
['тимбыйды', 4]
['гукас', 4]
['гаадгъыiри', 4]
['пачагьлыгъа', 4]
['бегемиш', 4]
['йиширди', 4]
['рыхьыб', 4]
['шийибыр', 4]
['пачагьада', 4]
['тiилийала', 4]
['гаракъ', 4]
['выд', 4]
['сынийис', 4]
['гьагвуйне', 4]
['къизил', 4]
['гымыш', 4]
['тинийде', 4]
['капыр', 4]
['дидде', 4]
['сухъугури', 4]
['йыхьыд', 4]
['виригъ', 4]
['мат', 4]
['гарахъ', 4]
['лузури', 4]
['сус', 4]
['тиние', 4]
['гаiше', 4]
['йимаг', 4]
['хъыъыри', 4]
['вахьван', 4]
['решири', 4]
['шадды', 4]
['хизан', 4]
['едере', 4]
['рикьире', 4]
['куткунбыр', 4]
['хьвара', 4]
['ришид', 4]
['хъуiрире', 4]
['бела', 4]
['дын', 4]
['месе', 4]
['гьалыхьван', 4]
['духарыкла', 4]
['пырх', 4]
['йиъиди', 4]
['къисмат', 4]
['гьыъын', 4]
['выъырдиш', 4]
['хьидыхда', 4]
['хаiле', 4]
['мишух', 4]
['гьалыкла', 4]
['кьел', 4]
['аргыр', 4]
['гьалдана', 4]
['хъваiнчiере', 4]
['эдемиес', 4]
['халмыда', 4]
['йыкьама', 4]
['хьуд', 4]
['рышеда', 4]
['выгiлид', 4]
['ризван', 4]
['гьувгури', 4]
['гардана', 4]
['гьаiсрат-гьаiли', 4]
['йинчире', 4]
['йикисий', 4]
['джацiыр', 4]
['суал', 4]
['цiухьуд', 4]
['джавацiад', 4]
['гьаiлал', 4]
['гьанийыхда', 4]
['гьухьус', 4]
['хъуiгъуiс', 4]
['худкаси', 4]
['ирхьур', 4]
['сынийде', 4]
['джараiгь', 4]
['руъусды', 4]
['гъадишды', 4]
['сукур', 4]
['аллагьахда', 4]
['лазим', 4]
['рикиси', 4]
['шагар', 4]
['са-сад', 4]
['агырдиш', 4]
['микь', 4]
['шуд', 4]
['гигуб', 4]
['сахас', 4]
['губ', 4]
['халичебыр', 4]
['йахвбыр', 4]
['дынбыр', 4]
['хынхыд', 4]
['мадиш', 4]
['ваз', 4]
['ади', 4]
['дилег', 4]
['гъыiрчешды', 4]
['гъани', 4]
['маралмашды', 4]
['тухьанг', 4]
['йиз', 4]
['билель', 4]
['паджиле', 4]
['гьуiри', 4]
['сыва', 4]
['вийид', 4]
['гъыiрчехъанас', 4]
['дам', 4]
['кьваiр', 4]
['хьва', 4]
['кьыхъ', 4]
['руб', 4]
['диширди', 3]
['вуруъурай', 3]
['име', 3]
['вырых', 3]
['гьацiыри', 3]
['сиенебише', 3]
['еримиш', 3]
['цiамды', 3]
['хьесымала', 3]
['къан', 3]
['кiеъэлы', 3]
['леркьара', 3]
['лаъасды', 3]
['сувкури', 3]
['билелды', 3]
['лувзури', 3]
['лалбыр', 3]
['хывкьыр', 3]
['ришбише', 3]
['мукiас', 3]
['гъадиш', 3]
['выгыр', 3]
['чалыг', 3]
['лаъара', 3]
['агь', 3]
['гымышед', 3]
['мыхаi', 3]
['гьара', 3]
['сийенебыр', 3]
['карбыр', 3]
['йикьама', 3]
['джугъуiре', 3]
['ветири', 3]
['гьей', 3]
['джацiад', 3]
['гьувгуд', 3]
['гуджехьван', 3]
['гувка', 3]
['хъыъыр', 3]
['гелелий', 3]
['балалый', 3]
['йыкьаси', 3]
['тiилия', 3]
['дамыхдана', 3]
['тина', 3]
['виъина', 3]
['йигарди', 3]
['гьухьурди', 3]
['игъидхьури', 3]
['бабыере', 3]
['сатыр', 3]
['джухда', 3]
['йивандис', 3]
['гакъасды', 3]
['кулурма', 3]
['кибтiе', 3]
['хъаваъара', 3]
['миммыхда', 3]
['ацiыд', 3]
['сархара', 3]
['ихьир', 3]
['сигыд', 3]
['вакьалкьара', 3]
['йыiкь', 3]
['гьадис', 3]
['хъаъ', 3]
['гьацiад', 3]
['рыгыр', 3]
['хани', 3]
['гакъас', 3]
['лалад', 3]
['хъяiр', 3]
['ивере', 3]
['аала', 3]
['йинчихьде', 3]
['хъаiаiбхыiри', 3]
['гаркъыри', 3]
['яцад', 3]
['чiабал', 3]
['савкьат', 3]
['тiатiал', 3]
['гьаргуйне', 3]
['ыджывгыр', 3]
['мара', 3]
['гъиле', 3]
['шуркура', 3]
['язухъ', 3]
['тiянкь', 3]
['йыхыiс', 3]
['вака', 3]
['тыла', 3]
['кьутия', 3]
['араа', 3]
['раiхъне', 3]
['сагьаiлды', 3]
['дыхьыд', 3]
['навгъ', 3]
['сигiыд', 3]
['йымаiлере', 3]
['иессиес', 3]
['гахъ', 3]
['айди', 3]
['вий', 3]
['мыкьа', 3]
['мида', 3]
['хьибыдхьусды', 3]
['ов', 3]
['вурукьуiрувды', 3]
['выший', 3]
['ублире', 3]
['гьамы', 3]
['миммыды', 3]
['ахъаiчiури', 3]
['бизар', 3]
['йи', 3]
['кьвед', 3]
['укьбыр', 3]
['худкури', 3]
['рыiкъа', 3]
['йазухъ', 3]
['улабырмыхда', 3]
['сидиргара', 3]
['тангабыр', 3]
['балугъ', 3]
['хьиды', 3]
['йукьаi', 3]
['сийир', 3]
['гадыеде', 3]
['йыхьыри', 3]
['ихтилатбыр', 3]
['гьалды', 3]
['вылцiарай', 3]
['бегьем', 3]
['11', 3]
['лийкьыри', 3]
['12', 3]
['рыъыри', 3]
['13', 3]
['рыхьыри', 3]
['14', 3]
['багъышлемиш', 3]
['риъид', 3]
['ришис', 3]
['йигардиш', 3]
['дерди', 3]
['йиш', 3]
['улабахда', 3]
['цiинене', 3]
['банбыр', 3]
['уле', 3]
['вийири', 3]
['агъаiчiур', 3]
['сивир', 3]
['ихъихьир', 3]
['гъайри', 3]
['джигида', 3]
['люъур', 3]
['йиъине', 3]
['йулдашер', 3]
['хъараъара', 3]
['кьвакь', 3]
['хъаъас', 3]
['ес', 3]
['сеса', 3]
['руъума', 3]
['рагъас', 3]
['хыля', 3]
['бахтсыз', 3]
['нины', 3]
['гугалый', 3]
['дуламиш', 3]
['кулырма', 3]
['гываъан', 3]
['хырхад', 3]
['кьаiчи', 3]
['хизындис', 3]
['ехда', 3]
['нацiурда', 3]
['хинкiар', 3]
['хатир', 3]
['хунчебыр', 3]
['идхьур', 3]
['хиял', 3]
['рыхьыд', 3]
['вухур', 3]
['гьацiардиш', 3]
['кьвёд', 3]
['вышне', 3]
['паачагьад', 3]
['хъаiрхыiри', 3]
['илчиер', 3]
['сихьир', 3]
['гадкъара', 3]
['бар', 3]
['къизилбыр', 3]
['сир', 3]
['хьыдынийис', 3]
['гьудхьа', 3]
['сыдыла', 3]
['ешлед', 3]
['ришихда', 3]
['хъивий', 3]
['ивири', 3]
['мадай', 3]
['гудж', 3]
['бычi', 3]
['шумуд', 3]
['чiилмыд', 3]
['ливхьир', 3]
['гийир', 3]
['малмыд', 3]
['девлет', 3]
['джудаа', 3]
['йиркьыд', 3]
['джукла', 3]
['кьыле', 3]
['рыгара', 3]
['хъацурдиш', 3]
['выгiлешды', 3]
['къумар', 3]
['виширдиш', 3]
['салам-гьаiлейкум', 3]
['джура', 3]
['кесик', 3]
['виширди', 3]
['леш', 3]
['гакъад', 3]
['худка', 3]
['ладжбар', 3]
['бегьер', 3]
['йывхыiд', 3]
['гьаiдаiгь', 3]
['руъуси', 3]
['мукъуiбише', 3]
['халыс', 3]
['джвёршис', 3]
['мирийа', 3]
['гъылыгъ', 3]
['дагулчи', 3]
['багъ', 3]
['сырыхчиере', 3]
['еде', 3]
['кiаъна', 3]
['быга', 3]
['кьуiнды', 3]
['хьиче', 3]
['бер', 3]
['нерази', 3]
['къатиред', 3]
['мидиде', 3]
['арасурбыр', 3]
['деве', 3]
['къирхыда', 3]
['хаiбаiхъаiнед', 3]
['дуруъурай', 3]
['йишин', 3]
['сесед', 3]
['джиле', 3]
['шийи', 3]
['вырдиш', 3]
['сырымы', 3]
['мадина', 3]
['ругъури', 3]
['гакъ', 3]
['хувгъур', 3]
['илсындид', 3]
['овчи', 3]
['хъуiдире', 3]
['гьувургвара', 3]
['хуiляхды', 3]
['мичiри', 3]
['падж', 3]
['вырыхыiре', 3]
['лукури', 3]
['билелис', 3]
['хьибахьусды', 3]
['валибег', 3]
['мырвыiх', 3]
['кивкьырдиш', 3]
['лирхь', 3]
['мыкьлад', 3]
['выхьара', 3]
['гунагь', 3]
['саидис', 3]
['майит', 3]
['бисмиллагь', 3]
['нуьге', 3]
['кiыъды', 3]
['миний-ды', 3]
['мыкырды', 3]
['ми-нийды', 3]
['йи-гара', 3]
['аiгьмаiд', 3]
['деш', 3]
['дугьаiбыр', 3]
['вешере', 3]
['лехъаiшур', 3]
['джинн', 3]
['сигирчу', 3]
['ришиймар', 2]
['мидихда', 2]
['дикис', 2]
['даъас', 2]
['гьаiйван', 2]
['исды', 2]
['дишме', 2]
['йешелбыр', 2]
['сыла', 2]
['сире', 2]
['кывыд', 2]
['кьыцiды', 2]
['дженнетди', 2]
['выхьыри', 2]
['накьудихьде', 2]
['къуй', 2]
['рагьаiт', 2]
['ера', 2]
['ывхыiр', 2]
['абгыри', 2]
['куъмег', 2]
['лювъур', 2]
['йа-ре-ри-ри', 2]
['макьам', 2]
['гывахъ', 2]
['джыга', 2]
['луджувзур', 2]
['дуъз', 2]
['риге', 2]
['ригида', 2]
['ришбишис', 2]
['ухун', 2]
['хъудиш', 2]
['тiыбаiлбыр', 2]
['тiыбыхъ', 2]
['тiыбыхъбыр', 2]
['хылабыр', 2]
['шинед', 2]
['хьумад', 2]
['гъуiлиде', 2]
['вахтинди', 2]
['игъивчир', 2]
['мидухъун', 2]
['йихана', 2]
['лалаъанад', 2]
['джыбрык', 2]
['сувуркьара', 2]
['хъийир', 2]
['лом', 2]
['джигьилеше', 2]
['мыкырыкла', 2]
['луьвшур', 2]
['лидхьури', 2]
['гуджере', 2]
['сувгъуiре', 2]
['дишне', 2]
['гьидире', 2]
['гьуджувгуд', 2]
['рухуьура', 2]
['сихъивга', 2]
['йыiкьды', 2]
['гывкъара', 2]
['авал', 2]
['джихда', 2]
['нек', 2]
['шамп', 2]
['шумп', 2]
['гьалъиди', 2]
['bы', 2]
['гаiдды', 2]
['дегиш', 2]
['хъуiвгъуiре', 2]
['хъаъара', 2]
['гьагва', 2]
['сенед', 2]
['дуьлхъере', 2]
['быiкьбиче', 2]
['ваiхьван', 2]
['буюр', 2]
['гъараа', 2]
['кантi', 2]
['ублид', 2]
['шадвалдыбыр', 2]
['миммы', 2]
['хак', 2]
['мыкьды', 2]
['шивдихь', 2]
['кибхьура', 2]
['хъывгыр', 2]
['лягъуiре', 2]
['савайинди', 2]
['захьван', 2]
['итире', 2]
['навкьбыр', 2]
['лыiйхаi', 2]
['къабанара', 2]
['бакара', 2]
['архыйинене', 2]
['йеквёс', 2]
['гьаiят', 2]
['кiатiар', 2]
['сирды', 2]
['арасур', 2]
['эгъетiе', 2]
['шууды', 2]
['сесере', 2]
['гьагуриме', 2]
['джида', 2]
['хукахьде', 2]
['гаъ', 2]
['йахаси', 2]
['ацiа', 2]
['рыкъяi', 2]
['вацiад', 2]
['касибды', 2]
['гыйгъыiри', 2]
['метри', 2]
['агьа', 2]
['лурза', 2]
['гимада', 2]
['ледкьыр', 2]
['тiуъ', 2]
['леркьыйне', 2]
['гьабтiур', 2]
['чараа', 2]
['гьаiйванмашды', 2]
['огь', 2]
['хьыдынийикла', 2]
['хъывыъыд', 2]
['ихъибхьури', 2]
['гывкъыри', 2]
['субда', 2]
['йикiыла', 2]
['убха', 2]
['йыгыр', 2]
['къаргъыш', 2]
['хатирес', 2]
['хъыiвхыiри', 2]
['кихьири', 2]
['касибес', 2]
['хакьыри', 2]
['ваарув', 2]
['гъиля', 2]
['решесдыр', 2]
['гульсенемыхда', 2]
['увуiх', 2]
['сувай', 2]
['хъивикьасдув', 2]
['хъавака', 2]
['гьубгури', 2]
['чугур', 2]
['цынкiыди', 2]
['ликьури', 2]
['ихъивири', 2]
['йыкьа', 2]
