['сай', 989]
['кали', 28]
['эмхiе', 28]
['гiяли', 28]
['бизбизи', 28]
['урчира', 27]
['рурсила', 27]
['гурда', 26]
['гьачам', 26]
['рахли', 26]
['вацiализи', 26]
['букiул', 25]
['илгъуна', 25]
['кiел', 25]
['гiялихан-батир', 25]
['8', 25]
['ханна', 25]
['гьар', 24]
['унц', 24]
['9', 24]
['шин', 24]
['вашули', 24]
['жаваб', 24]
['чарухъи', 24]
['ила', 23]
['верхiел', 23]
['цаби', 23]
['агарли', 23]
['дурхiяли', 23]
['илаб', 22]
['вакiили', 22]
['хiези', 22]
['бекi', 21]
['ишди', 21]
['барес', 21]
['савли', 21]
['аба', 21]
['илра', 21]
['10', 21]
['адамти', 21]
['сарира', 21]
['илар', 21]
['шилизи', 21]
['абдал', 21]
['нушаб', 20]
['накьрикiуцiул', 20]
['сикiал', 19]
['сад', 19]
['мерличи', 19]
['гьуни', 19]
['бицi', 19]
['чебаили', 19]
['мякьла', 19]
['ду', 19]
['арбякьи', 19]
['руили', 19]
['дедили', 19]
['агара', 19]
['хула', 19]
['мургьила', 19]
['къалабали', 19]
['нешла', 19]
['илдира', 19]
['гьен', 18]
['нешли', 18]
['хiечи', 18]
['кьял', 18]
['бяжук', 18]
['пяхъу', 18]
['рузи', 18]
['сабира', 18]
['виштiал', 18]
['жагаси', 17]
['илдас', 17]
['барх', 17]
['кайили', 17]
['ахирра', 17]
['сунечи', 17]
['гiялини', 17]
['гьатiи', 17]
['уцци', 17]
['цари', 17]
['рурсилизи', 17]
['рурсира', 17]
['рикiуле', 17]
['дудешла', 17]
['рурсиличи', 17]
['гiари', 17]
['кьасбарили', 16]
['лер', 16]
['укiул', 16]
['набчи', 16]
['гъай', 16]
['гьанхiе', 16]
['11', 16]
['левли', 16]
['кьалли', 16]
['цiуба', 16]
['хьунулра', 16]
['хiура', 16]
['хiерикiалли', 16]
['вякьи', 16]
['дуги', 16]
['ибле', 15]
['дуили', 15]
['бакiиб', 15]
['мер', 15]
['бурибси', 15]
['багьандан', 15]
['хили', 15]
['чи', 15]
['хьарбаиб', 15]
['варх', 15]
['бура', 15]
['гьатiира', 15]
['багьадур', 15]
['хьунуйзи', 15]
['уршини', 15]
['мургьи', 15]
['уршилис', 14]
['кили', 14]
['бирар', 14]
['хiушаб', 14]
['хъил', 14]
['галга', 14]
['гiергъила', 14]
['гьай', 14]
['секьяйда', 14]
['диъ', 14]
['тиладибарили', 14]
['гьунар', 14]
['юкiул', 14]
['пулан', 14]
['сайри', 14]
['башули', 14]
['нушани', 14]
['дярхiя', 14]
['руцци', 14]
['халкь', 14]
['ацiили', 14]
['аждагьала', 14]
['агайхан', 14]
['эгер', 14]
['вагьиг', 14]
['цархiил', 14]
['байхъала', 14]
['бахiямма', 14]
['ухъна', 14]
['давлачевли', 14]
['баягъи', 13]
['духiу', 13]
['тiама', 13]
['акку', 13]
['дигули', 13]
['баили', 13]
['бегiла', 13]
['дурхiни', 13]
['гiякьлу', 13]
['адаме', 13]
['дурасили', 13]
['арслан', 13]
['илдази', 13]
['бара', 13]
['эмхiера', 13]
['итил', 13]
['пачали', 13]
['12', 13]
['13', 13]
['14', 13]
['агарси', 13]
['гьу', 13]
['халати', 13]
['чiичiала', 13]
['мекъ', 13]
['дархiали', 13]
['уцби', 13]
['кьапiа', 13]
['узини', 13]
['рузини', 13]
['кадихьили', 13]
['уршби', 13]
['арц-издаг', 13]
['унра', 13]
['къуртма', 13]
['хiушани', 13]
['асес', 13]
['урхьнази', 13]
['малла', 13]
['на', 12]
['гiяхiси', 12]
['кариили', 12]
['хiябалра', 12]
['иша', 12]
['бужиб', 12]
['аркьули', 12]
['юрт', 12]
['сегъуна', 12]
['галгаличи', 12]
['бале', 12]
['гьаъиб', 12]
['калун', 12]
['рухъна', 12]
['гiягiниси', 12]
['яра', 12]
['адими', 12]
['юх', 12]
['тетли-ханум', 12]
['мурад', 12]
['бургьиб', 12]
['бяхъили', 12]
['вакiиб', 12]
['гiяхiти', 12]
['халал', 12]
['сунени', 12]
['шагьисмагiил', 12]
['кабихьили', 12]
['чариубли', 12]
['уршила', 12]
['ахiенри', 12]
['шала', 12]
['игъбар', 12]
['шила', 12]
['гiяргiя', 12]
['хьуна', 12]
['бизбизили', 12]
['шагь', 12]
['асилбег', 12]
['адамли', 12]
['бялихъуни', 12]
['бикiар', 11]
['уди', 11]
['леб', 11]
['палтар', 11]
['илзамана', 11]
['тiамадарили', 11]
['жаниварти', 11]
['лебси', 11]
['бархiира', 11]
['каса', 11]
['маза', 11]
['ахiенра', 11]
['сухъ', 11]
['гьачамра', 11]
['сунила', 11]
['лайбакiили', 11]
['диха', 11]
['кигьа', 11]
['асили', 11]
['давла', 11]
['хан', 11]
['дуклуми', 11]
['цазамана', 11]
['урхьа', 11]
['нарт', 11]
['буриб', 11]
['дигуси', 11]
['кiялгiяла', 11]
['дарайла', 11]
['уршира', 11]
['шагьарла', 11]
['мас', 11]
['някъ', 11]
['вецiну', 11]
['чедибси', 11]
['авцiали', 11]
['жагьил', 11]
['хъубзар', 11]
['кам', 11]
['а', 11]
['мучи', 11]
['гiелаб', 11]
['гавлаг', 11]
['куса', 11]
['бецiли', 10]
['ахъили', 10]
['кабиили', 10]
['хамис-гiечча', 10]
['унцца', 10]
['гiела', 10]
['кьяца', 10]
['тилади', 10]
['бетаурли', 10]
['бегiлара', 10]
['гьалар', 10]
['дарили', 10]
['буибли', 10]
['чус', 10]
['их', 10]
['башшуле', 10]
['урхьу', 10]
['бусягiят', 10]
['гiямал', 10]
['верхiелра', 10]
['урцул', 10]
['вахъхiи', 10]
['гъамиубли', 10]
['унцла', 10]
['бахъал', 10]
['хiебалули', 10]
['15', 10]
['халкьли', 10]
['жан', 10]
['аттала', 10]
['рахле', 10]
['шагьисмагiилли', 10]
['илхiеле', 10]
['кабихьиб', 10]
['мурулра', 10]
['илав', 10]
['чили', 10]
['бируси', 10]
['биштiаси', 10]
['вагьигли', 10]
['илдачи', 10]
['давлачев', 10]
['гiяргiяра', 10]
['бехiбихьиб', 10]
['севан', 10]
['накьрикiуцiуй', 10]
['шяхiбан', 10]
['ацци', 10]
['йе', 9]
['мурт', 9]
['жагьси', 9]
['дус', 9]
['урчила', 9]
['гiяхiцад', 9]
['гьакал', 9]
['бикiуле', 9]
['абала', 9]
['у', 9]
['сабил', 9]
['буцiи', 9]
['гiяхiли', 9]
['дурабухъи', 9]
['вацiала', 9]
['муссан', 9]
['тяп', 9]
['бархiехъ', 9]
['диъби', 9]
['къина', 9]
['лерли', 9]
['гiягiнили', 9]
['сабри', 9]
['набзи', 9]
['базарличи', 9]
['къап', 9]
['балагь', 9]
['ахiенну', 9]
['абаба', 9]
['вашшуле', 9]
['юлдаш', 9]
['хiушала', 9]
['шилизив', 9]
['бикiуси', 9]
['камси', 9]
['багьурли', 9]
['мицiирли', 9]
['арякьун', 9]
['цалра', 9]
['кiялгiялизи', 9]
['бекiла', 9]
['никiа', 9]
['илели', 9]
['цади', 9]
['гъари', 9]
['цiили', 9]
['дурхiяра', 9]
['уршили', 9]
['чеили', 9]
['узила', 9]
['гажин', 9]
['ахiерси', 9]
['хъарбарили', 9]
['дикили', 9]
['ишгъуна', 9]
['къараваш', 9]
['вархьили', 9]
['шагьназ', 9]
['цiуттара', 9]
['кiабатi', 9]
['дицiили', 9]
['хухула', 9]
['давлачевличи', 9]
['хiяжини', 9]
['кьадир', 9]
['тамашала', 9]
['баакьиб', 8]
['дягi', 8]
['сарра', 8]
['хiебиалли', 8]
['дашули', 8]
['ибси', 8]
['дубурла', 8]
['бакьили', 8]
['гьуйчи', 8]
['абацiили', 8]
['галгала', 8]
['илдил', 8]
['муутил', 8]
['гуглахiяй', 8]
['кьяйда', 8]
['илтти', 8]
['аррякьи', 8]
['гiинизла', 8]
['чебаахъили', 8]
['кьацi', 8]
['мялгiунна', 8]
['вегiли', 8]
['букiун', 8]
['кабушили', 8]
['буреба', 8]
['вайкла', 8]
['гiялихан-батирла', 8]
['сархара', 8]
['дарман', 8]
['хiеркiли', 8]
['урцуйчи', 8]
['калунти', 8]
['ваши', 8]
['бареси', 8]
['кiялгiя', 8]
['дурарухъи', 8]
['рицци', 8]
['рикiул', 8]
['гъез', 8]
['ишини', 8]
['мазала', 8]
['муруй', 8]
['варгили', 8]
['ватихьили', 8]
['кьукьубачи', 8]
['хiербикiалли', 8]
['талхъайшу', 8]
['вара-нерхла', 8]
['кката', 8]
['арцла', 8]
['чинаб', 8]
['агь', 8]
['мучила', 8]
['чарбухъи', 8]
['баргили', 8]
['ахiенси', 8]
['тiакьа', 8]
['бисмиллагь', 8]
['аги', 8]
['дигалли', 8]
['хьунулла', 8]
['муруйзи', 8]
['уцце', 8]
['виикiел', 8]
['гибти', 8]
['ханни', 8]
['шятiахьи', 8]
['лебгiеб', 8]
['мартар', 8]
['абдай', 8]
['хургьи', 8]
['вегiла', 8]
['бидагул', 7]
['синна', 7]
['ваца', 7]
['лугас', 7]
['паргъатли', 7]
['заманала', 7]
['биалра', 7]
['тiахi', 7]
['аккура', 7]
['буцiе', 7]
['бицiла', 7]
['бирули', 7]
['биубли', 7]
['кабикили', 7]
['иттий', 7]
['сунна', 7]
['чина', 7]
['сеечiу', 7]
['юртличи', 7]
['чяка', 7]
['нукьун', 7]
['нушачи', 7]
['мура', 7]
['нунира', 7]
['баркьиб', 7]
['цiерцi', 7]
['чiакали', 7]
['хя', 7]
['цiа', 7]
['гьенили', 7]
['пачала', 7]
['гiелабяхi', 7]
['гьалав', 7]
['гьет', 7]
['масра', 7]
['хiеркi', 7]
['хъарбариб', 7]
['чумал', 7]
['кiиэсил', 7]
['узби', 7]
['мерличиб', 7]
['чеибхiели', 7]
['чарухъунси', 7]
['теб', 7]
['архiяличи', 7]
['аса', 7]
['урчиличи', 7]
['кiана', 7]
['аждагьали', 7]
['рарх', 7]
['рурсби', 7]
['дубла', 7]
['дудешли', 7]
['беркеси', 7]
['шинни', 7]
['хiева', 7]
['къапу', 7]
['дуравхъи', 7]
['аркьяс', 7]
['бегi', 7]
['буцили', 7]
['ягъари', 7]
['къаркъа', 7]
['хъулир', 7]
['даргили', 7]
['ухiна', 7]
['раргили', 7]
['хiила', 7]
['адамла', 7]
['айзурли', 7]
['кiира', 7]
['дурибти', 7]
['дурхiялизи', 7]
['хiушачи', 7]
['балуй', 7]
['арцра', 7]
['вявикiули', 7]
['разииубли', 7]
['нукерти', 7]
['хiинтiина', 7]
['хiербирули', 7]
['хъулиб', 7]
['бахiяммани', 7]
['зела', 7]
['бала', 7]
['мургьили', 7]
['мургьира', 7]
['уцай', 7]
['чардарили', 7]
['шинкьанкула', 7]
['патишагьла', 7]
['бегiти', 7]
['давлачебтани', 7]
['гавлагла', 7]
['хьунулле', 7]
['либле', 6]
['ччиту', 6]
['дужибле', 6]
['вай', 6]
['биикьул', 6]
['бухале', 6]
['тер', 6]
['эй', 6]
['тиладибара', 6]
['бецiра', 6]
['сабину', 6]
['баркалла', 6]
['кьадала', 6]
['бутiа', 6]
['багьлали', 6]
['ккучбе', 6]
['сунесра', 6]
['либакку', 6]
['хулассе', 6]
['дуб', 6]
['бицiле', 6]
['чедаили', 6]
['аллагьли', 6]
['халалгъуна', 6]
['урухбиубли', 6]
['къачча', 6]
['ях', 6]
['камти', 6]
['дам', 6]
['кабжиб', 6]
['мазара', 6]
['либил', 6]
['хапли', 6]
['синкала', 6]
['занзи', 6]
['аррукили', 6]
['бикайчи', 6]
['барибси', 6]
['хiерли', 6]
['къаплан', 6]
['илили', 6]
['дарес', 6]
['арцурли', 6]
['чугур', 6]
['бикиб', 6]
['гал', 6]
['ма', 6]
['аллагь', 6]
['умударагу', 6]
['гьаннара', 6]
['ребшили', 6]
['квачье', 6]
['бакьиб', 6]
['гiялихан-батирли', 6]
['дай', 6]
['гьенхiеле', 6]
['бяхъибле', 6]
['икiули', 6]
['урхьнацце', 6]
['бехъала', 6]
['гьентти', 6]
['луккас', 6]
['пача', 6]
['багьур', 6]
['уркура', 6]
['лебил', 6]
['гiе', 6]
['бамсриахъес', 6]
['талхъайчи', 6]
['къуллукъчи', 6]
['кавшес', 6]
['унцра', 6]
['дедиб', 6]
['кьасбариб', 6]
['узира', 6]
['кахъес', 6]
['вехiихьиб', 6]
['дуцили', 6]
['сяхi', 6]
['хiебалас', 6]
['жамили', 6]
['ахъбуцили', 6]
['ишаб', 6]
['хъалла', 6]
['бариб', 6]
['дуччи', 6]
['бикiул', 6]
['хiурмат', 6]
['левгiев', 6]
['гiярабузинга', 6]
['хьунуйчи', 6]
['мегьла', 6]
['гьала-гьала', 6]
['хъали', 6]
['хъулив', 6]
['викιули', 6]
['гiяярличи', 6]
['икi', 6]
['гiяхiна', 6]
['ишбархiи', 6]
['сасили', 6]
['нешра', 6]
['дудешра', 6]
['аждагьара', 6]
['хьунри', 6]
['баргес', 6]
['лябкьуси', 6]
['лябкьули', 6]
['16', 6]
['чеди', 6]
['раши', 6]
['хiерикiули', 6]
['ккалкка', 6]
['сарри', 6]
['даршал', 6]
['гiяяр', 6]
['ахъси', 6]
['чинад', 6]
['тамашариубли', 6]
['чебаибхiели', 6]
['тамашаиубли', 6]
['арукили', 6]
['хуху', 6]
['уртахъ', 6]
['дедибти', 6]
['мар', 6]
['гадли', 6]
['арацiили', 6]
['хумарли', 6]
['бурес', 6]
['калунси', 6]
['аркьуси', 6]
['тiулека', 6]
['дунъяла', 6]
['аммаки', 6]
['хiянчи', 6]
['ери-юрт', 6]
['хiябилра', 6]
['къараул', 6]
['азбарла', 6]
['ракiили', 6]
['эс', 6]
['гiинцби', 6]
['кабатурли', 6]
['шагьназли', 6]
['тiярхъила', 6]
['хъарличи', 6]
['нукер', 6]
['жавгьар-къина', 6]
['гьиба', 6]
['патишагь', 6]
['бизбизила', 6]
['чурми', 6]
['хъярхъли', 6]
['бетааб', 6]
['адда', 6]
['си', 6]
['жавабти', 6]
['жибхiни', 6]
['даг', 6]
['хъубзарли', 6]
['багьа', 6]
['бицiибси', 6]
['ахъли', 6]
['цакамси', 6]
['хибти', 6]
['вирару', 6]
['уцайли', 6]
['асилбеглизи', 6]
['дихiяхъес', 6]
['хiясан', 6]
['къуруш', 6]
['жагал', 6]
['бухари', 6]
['хаччу', 6]
['цiуб', 6]
['кьюл', 6]
['иле', 6]
['теебидигун', 5]
['хвала', 5]
['душман', 5]
['бархiила', 5]
['бякьи', 5]
['бурули', 5]
['гурдара', 5]
['лебри', 5]
['бецiла', 5]
['бячи', 5]
['вацiа', 5]
['хьайбагъиб', 5]
['гьенила', 5]
['гiера', 5]
['ледира', 5]
['гьаре', 5]
['куутта', 5]
['нале', 5]
['кьяцара', 5]
['ярга', 5]
['хiяка', 5]
['вее', 5]
['мусса', 5]
['акквит', 5]
['чебаиб', 5]
['иццала', 5]
['букiибле', 5]
['силий', 5]
['хiябэсил', 5]
['шинкьала', 5]
['аргъили', 5]
['дурхiнира', 5]
['цайна', 5]
['цiакьли', 5]
['цiирра', 5]
['ахiли', 5]
['чiиб-чiиб', 5]
['дудил', 5]
['укiибле', 5]
['гъамбиубли', 5]
['юртлизи', 5]
['лерти', 5]
['гурдани', 5]
['гiяхiсил', 5]
['балас', 5]
['бебшили', 5]
['мурхьси', 5]
['чiянкiли', 5]
['гiелабад', 5]
['бухiнаб', 5]
['хала', 5]
['хьарбаибли', 5]
['уктемли', 5]
['белгьи', 5]
['цiикури', 5]
['абацце', 5]
['гьара', 5]
['бургьибли', 5]
['цiулхiа', 5]
['кабиибли', 5]
['ужибле', 5]
['къакъба', 5]
['чiака', 5]
['кумекбарес', 5]
['бяжукла', 5]
['пикрибарили', 5]
['къаршибикили', 5]
['дарх', 5]
['хiушачил', 5]
['чаррухъи', 5]
['хiулби', 5]
['хiямхiя', 5]
['южиб', 5]
['берхiидай', 5]
['бургьу', 5]
['шинтта', 5]
['урегiер', 5]
['релкьве', 5]
['дагiкаратурсе', 5]
['лихiи', 5]
['хiушшала', 5]
['кiвиисил', 5]
['бугъа', 5]
['хулати', 5]
['агъу', 5]
['адамтани', 5]
['чучи', 5]
['кiинайс', 5]
['гъамли', 5]
['уцили', 5]
['узбани', 5]
['хiеили', 5]
['тiашизур', 5]
['шел', 5]
['дирес', 5]
['ляркьули', 5]
['хiебирар', 5]
['дицiибти', 5]
['жагьилти', 5]
['дуравхъун', 5]
['дурхъати', 5]
['вебкiахъес', 5]
['бегiтачи', 5]
['разили', 5]
['илела', 5]
['гiябал', 5]
['атта', 5]
['цада', 5]
['кквягi', 5]
['чилра', 5]
['чила', 5]
['тиладибаркьиб', 5]
['агъули', 5]
['сенкiун', 5]
['хiулбе', 5]
['регi', 5]
['шилизиб', 5]
['виубли', 5]
['пикриухъи', 5]
['хiейубли', 5]
['кайхьи', 5]
['абхьили', 5]
['тiал', 5]
['бархiили', 5]
['17', 5]
['гiелавад', 5]
['кабушес', 5]
['лерси', 5]
['шакрикили', 5]
['шайу', 5]
['гьекi', 5]
['дукана', 5]
['абчигiяхiмад', 5]
['яшав', 5]
['дураухъи', 5]
['урчала', 5]
['кiялгiнала', 5]
['дурхiяла', 5]
['мискинси', 5]
['се-биалра', 5]
['хухуни', 5]
['адамтира', 5]
['га', 5]
['аллагьла', 5]
['хiегадли', 5]
['илцад', 5]
['хьалли', 5]
['чiичiай', 5]
['риштiаси', 5]
['чiичiа', 5]
['цархiилти', 5]
['агайхай', 5]
['бицiили', 5]
['тиладиухъи', 5]
['ахiи', 5]
['лерил', 5]
['хъарбаркь', 5]
['аркьухiели', 5]
['вявъили', 5]
['чераибхiели', 5]
['духуси', 5]
['унраличибси', 5]
['итди', 5]
['берклума', 5]
['уки', 5]
['берклуми', 5]
['сукни', 5]
['къаравашли', 5]
['саял', 5]
['дикибти', 5]
['галгуби', 5]
['кабихьибси', 5]
['виадли', 5]
['кагъар', 5]
['хiуша', 5]
['атiиб', 5]
['хайдакьлан', 5]
['дирцули', 5]
['ургар', 5]
['диги', 5]
['кiабатiра', 5]
['дурили', 5]
['эмхiечи', 5]
['вакiибхiели', 5]
['шилизир', 5]
['вахъ', 5]
['жавгьар', 5]
['каттагул', 5]
['дучче', 5]
['къяжара', 5]
['занзбала', 5]
['дубурличи', 5]
['унцли', 5]
['рисусири', 5]
['лихiилизи', 5]
['секiалра', 5]
['давлачевси', 5]
['бизиси', 5]
['гьанкi', 5]
['талхъайзи', 5]
['сегъунти', 5]
['сабив', 5]
['мискинни', 5]
['ира', 5]
['балули', 5]
['шагьли', 5]
['хьарбиули', 5]
['сагадан', 5]
['сецад', 5]
['ханжал', 5]
['давлачевсила', 5]
['гiяжаибси', 5]
['мяхiкамдарили', 5]
['тiерхьа', 5]
['адамтала', 5]
['посылка', 5]
['бекiли', 5]
['хинкi', 5]
['гавлагуни', 5]
['къарчигъа', 5]
['кьикiа', 5]
['малик', 5]
['дерхiе', 5]
['ицлумела', 5]
['гiябул', 5]
['ниссила', 4]
['бухуб', 4]
['гiяхсиб', 4]
['сякьун', 4]
['гьуна', 4]
['хяб', 4]
['бячун', 4]
['са-са', 4]
['гелешмеш', 4]
['ванза', 4]
['ванзализи', 4]
['балуси', 4]
['гурдали', 4]
['вакъчеб', 4]
['гiяра', 4]
['дуцiли', 4]
['чидил', 4]
['буциб', 4]
['къургъ', 4]
['кутта', 4]
['дикiуле', 4]
['нушшала', 4]
['кулехха', 4]
['цара', 4]
['сирикан', 4]
['къяца', 4]
['сикiалдихь', 4]
['гiяхле', 4]
['къачара', 4]
['анкъила', 4]
['хабарла', 4]
['цалис', 4]
['ардякьи', 4]
['унзара', 4]
['дурабухъес', 4]
['урехили', 4]
['удир', 4]
['вари', 4]
['халасигъуна', 4]
['илтте', 4]
['бееквизиб', 4]
['уцца', 4]
['нусса', 4]
['ниссий', 4]
['кiвиял', 4]
['ахъри', 4]
['балулра', 4]
['бяхъя', 4]
['къил', 4]
['сабя', 4]
['гуглахiяйли', 4]
['хiеркiличи', 4]
['ккуртта', 4]
['бикiлиу', 4]
['анкiала', 4]
['адамилдил', 4]
['вацiализир', 4]
['чули', 4]
['дакiили', 4]
['чинаба', 4]
['хес', 4]
['хiурматла', 4]
['сабрил', 4]
['набзибад', 4]
['гiинизличи', 4]
['хiербизур', 4]
['гiурла', 4]
['бахъхiи', 4]
['илабад', 4]
['декь', 4]
['гьарахъли', 4]
['бицили', 4]
['уусул', 4]
['кацiе', 4]
['биччиб', 4]
['гьибая', 4]
['букiай', 4]
['валри', 4]
['дигулра', 4]
['улкьайла', 4]
['илила', 4]
['хъуливад', 4]
['бахъ', 4]
['нушила', 4]
['пакле', 4]
['къакъбара', 4]
['хапбарили', 4]
['дагъа', 4]
['гьуйчиб', 4]
['ардухили', 4]
['лебтасалра', 4]
['илла', 4]
['бикiван', 4]
['ттуравхъе', 4]
['итаб', 4]
['даркьибле', 4]
['дубурте', 4]
['уб', 4]
['батбихьиб', 4]
['гьеш', 4]
['бяхъиб', 4]
['сабаб', 4]
['дуне', 4]
['пикрибаркьиб', 4]
['ши', 4]
['риккиб', 4]
['вакiибле', 4]
['тяй', 4]
['хiет', 4]
['шантани', 4]
['къуллукъчили', 4]
['кайибси', 4]
['таманбиубли', 4]
['пикриухъун', 4]
['укьес', 4]
['ветаиб', 4]
['урцуй', 4]
['вирхъули', 4]
['уркри', 4]
['декiар', 4]
['духiнар', 4]
['урцулра', 4]
['шанти', 4]
['дурабухъун', 4]
['савгъатуни', 4]
['дигив', 4]
['къугъаси', 4]
['жами', 4]
['чераэс', 4]
['дуги-хiери', 4]
['кiинайсра', 4]
['ванзаличи', 4]
['чурмира', 4]
['хiуван', 4]
['илбагьандан', 4]
['мерлаб', 4]
['бахьхьан', 4]
['гьелтти', 4]
['хулакан', 4]
['сикни', 4]
['икiул', 4]
['гъулухь', 4]
['хъале', 4]
['вахьхьули', 4]
['гьагур', 4]
['бутiни', 4]
['левсе', 4]
['шагьарлизи', 4]
['виликьабта', 4]
['шагьисмагiилла', 4]
['аддала', 4]
['булан', 4]
['суд', 4]
['гъайла', 4]
['рузира', 4]
['умхьни', 4]
['къакъличи', 4]
['вакiайчи', 4]
['берки', 4]
['варкьили', 4]
['лявкьуси', 4]
['сели', 4]
['каш', 4]
['викили', 4]
['алавчарли', 4]
['кайкили', 4]
['вебкiили', 4]
['лехiизи', 4]
['нешлизи', 4]
['ишав', 4]
['кариибси', 4]
['дугила', 4]
['бекiра', 4]
['разибиубти', 4]
['18', 4]
['мекъра', 4]
['мешути', 4]
['шайуб', 4]
['мургье', 4]
['кiвел', 4]
['асибле', 4]
['хьунуйцце', 4]
['сабукъара', 4]
['гiяяман', 4]
['ватихьиб', 4]
['хiаршлитi', 4]
['бирхъян', 4]
['кабукара', 4]
['хьунуйс', 4]
['гiярчумак', 4]
['рурсилис', 4]
['мурчiа', 4]
['илхъи', 4]
['хъар', 4]
['метрла', 4]
['аризурли', 4]
['биалри', 4]
['гьайбарили', 4]
['бурахъес', 4]
['чедаибхiели', 4]
['диъни', 4]
['пикри', 4]
['шайчи', 4]
['багьадурлис', 4]
['сихiрула', 4]
['кiапiи', 4]
['кьяли', 4]
['цiали', 4]
['дирули', 4]
['хiерирули', 4]
['хъубзара', 4]
['гьарил', 4]
['чебаэс', 4]
['гьачамалра', 4]
['белики', 4]
['рузбани', 4]
['гiяхiцадхiи', 4]
['убасили', 4]
['бигубли', 4]
['илад', 4]
['итмаданал', 4]
['хiили', 4]
['вагьигла', 4]
['дунъяличир', 4]
['ишила', 4]
['рирар', 4]
['хiябмузан', 4]
['хъарбариба', 4]
['кьяхiяртi', 4]
['барра', 4]
['агайхайс', 4]
['дамра', 4]
['дядра', 4]
['вирар', 4]
['гiягiнибиркур', 4]
['рукьес', 4]
['къапула', 4]
['датурти', 4]
['урчили', 4]
['буру', 4]
['дунъяличиб', 4]
['алхiямдулиллагь', 4]
['гiяхiил', 4]
['тупанг', 4]
['бархiехълис', 4]
['хъайчикайэс', 4]
['жагiял', 4]
['хiилхiи', 4]
['пикриикiули', 4]
['кьани', 4]
['ургаб', 4]
['гiинци', 4]
['тамашабиубли', 4]
['чеббердили', 4]
['лугасну', 4]
['либли', 4]
['шири', 4]
['вагi', 4]
['къатта', 4]
['бетаурси', 4]
['биккиб', 4]
['илттес', 4]
['эмхiеличи', 4]
['чинара', 4]
['къалмакъар', 4]
['багьес', 4]
['яхши-хушварили', 4]
['ибхiели', 4]
['чарухъунхiели', 4]
['биха', 4]
['нате', 4]
['уцбе', 4]
['хiенкь', 4]
['рисули', 4]
['хiяцураличи', 4]
['дубура', 4]
['хiяцуралис', 4]
['гiяваси', 4]
['кiантiиси', 4]
['хьарбаибхiели', 4]
['нерх', 4]
['гидгари', 4]
['бегiи', 4]
['датурли', 4]
['хабарра', 4]
['виублирив', 4]
['гiяппас', 4]
['бархьили', 4]
['сегъуна-биалра', 4]
['арцлис', 4]
['бекiлизи', 4]
['ишала', 4]
['гiяргiяла', 4]
['кьабуликили', 4]
['барилри', 4]
['уркiи', 4]
['гiяргiни', 4]
['багьурхiели', 4]
['анцiбукь', 4]
['гьаригу', 4]
['викiар', 4]
['муцiур', 4]
['хiяжи', 4]
['вирус', 4]
['диули', 4]
['асилбегли', 4]
['адамлис', 4]
['кiара', 4]
['мехiурли', 4]
['хiяса', 4]
['чебиркур', 4]
['хiеркiла', 4]
['башути', 4]
['ухънани', 4]
['бяхiла', 4]
['ятим', 4]
['базарличир', 4]
['базар', 4]
['разириубли', 4]
['маллани', 4]
['гали', 4]
['виэс', 4]
['давлачебти', 4]
['тiайзи', 4]
['ламус', 4]
['базарличиб', 4]
['асира', 4]
['бицара', 4]
['эмхiели', 4]
['даргира', 4]
['гегуг', 4]
['аццили', 4]
