['гъу', 60]
['ахва', 6]
['хьинне', 6]
['гьайна', 6]
['ваке', 6]
['гьелес', 6]
['йизын', 6]
['вод', 6]
['маiгьаммад', 6]
['вудж', 6]
['йизда', 6]
['гьевле', 6]
['хъаiл', 6]
['гьавъу', 6]
['гьаъас', 6]
['шартi', 6]
['ацiа', 6]
['анджах', 6]
['йиш', 6]
['ина', 6]
['хаiбна', 6]
['хьян', 6]
['г', 6]
['лаккве', 6]
['къайебы', 6]
['вахтал', 5]
['гьуво', 5]
['хъигъечiи', 5]
['девруш', 5]
['къарпызар', 5]
['йизди', 5]
['водунбы', 5]
['хылли', 5]
['аiкiел', 5]
['сагъра', 5]
['ыхьай', 5]
['хъуво', 5]
['гьеле', 5]
['суалыс', 5]
['манкъукiле', 5]
['дек', 5]
['няъас', 5]
['аляъасын', 5]
['йигъыл', 5]
['тiуджвайна', 5]
['манчини', 5]
['къаравуле', 5]
['ары', 5]
['гьиджо', 5]
['хъидгiын', 5]
['чiаiр', 5]
['гойне', 5]
['гьасре', 5]
['быкыр', 5]
['ед', 5]
['хьейибле', 5]
['девлет', 5]
['фалый', 5]
['хурджун', 5]
['кьочiе', 5]
['масса', 4]
['ал', 4]
['гьевлена', 4]
['аiмале', 4]
['манкъун', 4]
['хыл', 4]
['джун', 4]
['кьаiсда', 4]
['гьина', 4]
['не', 4]
['увгьойн', 4]
['джуваббы', 4]
['суалбы', 4]
['аiкiелис', 4]
['ай', 4]
['хъелес', 4]
['аiхас', 4]
['кьоiдъэсди', 4]
['суал', 4]
['джуваб', 4]
['аiл', 4]
['гьайкiан', 4]
['адамийе', 4]
['гьааi', 4]
['гьайняхъа', 4]
['захъаб', 4]
['шадехьи', 4]
['заке', 4]
['фирманыб', 4]
['абы', 4]
['амыр', 4]
['хъабы', 4]
['ин', 4]
['гьиджооне', 4]
['къедже', 4]
['дешдий', 4]
['фирманна', 4]
['гьаагу', 4]
['дешин', 4]
['гьидяъа', 4]
['эйхьи', 4]
['тербие', 4]
['пешекар', 4]
['къарг', 4]
['гьийхьар', 4]
['иляккана', 4]
['хьинелхъа', 4]
['аккас', 4]
['йихъий', 4]
['лаку', 4]
['йугна', 4]
['вукiлеехъа', 4]
['19', 3]
['югун', 3]
['хъары', 3]
['палтар', 3]
['аляу', 3]
['гьавайкiан', 3]
['наiгьдый', 3]
['шена', 3]
['хъызахха', 3]
['няхъане', 3]
['ыккекка', 3]
['нукiра', 3]
['адайли', 3]
['джанана', 3]
['сагъвалла', 3]
['манче', 3]
['зассахъа', 3]
['хъарайли', 3]
['ады', 3]
['аббасе', 3]
['эйхье', 3]
['7', 3]
['деъэш', 3]
['джус', 3]
['8', 3]
['хъигьна', 3]
['къайищесын', 3]
['9', 3]
['10', 3]
['джуке', 3]
['манчилхъа', 3]
['хъелесын', 3]
['гьинкъве', 3]
['вазирыкiле', 3]
['11', 3]
['авху', 3]
['инсанар', 3]
['балкан', 3]
['донана', 3]
['кьитмир', 3]
['шагьаре', 3]
['манкъуна', 3]
['зугьра', 3]
['аiгьмадыкiле', 3]
['гийгъал', 3]
['гиргъыл', 3]
['ихьес', 3]
['шу', 3]
['тiалабаъа', 3]
['вахт', 3]
['ни', 3]
['дарвазабы', 3]
['вахъаб', 3]
['хъивхьена', 3]
['паччагьыкiле', 3]
['гьевледжин', 3]
['матехьи', 3]
['гьооле', 3]
['къол', 3]
['оохъа', 3]
['паччагьыс', 3]
['кiыры', 3]
['деше', 3]
['пызмыш', 3]
['гьаiкiей', 3]
['титрамишаъа', 3]
['джаза', 3]
['дешхьее', 3]
['йаiхъ', 3]
['васахъа', 3]
['эгье', 3]
['гьу', 3]
['фирмана', 3]
['шас', 3]
['дих', 3]
['магьаiммаде', 3]
['зуiгьра', 3]
['дешоб', 3]
['базарейхъа', 3]
['дешде', 3]
['манчихъа', 3]
['дост', 3]
['йигъ', 3]
['кьадийе', 3]
['алейтiас', 3]
['къазындж', 3]
['оiлкайл', 3]
['йишбы', 3]
['хизан', 3]
['ихьена', 3]
['хаiрни', 3]
['гьаъанки', 3]
['йише', 3]
['гьакiне', 3]
['на', 3]
['мичiейр', 3]
['хивейхъа', 3]
['гьиву', 3]
['хивни', 3]
['яныл', 3]
['эчiе', 3]
['цiыцiаъа', 3]
['базаренче', 3]
['мыслягьаiт', 3]
['хъихьа', 3]
['къарий', 3]
['соссе', 3]
['сиюх', 3]
['кьев', 3]
['шала', 3]
['элес', 3]
['ватанылхъа', 3]
['гьаммаз', 3]
['къарпыз', 3]
['къарпызнани', 3]
['авчий', 3]
['кiонахъа', 3]
['сюрий', 3]
['кiон', 3]
['гачбы', 3]
['авчийвалис', 3]
['ыхьанамы', 2]
['дехьанамы', 2]
['эза', 2]
['сен', 2]
['болун', 2]
['маiгьсул', 2]
['эн', 2]
['джони', 2]
['ешемишехьи', 2]
['гьааiнкъа', 2]
['да', 2]
['агъа', 2]
['гьайни', 2]
['аiббасыс', 2]
['якьут', 2]
['ил', 2]
['хевакана', 2]
['улехъа', 2]
['хъигъечiу', 2]
['ааiсда', 2]
['вазирыс', 2]
['касибни', 2]
['хъаъа', 2]
['сиджаху', 2]
['хъабайли', 2]
['гийъар', 2]
['аккалхъа', 2]
['бирданхьессе', 2]
['инсанарше', 2]
['захъад', 2]
['улени', 2]
['йаiххъыл', 2]
['йаiххъыiл', 2]
['къайиккасда', 2]
['касибыкiле', 2]
['залхъа', 2]
['гьелен', 2]
['ихтелет', 2]
['гьаркiын', 2]
['геер', 2]
['мехьи', 2]
['къайищес', 2]
['гьоора', 2]
['алиху', 2]
['валхъа', 2]
['манчис', 2]
['хаiйбише', 2]
['хьулебле', 2]
['хъодкуйн', 2]
['диван', 2]
['гьеъэ', 2]
['няане', 2]
['аллагь', 2]
['аляъа', 2]
['илякка', 2]
['аiхъана', 2]
['хъалес', 2]
['гьели', 2]
['югна', 2]
['ачухна', 2]
['йихьа', 2]
['йикi', 2]
['кумаг', 2]
['инсанаршис', 2]
['аiгьмадни', 2]
['хьунащейс', 2]
['вале', 2]
['етимра', 2]
['цiерра', 2]
['аiгьмадын', 2]
['йичи', 2]
['йиче', 2]
['чоджис', 2]
['илёрзул', 2]
['хъехьи', 2]
['зыджаб', 2]
['къалайни', 2]
['къадабхьун', 2]
['тiалабаъас', 2]
['чекийлин', 2]
['алябатiа', 2]
['нявхьа', 2]
['айрес', 2]
['къеджен', 2]
['аiха', 2]
['дешор', 2]
['алебтiас', 2]
['алдамишаъас', 2]
['манкъе', 2]
['хъыкекка', 2]
['нишисне', 2]
['вакана', 2]
['ишне', 2]
['мед', 2]
['пачча-гьыкiле', 2]
['эгьесын', 2]
['ишоб', 2]
['матхьа', 2]
['манна', 2]
['гьаагва', 2]
['сагъул', 2]
['майдамахъа', 2]
['къеджи', 2]
['гыргына', 2]
['адаме', 2]
['хъевле', 2]
['саркiыл', 2]
['вазирылхъа', 2]
['оокiанас', 2]
['оокiне', 2]
['разехьи', 2]
['12', 2]
['печат', 2]
['13', 2]
['ыiхы', 2]
['маiгьаммадысахъа', 2]
['саъаiтыле', 2]
['хъалесда', 2]
['джиге', 2]
['нении', 2]
['14', 2]
['воохьи', 2]
['засахъа', 2]
['цiедда', 2]
['сенбы', 2]
['джандалар', 2]
['быкыргьидяуна', 2]
['иняаъар', 2]
['15', 2]
['16', 2]
['биябыр', 2]
['къаджыда', 2]
['17', 2]
['увгьое', 2]
['сайир', 2]
['ацiанний', 2]
['вазирыке', 2]
['18', 2]
['джига', 2]
['борджлура', 2]
['гьоъо', 2]
['инбы', 2]
['дехьай', 2]
['гьиджоо', 2]
['20', 2]
['гьарай', 2]
['21', 2]
['лазымба', 2]
['гьаiкiейид', 2]
['горане', 2]
['аiхрейна', 2]
['маныд', 2]
['ихьеджен', 2]
['арайле', 2]
['пешекарыйвалла', 2]
['гадей', 2]
['элейс', 2]
['хьуледле', 2]
['ешемишхьес', 2]
['мангини', 2]
['пешакаре', 2]
['досте', 2]
['закасана', 2]
['алейтiе', 2]
['гъунар', 2]
['гьивойн', 2]
['гийхье', 2]
['садджу', 2]
['маiъдалхьа', 2]
['шейперий', 2]
['батiрайн', 2]
['декке', 2]
['джусхъа', 2]
['адамершис', 2]
['адамийс', 2]
['ши', 2]
['разийба', 2]
['вобонбы', 2]
['адамене', 2]
['хьунащене', 2]
['деккини', 2]
['адейид', 2]
['инкъве', 2]
['эвлемишдехьана', 2]
['гейр', 2]
['алихы', 2]
['дюз', 2]
['дешод', 2]
['ейхаiс', 2]
['еде', 2]
['къарийка', 2]
['махъа', 2]
['маiгьдын', 2]
['къийхъа', 2]
['къат', 2]
['мыiслягьаiт', 2]
['хорагыс', 2]
['сое', 2]
['эхьалийс', 2]
['ойхьан', 2]
['хьинекан', 2]
['маiгьаллейхъа', 2]
['маiгьаллей', 2]
['адле', 2]
['шинаб', 2]
['девабы', 2]
['оiгейхъа', 2]
['караваныка', 2]
['хьинел', 2]
['аiрдава', 2]
['гиур', 2]
['кегьризейхъа', 2]
['алебтiу', 2]
['хаiдын', 2]
['кьафабы', 2]
['гьабагъыс', 2]
['аiрдавайн', 2]
['алхъаъа', 2]
['гьибкiыр', 2]
['нар', 2]
['нарар', 2]
['перийс', 2]
['хайбы', 2]
['балугъен', 2]
['хъыгъаъа', 2]
['манчин', 2]
['сиджахва', 2]
['перийе', 2]
['гьааъана', 2]
['инбише', 2]
['хъоотiал', 2]
['аху', 2]
['савкiуна', 2]
['веехьена', 2]
['аiаi', 2]
['дена', 2]
['йугба', 2]
['фалыйыкiле', 2]
['вадал', 2]
['сувалхъа', 2]
['хъийřан', 2]
['лаккуйни', 2]
['итхьун', 2]
['хъойтiал', 2]
['алихьхьес', 2]
['вукiлее', 2]
['хъийган', 2]
['сувал', 2]
['бы', 2]
['агъившу', 2]
['шениса', 2]
['кiебачче', 2]
['веехье', 2]
['мер', 2]
['аiкiеликва', 2]
['фыкыррамиш', 2]
['йишойле', 2]
['мааъаб', 2]
['кiонаршин', 2]
['атыш', 2]
['тифанг', 2]
['гивхьу', 2]
['йигъыле', 2]
['гьаммаще', 2]
['гьыiрс', 2]
['айгье', 2]
['делес', 2]
['куйилейхъа', 2]
['кьаiсинбише', 2]
['дал', 2]
['чис', 2]
['няхуiбнайий', 2]
['къедше', 2]
['касибый', 1]
['аiббас', 1]
['бишди', 1]
['савахтал', 1]
['багъе', 1]
['къарпызархиярармейвар', 1]
['сук', 1]
['хизанний', 1]
['доламишааъа', 1]
['мейваан', 1]
['аляатiа', 1]
['манкъвае', 1]
['хьунащейкiле', 1]
['оiххъаiс', 1]
['аiббасысахъа', 1]
['къарпызаршини', 1]
['хевака', 1]
['мислягьаiтехъа', 1]
['разеехьикъарпызаршини', 1]
['аiренче', 1]
['югынбы', 1]
['сечмишау', 1]
['хурджинехъа', 1]
['саъа', 1]
['алиххьы', 1]
['хев', 1]
['аiмалелхъа', 1]
['сафарехъа', 1]
['аiббасейи', 1]
['аллагьвердие', 1]
['маацiамохьеджинва', 1]
['деврушаршин', 1]
['таналхъа', 1]
['иляакас', 1]
['джон', 1]
['халкь', 1]
['йаiхъыл', 1]
['гьинбишисахъа', 1]
['гьинкъуке', 1]
['кьаiс', 1]
['хеве', 1]
['шавусне', 1]
['багъыний', 1]
['дирингын', 1]
['гьувыманчихъа', 1]
['ацiаннеинсанарше', 1]
['нишисымыне', 1]
['манбишихъад', 1]
['ыккесын', 1]
['имкамбы', 1]
['захъад-', 1]
['гъуджарор', 1]
['заiгматыква', 1]
['безмишаъа', 1]
['шагье', 1]
['кьабыляаъас–', 1]
['агъавас', 1]
['алеетiе-аляатiа', 1]
['детiее', 1]
['манкъуни', 1]
['ооши', 1]
['суратехъа', 1]
['шиле', 1]
['уiвхаiс', 1]
['вукийканамма', 1]
['яныххъа', 1]
['джитiани', 1]
['йаiххъын', 1]
['чаiрани', 1]
['парчейн', 1]
['илхъечiу', 1]
['тахтылхъа', 1]
['вазираршис', 1]
['хевакани', 1]
['аiмалейкана', 1]
['арыме', 1]
['аккерче', 1]
['гьиджоне', 1]
['хевее', 1]
['паччагьйигъна', 1]
['хъивхьенавас', 1]
['–касибе', 1]
['камувхьа', 1]
['къизилеранукiра', 1]
['ыiмаратбы', 1]
['адайлиамма', 1]
['къарпызари', 1]
['шах', 1]
['паччагьгъу', 1]
['ихьенаманбишихъад', 1]
['шен', 1]
['имканбы', 1]
['дешрадхье', 1]
['оiгеенче', 1]
['гиваханаъасда', 1]
['паччагьняъас', 1]
['хатир', 1]
['аляатiахье', 1]
['алеетiе', 1]
['илдяатiахье', 1]
['ихьеджин', 1]
['гьануэгьегьиджойи', 1]
['хъаiлаква', 1]
['паччагьзы', 1]
['гьаiшаде', 1]
['гiалилхъа', 1]
['хъадыйн', 1]
['деъэшагар', 1]
['хъобкуна', 1]
['гьавъэ', 1]
['гьидявъэ', 1]
['ишбы', 1]
['писда', 1]
['ацiахьи', 1]
['йаiххъа', 1]
['хъызаххы', 1]
['манкъвейид', 1]
['гьувойнкъаi', 1]
['аiмаiле', 1]
['тепишаъас', 1]
['хойтiал', 1]
['а', 1]
['хазначий', 1]
['гьооли-къарпызаршикван', 1]
['хурджинбы', 1]
['гищы', 1]
['кьаiрахъеъэ', 1]
['къизлека', 1]
['гацяу', 1]
['касибысахъа', 1]
['паччагьын', 1]
['кьабыл', 1]
['дехьи', 1]
['аiбасыкiле', 1]
['зыманкъуни', 1]
['аллагьвердий', 1]
['аiкiелеена', 1]
['дешорна', 1]
['серрасына', 1]
['манмеега', 1]
['сибыкра', 1]
['чалымиш', 1]
['къкаджесын', 1]
['къайище', 1]
['аiхайе', 1]
['аллагьверди', 1]
['джитани', 1]
['касибыхъар', 1]
['манзилиле', 1]
['аваркьыл', 1]
['джаваббы', 1]
['аiхе', 1]
['амурыкван', 1]
['хаiнене', 1]
['чiаiрна', 1]
['денейий', 1]
['аiмалейхъаб', 1]
['гьаманимееган', 1]
['хаiнебы', 1]
['дешодун', 1]
['хъаiдхъе', 1]
['хаiнебыдаiмален', 1]
['чiаiрбыд', 1]
['хъичiодкурий', 1]
['ыхье', 1]
['каммишхьана', 1]
['мысаджад', 1]
['хаiнебыне', 1]
['аiмален', 1]
['чiаiрбы', 1]
['гьыiсабаъас', 1]
['сибыкын', 1]
['аiмалел', 1]
['дешман', 1]
['аiйиб', 1]
['гечiе', 1]
['балканылезы', 1]
['алихас', 1]
['гьамани', 1]
['мутаде', 1]
['гечiи', 1]
['балканылеманчилхъа', 1]
['алихыме', 1]
['чуiмк', 1]
['уiвхыi', 1]
['кубыт', 1]
['вахъа', 1]
['вазирехъигьна', 1]
['гьокуйбы', 1]
['касибыхъа', 1]
['учмишхьа', 1]
['балканыл', 1]
['аiмалейка', 1]
['аiйнебенденче', 1]
['тамаше', 1]
['къаджейнчиле', 1]
['гьаы-гьаы', 1]
['вухьун', 1]
['хъоохакс', 1]
['гьим', 1]
['хъотiалас', 1]
['къихооли', 1]
['наш', 1]
['хъимехьива', 1]
['салламишавъу', 1]
['къаховуйни', 1]
['инсанаршика', 1]
['сикiылдад', 1]
['къеджиезы', 1]
['дишдий', 1]
['гьидево', 1]
['гьувойс', 1]
['чох', 1]
['сагъол29', 1]
['маiгьаммадын', 1]
['зарафатыкан', 1]
['аiмалбы', 1]
['авалаа', 1]
['заманайл', 1]
['манимеега', 1]
['кьит', 1]
['мирра', 1]
['масаджад', 1]
['садакьа', 1]
['ненкъусджаб', 1]
['гнейна', 1]
['хуiва', 1]
['джухъа', 1]
['илекый', 1]
['сабырнана', 1]
['аiхан', 1]
['зугьрайсыд', 1]
['айхуйнкъаi', 1]
['гьауманкъве', 1]
['джоiнкъаi', 1]
['алертiугоне', 1]
['йишна', 1]
['алертiу', 1]
['эл', 1]
['чера', 1]
['абыйнъаiманкъве', 1]
['ичийс', 1]
['бохче', 1]
['аливщу', 1]
['истагъна', 1]
['дават', 1]
['кечмишехьи', 1]
['хийгъа', 1]
['ахваманкъухъар', 1]
['дёлесна', 1]
['гогьар', 1]
['алертiуна', 1]
['зарара-зарара', 1]
['манбишаанкъаi', 1]
['кьабылехьи', 1]
['увгье', 1]
['карний', 1]
['аiрабирда', 1]
['палтарний', 1]
['къаджемеакьва', 1]
['гишоканау', 1]
['мыд-мыдаъаний', 1]
['маiгькамра', 1]
['мыс', 1]
['хъыхьайнкъаi', 1]
['зугьреванкъаi', 1]
['охьанасва', 1]
['хааъар', 1]
['кьытее', 1]
['гьаммашийна', 1]
['деккан-деккан', 1]
['къирагъылхъа', 1]
['фыкырамишеехьи', 1]
['аiгьмадейид', 1]
['хъаiлбы', 1]
['гьимаъаджин', 1]
['хьулехье', 1]
['маiнъыс', 1]
['маiгьаммадылхъа', 1]
['тапширмишаъас', 1]
['вукийкынамма', 1]
['гьааъасда', 1]
['къамишхьайн', 1]
['йичейке', 1]
['маiнкъыква', 1]
['саламатамишхьа', 1]
['кучехъа', 1]
['фыкреехъа', 1]
['нимеега', 1]
['югданий', 1]
['гибхьу', 1]
['арынахьий', 1]
['гьагвасынний', 1]
['базарысахъа', 1]
['гьийхьаранкъаi', 1]
['дарвазабишисахъа', 1]
['гьаана', 1]
['инсанаршина', 1]
['десте', 1]
['къооджи', 1]
['мааъар', 1]
['къаджейни', 1]
['къонши', 1]
['аiлийке', 1]
['дарвазабишисане', 1]
['авкiанавъу', 1]
['ненкъвукейи', 1]
['ваiвху', 1]
['гьелесва', 1]
['аiли', 1]
['маiгьаммадыр', 1]
['дестейлхъа', 1]
['аликкы', 1]
['хилдже', 1]
['авайкiан', 1]
['мычiах', 1]
['даiвху', 1]
['хайбишехъа', 1]
['дагъылмишоохьи', 1]
['гибгъыл', 1]
['магьаiммад', 1]
['макъукле', 1]
['кыцiабише', 1]
['къекван', 1]
['къеджиманкъве', 1]
['кёрзул', 1]
['чiиеле', 1]
['гьаманче', 1]
['къел', 1]
['къайикку', 1]
['дарвазабишсана', 1]
['къидекка', 1]
['онаъа', 1]
['аахъезакiле', 1]
['авайкуна', 1]
['къавджес', 1]
['хъувкеес', 1]
['хан-сараехъа', 1]
['къайиккас', 1]
['аган', 1]
['быссаъаiт', 1]
['идяахъе', 1]
['хъаiлака', 1]
['алдамиша', 1]
['ъас', 1]
['аахъа', 1]
['кьоiдъэеди', 1]
['дарвазабишисаней', 1]
['медни', 1]
['даянмишаъа', 1]
['манкъуiыд', 1]
['аiмалбишиква', 1]
['гадейке', 1]
['вукийкан', 1]
['манкъусыд', 1]
['къайикке', 1]
['хъаiлламишехьи', 1]
['къамишхьа', 1]
['даiхава', 1]
['вазирысахъа', 1]
['гьиджан', 1]
['вак', 1]
['гьидчуд', 1]
['текрар', 1]
['гьищуне', 1]
['паччагьыква', 1]
['иший', 1]
['зыджад', 1]
['даiхы', 1]
['гадейхъаб', 1]
['авайку', 1]
['гьаiкебаб', 1]
['абкiынна', 1]
['оiтириъэ', 1]
['ыхъдяххъыйн', 1]
['онаъасын', 1]
['сааъас', 1]
['бейабыраъас', 1]
['зеле', 1]
['атiиркьынар', 1]
['къобпишхьес', 1]
['за', 1]
['хъад', 1]
['гьавас', 1]
['быкыреъэ', 1]
['хааиш', 1]
['арзуне', 1]
['гьассе', 1]
['кiядкiинна', 1]
['йешемишехьена', 1]
['фыкре', 1]
['хъайме', 1]
['гьидевлес', 1]
['аидба', 1]
['оокiан', 1]
['вукiлел', 1]
['дешинкъве', 1]
['маiгьаммадыс', 1]
['гадейлхъа', 1]
['мебна', 1]
['донани', 1]
['адамерщеб', 1]
['ненкъухъарий', 1]
['гъасре', 1]
['манбишеб', 1]
['манаб', 1]
['шавухъабый', 1]
['манкъейиб', 1]
['ненайи', 1]
['мишлешни', 1]
['хивенче', 1]
['манкъвейиб', 1]
['ненкъвейиб', 1]
['гьидявъу', 1]
['ыхьайнне', 1]
['окiне', 1]
['гьидявуйни', 1]
['оiлчи', 1]
['илдеитiыйнбишеб', 1]
['къутарды', 1]
['йигони', 1]
['фирманыс', 1]
['ыiхе', 1]
['цiыцiеъээ', 1]
['фирманыле', 1]
['цiыцiау', 1]
['хъооли', 1]
['хъивхъена', 1]
['васхъа', 1]
['марахукани', 1]
['хабарбишиква', 1]
['къаравулерше', 1]
['вассахъа', 1]
['къайикеджин', 1]
['утiумни', 1]
['дюгулявъу', 1]
['хан-сарайехъа', 1]
['сийкiал', 1]
['хабарыкване', 1]
['фирманоб', 1]
['быкiыр', 1]
['гьидеаъа', 1]
['хъидёвуна', 1]
['быкырааъа', 1]
['тiабалеъэ', 1]
['хъале', 1]
['гадейсахъа', 1]
['хъевледжен', 1]
['къацiаакiванас', 1]
['ваiшбишикван', 1]
['гьаъанбы', 1]
['хъавалес', 1]
['хъобтiул', 1]
['хъабыме', 1]
['маiгьаммадыке', 1]
['няхьа', 1]
['аллагье', 1]
['къае', 1]
['авайкынкъус', 1]
['гьевлесдава', 1]
['хъыгьавгьу', 1]
['аiппазыйиб', 1]
['хъигъевчiу', 1]
['гьидяуна', 1]
['цiеррийна', 1]
['е', 1]
['пылна', 1]
['ейид', 1]
['къацiаакiванасда', 1]
['зале', 1]
['масхараалла', 1]
['гьааъасне', 1]
['хылийна', 1]
['вухьена', 1]
['гиваханас', 1]
['ахаi', 1]
['гивхьуна', 1]
['шагьарейни', 1]
['инсанаршисахъа', 1]
['ыхьей', 1]
['манбишикiле', 1]
['ацiахьесын', 1]
['энки', 1]
['аiкiаликвана', 1]
['хъувой', 1]
['атар', 1]
['хъидёве', 1]
['гьеххена', 1]
['аазырыб', 1]
['гихьас', 1]
['дагъамни', 1]
['вазиятейхъа', 1]
['гирхьу', 1]
['алятiе', 1]
['гьийгъанче', 1]
['ратхье', 1]
['фирманбы', 1]
['гозет', 1]
['нишисде', 1]
['алгьааiе', 1]
['ахас', 1]
['гьидявъуна', 1]
['вудже', 1]
['къавкуна', 1]
['гьавъуйнчини', 1]
['няъасне', 1]
['хъидеву', 1]
['наiхубне', 1]
['хiевле', 1]
['манкъусахъа', 1]
['вухьес', 1]
['вазирыкеб', 1]
['алябтiы', 1]
['дюгулявъуни', 1]
['джигэйхъа', 1]
['аттамышхьа', 1]
['манчер', 1]
['аiгьмадысахъа', 1]
['авхъу', 1]
['къедженки', 1]
['шина', 1]
['айирхьу', 1]
['езне', 1]
['манзил', 1]
['гьееъэ', 1]
['наiхубна', 1]
['фирмане', 1]
['магьаiтталхьа', 1]
['йигьни', 1]
['каллейл', 1]
['кiятiуйн', 1]
['водонне', 1]
['маiгьаммеде', 1]
['нишисынне', 1]
['хъодкуда', 1]
['меед', 1]
['такрар', 1]
['манчике', 1]
['кiядкiынийнбишике', 1]
['налокiбы', 1]
['саъанане', 1]
['хъидгiан', 1]
['гьаiкiера', 1]
['цiеббийна', 1]
['гьавгу', 1]
['зарафатбы', 1]
['баштахьа', 1]
['дихав', 1]
['аiзизна', 1]
['наiхудни', 1]
['заiгьматыка', 1]
['дайей', 1]
['гыней', 1]
['къазанмыш', 1]
['вакiледжад', 1]
['аiгьмадне', 1]
['гьаiмдилхъаме', 1]
['огъанче', 1]
['гьам', 1]
['гьамыд', 1]
['хьоiбъэсда', 1]
['илейкеле', 1]
['чоджее', 1]
['зах', 1]
['гьиджоое', 1]
['хьунащен', 1]
['зуiгьране', 1]
['мыцiа', 1]
['джукiле', 1]
['цiедданийхан', 1]
['къийхьи', 1]
['манкъын', 1]
['махуiдхьей', 1]
['хъейибъэсда', 1]
['чараа', 1]
['вуккэйс', 1]
['гьувайнчиле', 1]
['ваа', 1]
['гьале', 1]
['аiмалеб', 1]
['вобде', 1]
['вухьай', 1]
['дешхьей', 1]
['ёкьубъэсда', 1]
['22', 1]
['фирманне', 1]
['одкiунинбы', 1]
['субутхьайле', 1]
['геще', 1]
['раiгьымдешда', 1]
['мишлешелийне', 1]
['масхараъас', 1]
['вагь', 1]
['мишлешгъанченане', 1]
['хъийгiанан', 1]
['манн', 1]
['хьойибъэсда', 1]
['гара', 1]
['гикiасне', 1]
['хъувее', 1]
['къитiокiалас', 1]
['23', 1]
['махiуiдхье', 1]
['гьидявъуйхъа', 1]
['фирманн', 1]
['субумхьайле', 1]
['хъийгьа', 1]
['титрамишаъани', 1]
['хылеббишиква', 1]
['гехьан', 1]
['хъады', 1]
['сабабыхъа', 1]
['гьаiбхы', 1]
['гьавъуйхъа', 1]
['тасдыкь', 1]
['24', 1]
['хъаiбхъе', 1]
['манатыб', 1]
['увгьос', 1]
['гьауна', 1]
['къаджына', 1]
['пылыд', 1]
['хъувайн', 1]
['кьитiмирийвалисин', 1]
['дарс', 1]
['зуiгьрее', 1]
['ахъаiна', 1]
['гьау61', 1]
['гьаiкiейна', 1]
['мехв', 1]
['эхье-дехье', 1]
['кiылיна', 1]
['касибаршина', 1]
['декий', 1]
['чакба', 1]
['гьабтiу', 1]
['йигiни', 1]
['ешеэ', 1]
['етилуга', 1]
['ахву', 1]
['доламишхьесди', 1]
['дерден', 1]
['манкьве', 1]
['варыбишие', 1]
['пешекарийвалла', 1]
['дагъамын', 1]
['хаджалатыкан', 1]
['кефденан', 1]
['текын', 1]
['мыссра', 1]
['мыкiара', 1]
['алгъавгьу', 1]
['йицiыдле', 1]
['йицiухьвад', 1]
['сенна', 1]
['сенбишди', 1]
['арайлי', 1]
['гьидчiуд', 1]
['къазанмиш', 1]
['манкъухъар', 1]
['тек', 1]
['арабирра', 1]
['мананий', 1]
['дерд', 1]
['йишон', 1]
['арайлги', 1]
['арийнкъаi', 1]
['хъигiан', 1]
['сенне', 1]
['эйсийс', 1]
['ишлемишехьен', 1]
['басхынбыне', 1]
