['буго', 376]
['гiадамазул', 15]
['гьаниб', 15]
['бихьизе', 15]
['лъалел', 15]
['лъаларо', 15]
['рос', 15]
['бугев', 15]
['хiалтiи', 14]
['чiаго', 14]
['хадур', 14]
['кiодо', 14]
['гiащикъ', 14]
['чанги', 14]
['росулъа', 14]
['тiоцебе', 14]
['заманаялда', 14]
['соназда', 14]
['къисмат', 14]
['кинаб', 14]
['мугiрузда', 14]
['махщел', 14]
['щибго', 14]
['гiараб', 14]
['валагьун', 14]
['цiализе', 14]
['дой', 14]
['гьенир', 14]
['магiна', 14]
['ракь', 14]
['рукъ', 14]
['рекiелъ', 14]
['хiакъикъат', 14]
['хирияй', 14]
['муиде', 14]
['нажмудин', 14]
['кьураб', 14]
['инсан', 14]
['авар', 13]
['унел', 13]
['вуссун', 13]
['чияс', 13]
['цiарги', 13]
['бицуна', 13]
['мацiалда', 13]
['соналда', 13]
['гiоло', 13]
['сверухъ', 13]
['лъай', 13]
['тана', 13]
['гьалбал', 13]
['ахiулев', 13]
['бекьилъе', 13]
['базе', 13]
['бищун', 13]
['гiаламалъе', 13]
['аваразул', 13]
['кiиябго', 13]
['рачiарал', 13]
['чан', 13]
['ячун', 13]
['ракiалда', 13]
['жиндиего', 13]
['чiезе', 13]
['гьав', 13]
['къадар', 13]
['къаси', 13]
['сверун', 13]
['къабул', 13]
['хiасрат', 13]
['бачiана', 13]
['кагъат', 13]
['хъахiабросулъев', 13]
['тiолабго', 12]
['халкъалъе', 12]
['рагъул', 12]
['гъоркье', 12]
['гiадамаз', 12]
['гьоркьор', 12]
['хъахiабросдал', 12]
['чiужугiадан', 12]
['рахъалъ', 12]
['бугел', 12]
['жинца', 12]
['кьезе', 12]
['къватiиве', 12]
['нур', 12]
['хадубги', 12]
['каранда', 12]
['алжан', 12]
['те', 12]
['кочiохъан', 12]
['бахъана', 12]
['тiамун', 12]
['цоял', 12]
['ракьанда', 12]
['йикiарай', 12]
['хабаде', 12]
['жамилат', 12]
['бицунаан', 12]
['букiаниги', 12]
['лъалев', 12]
['калам', 12]
['кодобе', 12]
['гьудулги', 12]
['ахiана', 12]
['бакiалде', 12]
['киданиги', 12]
['гьебго', 12]
['бетiер', 12]
['къайис', 12]
['берцинлъи', 12]
['нахъеги', 12]
['замана', 12]
['рухi', 12]
['вукiанила', 12]
['ай', 12]
['рокъов', 12]
['тiехьалда', 11]
['мугiрузул', 11]
['гьечiев', 11]
['хъахiабросу', 11]
['бараб', 11]
['рагiун', 11]
['цiунун', 11]
['махiач', 11]
['хiоцоса', 11]
['гьабичiого', 11]
['нахъа', 11]
['мина', 11]
['арав', 11]
['гiадамазда', 11]
['ани', 11]
['махiмудилги', 11]
['эмен', 11]
['вачiунев', 11]
['цояб', 11]
['цере', 11]
['бачiараб', 11]
['ккани', 11]
['нилъ', 11]
['чиясе', 11]
['жанив', 11]
['гъоркь', 11]
['лъикiал', 11]
['хъвазе', 11]
['ракьалде', 11]
['букiунеб', 11]
['жинцаго', 11]
['гiарцул', 11]
['гiураб', 11]
['жиб', 11]
['игьалиса', 11]
['лъимер', 11]
['гьоболас', 11]
['рокьиги', 11]
['унго', 11]
['хал', 11]
['батiиял', 11]
['огь', 11]
['батани', 11]
['мунагьал', 11]
['гамачi', 11]
['гьечiин', 11]
['досул', 11]
['цiун', 11]
['бухiи', 11]
['ясал', 11]
['махiмудиде', 11]
['сипат', 11]
['тiолго', 11]
['гiолохъаби', 11]
['абунила', 11]
['муида', 11]
['лъимал', 11]
['букiанила', 11]
['нужер', 11]
['машгьурав', 10]
['поэзия', 10]
['кучiдузулъ', 10]
['мурад', 10]
['къоял', 10]
['гьенив', 10]
['ватiан', 10]
['лъим', 10]
['хiасратал', 10]
['батизе', 10]
['аслияб', 10]
['магiишат', 10]
['дол', 10]
['тiоцебесеб', 10]
['къватiире', 10]
['асар', 10]
['хабада', 10]
['байбихьана', 10]
['соназ', 10]
['гьарулел', 10]
['гьунарги', 10]
['чiвараб', 10]
['магiу', 10]
['кеп', 10]
['гiенеккун', 10]
['битiун', 10]
['тiокiаб', 10]
['унев', 10]
['сапар', 10]
['гьитiинабго', 10]
['кiвечiо', 10]
['дирго', 10]
['асараз', 10]
['гъваридаб', 10]
['гьайбатаб', 10]
['берцинал', 10]
['къадал', 10]
['хасго', 10]
['хирияв', 10]
['цiадаса', 10]
['гьудуллъи', 10]
['къулун', 10]
['гьанив', 10]
['гiумруги', 10]
['йокьулейги', 10]
['гьебги', 10]
['бахъулеб', 10]
['сагiид', 10]
['бахъизе', 10]
['баркала', 10]
['гьезие', 10]
['хiатта', 10]
['асаразул', 10]
['жийго', 10]
['босизе', 10]
['тiасан', 10]
['биччан', 10]
['йикiун', 10]
['хъахiаб', 10]
['лъикiав', 10]
['щварав', 10]
['сас', 10]
['бугониги', 10]
['дуниял', 10]
['гiодор', 10]
['имам', 10]
['цин', 10]
['чiужугiаданалъул', 10]
['гьабичiо', 10]
['инсуца', 10]
['лъабго', 10]
['ан', 10]
['чиясул', 10]
['бачiун', 10]
['рехун', 10]
['гьоболлъухъ', 10]
['тараб', 9]
['цiикiкiун', 9]
['босулеб', 9]
['абулев', 9]
['ккураб', 9]
['махi', 9]
['хъахiабросдерил', 9]
['ражаб', 9]
['махiачил', 9]
['гiицiго', 9]
['лъугьа', 9]
['рагьун', 9]
['батiи-батiиял', 9]
['хiалтiизе', 9]
['тiахьал', 9]
['вукiаниги', 9]
['абулаан', 9]
['мехалда', 9]
['поэтас', 9]
['баян', 9]
['вачiана', 9]
['нилъеца', 9]
['рукiунаан', 9]
['жидер', 9]
['вугеб', 9]
['сордо', 9]
['кiалъана', 9]
['лъезе', 9]
['гьеле', 9]
['кочiолъ', 9]
['гьабулев', 9]
['дагьаб', 9]
['хъвалел', 9]
['киназего', 9]
['рукiине', 9]
['къотiнов', 9]
['салам', 9]
['цiалана', 9]
['бугоан', 9]
['кьер', 9]
['рокъоб', 9]
['аскiове', 9]
['бихьулеб', 9]
['захiматаб', 9]
['хварав', 9]
['гiезегiанго', 9]
['бер', 9]
['рагiана', 9]
['бихьун', 9]
['гiумруялда', 9]
['загьир', 9]
['кьурул', 9]
['шигiраби', 9]
['тiогьол', 9]
['хiасратаб', 9]
['кквезе', 9]
['хiасраталъ', 9]
['тезе', 9]
['кверги', 9]
['гурин', 9]
['хъизан', 9]
['рачiунел', 9]
['эбелалъул', 9]
['инсул', 9]
['гьереси', 9]
['чиясда', 9]
['гiолохъабаз', 9]
['рукъалъул', 9]
['вахъана', 9]
['рагъида', 9]
['жиндаго', 9]
['хiажат', 9]
['аскiов', 9]
['вахъун', 9]
['хабалъ', 9]
['анцiила', 9]
['борхалъуде', 9]
['речiчiун', 9]
['инсанасул', 9]
['къеркьана', 9]
['гьас', 9]
['чара', 9]
['гьарана', 9]
['бугила', 9]
['рикiкiине', 9]
['руччаби', 9]
['хвана', 9]
['гьениса', 9]
['гурищ', 9]
['дос', 9]
['гiодой', 9]
['сонал', 8]
['асаралги', 8]
['вукiин', 8]
['н', 8]
['мурадалде', 8]
['гiемерисел', 8]
['ккезе', 8]
['гiодобе', 8]
['къасидатал', 8]
['гьабулел', 8]
['адабияталъул', 8]
['некiсияб', 8]
['гъорлъе', 8]
['заманги', 8]
['кiолеб', 8]
['хутiичiо', 8]
['бахъараб', 8]
['чияр', 8]
['гiурус', 8]
['хъулухъ', 8]
['памятник', 8]
['ругилан', 8]
['рахъун', 8]
['нугiлъи', 8]
['бицен', 8]
['гьениве', 8]
['гьесде', 8]
['толеб', 8]
['кочiое', 8]
['сордоялъ', 8]
['вахун', 8]
['карпаталъул', 8]
['рокъоса', 8]
['гiащикъаб', 8]
['дуего', 8]
['кье', 8]
['тiехьалдаса', 8]
['бухiун', 8]
['хунзахъ', 8]
['гьавураб', 8]
['вихьана', 8]
['чiварав', 8]
['рахъалде', 8]
['чiола', 8]
['цоцаде', 8]
['релълъараб', 8]
['гьединлъидал', 8]
['вокьулев', 8]
['тiубараб', 8]
['арал', 8]
['гiагараб', 8]
['нах', 8]
['тарал', 8]
['лъикiго', 8]
['лъана', 8]
['кьола', 8]
['мухъ', 8]
['рагiабазул', 8]
['батiи', 8]
['ккечiо', 8]
['къуват', 8]
['течiо', 8]
['бертин', 8]
['рекъараб', 8]
['цоцазе', 8]
['росабалъ', 8]
['ккарав', 8]
['хирияб', 8]
['жал', 8]
['газеталдаса', 8]
['ралагьун', 8]
['махiмудихъ', 8]
['пандур', 8]
['хвезе', 8]
['кьурулъ', 8]
['халкъалъ', 8]
['цiунарал', 8]
['кьалул', 8]
['балаялъ', 8]
['бокьарав', 8]
['босе', 8]
['росасе', 8]
['вачун', 8]
['росабалъе', 8]
['чiвана', 8]
['гьалда', 8]
['бихьула', 8]
['тiоцересел', 8]
['щуго', 8]
['хiукму', 8]
['къвал', 8]
['чiвазе', 8]
['халкъалъул', 7]
['хiаракат', 7]
['росун', 7]
['тихоновас', 7]
['гьайбатал', 7]
['къисматалъул', 7]
['ккарал', 7]
['хутiизе', 7]
['лъугьараб', 7]
['таманал', 7]
['дагъистаналда', 7]
['щвечiеб', 7]
['гьединал', 7]
['пикраби', 7]
['гiадамалги', 7]
['кьучi', 7]
['цiунизе', 7]
['тiабигiат', 7]
['кавказалъул', 7]
['рагъда', 7]
['гiарац', 7]
['керенги', 7]
['хiалтiулев', 7]
['байбихьуда', 7]
['бечелъи', 7]
['цогидалги', 7]
['берцин', 7]
['тiамуна', 7]
['мухiамадил', 7]
['гiагарав', 7]
['нижеда', 7]
['муилги', 7]
['районалъул', 7]
['чиги', 7]
['сихi', 7]
['рукiин', 7]
['мустахiикъав', 7]
['хiурмат', 7]
['ахир', 7]
['ансадерил', 7]
['канлъи', 7]
['метер', 7]
['ячiана', 7]
['ясалъул', 7]
['абурал', 7]
['гьоболасул', 7]
['гiадамазе', 7]
['гьадинаб', 7]
['нусго', 7]
['хасаб', 7]
['борхатаб', 7]
['гьанир', 7]
['бичiчiизе', 7]
['щола', 7]
['нухдасан', 7]
['асаразе', 7]
['рагiабаз', 7]
['рахъал', 7]
['рокьуца', 7]
['хвараб', 7]
['вукiанилан', 7]
['хиял', 7]
['анасил', 7]
['соналъул', 7]
['унаан', 7]
['гiадада', 7]
['дунго', 7]
['урхъараб', 7]
['тiокiалъ', 7]
['рикiкiуна', 7]
['гьунаралъул', 7]
['босана', 7]
['бакъ', 7]
['дибирлъун', 7]
['бугей', 7]
['вачiине', 7]
['суал', 7]
['чiанкiаца', 7]
['къараб', 7]
['гiазизовас', 7]
['алжаналда', 7]
['цiалун', 7]
['кантiизе', 7]
['кицилъун', 7]
['дирги', 7]
['гiищкъуялъул', 7]
['жий', 7]
['сипатал', 7]
['гiор', 7]
['магiарулай', 7]
['эбелги', 7]
['вац', 7]
['васас', 7]
['кватiичiого', 7]
['махiмудихъе', 7]
['хириял', 7]
['кiутiун', 7]
['цiатiанихъа', 7]
['сабаб', 7]
['ракьул', 7]
['нахъисеб', 7]
['игьелдерил', 7]
['кваназе', 7]
['кiвар', 7]
['балъголъи', 7]
['чiезабизе', 7]
['унго-унгояв', 7]
['тiагъур', 7]
['бихьинчи', 7]
['духъ', 7]
['гьан', 7]
['рухiги', 7]
['нуж', 7]
['нужеда', 7]
['барав', 7]
['адабият', 7]
['ратизе', 7]
['ран', 7]
['тiагiун', 7]
['кочiохъанасул', 7]
['дуй', 7]
['мухъал', 7]
['лъуна', 7]
['дагiба', 7]
['кьодул', 7]
['сабаблъун', 7]
['ахiи', 7]
['чiалгiун', 7]
['къваридаб', 7]
['бицараб', 7]
['расул', 7]
['ракiал', 7]
['гiашилтiе', 7]
['рохел', 7]
['цiех-рех', 7]
['бихьана', 7]
['цiехана', 7]
['ясги', 7]
['вугила', 7]
['байрахъ', 7]
['гiин', 7]
['лъалкi', 7]
['бахчун', 7]
['балъго', 7]
['къватiибе', 7]
['халкъ', 7]
['батана', 7]
['дунялалда', 7]
['полкалде', 7]
['шейхмухiамадица', 7]
['гiезегiан', 6]
['гуребги', 6]
['рахъарал', 6]
['рехсон', 6]
['гъоб', 6]
['данделъизе', 6]
['хисун', 6]
['пайда', 6]
['бербалагьи', 6]
['гьавуна', 6]
['аскiоб', 6]
['бацiцiадаб', 6]
['рагiулеб', 6]
['магiарухъ', 6]
['битiараб', 6]
['ругеб', 6]
['кагътиде', 6]
['чучун', 6]
['рахъ', 6]
['нажмудинил', 6]
['рагiарав', 6]
['магiарулазе', 6]
['бичiчiулеб', 6]
['ахiулел', 6]
['тiоцевесев', 6]
['щвезегiан', 6]
['гiумар', 6]
['хiасан', 6]
['гiелмабазул', 6]
['хвезегiан', 6]
['хiалхьи', 6]
['муица', 6]
['гiадат', 6]
['чiолев', 6]
['тiадеги', 6]
['макьу', 6]
['чiолеб', 6]
['чвахулеб', 6]
['цо-кiиго', 6]
['чiвала', 6]
['пана', 6]
['рачiуна', 6]
['гулла', 6]
['хутiараб', 6]
['балагье', 6]
['жибго', 6]
['росаби', 6]
['мухiамадги', 6]
['вукiине', 6]
['кинан', 6]
['пасихiал', 6]
['букiинчiеб', 6]
['цiал', 6]
['жанисан', 6]
['рекiелъе', 6]
['тiадехун', 6]
['гьединго', 6]
['гьабуни', 6]
['берцинго', 6]
['хiакъикъаталда', 6]
['балагьизе', 6]
['рукъги', 6]
['кьоги', 6]
['литератураялъул', 6]
['гiун', 6]
['къайисил', 6]
['бухiулеб', 6]
['рогьалил', 6]
['хiакъаб', 6]
['асир', 6]
['магiил', 6]
['бухiараб', 6]
['багiараб', 6]
['макъала', 6]
['жугьаби', 6]
['рекiехъе', 6]
['вачiуна', 6]
['гьобол', 6]
['мухiамадов', 6]
['къотiи', 6]
['цiорон', 6]
['мустахiикъаб', 6]
['хасият', 6]
['муихъ', 6]
['бицаде', 6]
['гьагав', 6]
['бакъул', 6]
['духъе', 6]
['гьелде', 6]
['мехалъги', 6]
['черх', 6]
['гiадатияб', 6]
['чiугiлиса', 6]
['жаниве', 6]
['чiахiиял', 6]
['кколаан', 6]
['гьай', 6]
['къисаби', 6]
['бергьараб', 6]
['гiашура', 6]
['нухда', 6]
['кагъатги', 6]
['дибирлъи', 6]
['букiанин', 6]
['букiунаан', 6]
['вахъине', 6]
['тiагiана', 6]
['ургъел', 6]
['батагъалде', 6]
['бокьилаан', 6]
['гьаракьги', 6]
['аллагьас', 6]
['букiарабани', 6]
['гiакълу', 6]
['камилаб', 6]
['цiер', 6]
['гьаруна', 6]
['макьилъ', 6]
['рокъор', 6]
['кив', 6]
['гьоркьов', 6]
['имамас', 6]
['рахъана', 6]
['гьасул', 6]
['гьве', 6]
['квералъ', 6]
['киназулго', 6]
['эхетун', 6]
['гiодове', 6]
['цониги', 6]
['гiенеккизе', 6]
['къасд', 6]
['хер', 6]
['гьечiолъи', 6]
['лъугьарав', 6]
['ццин', 6]
['бегiераб', 6]
['сариназул', 6]
['квербакъи', 6]
['сарин', 6]
['суратал', 6]
['букiуна', 6]
['лъачiого', 6]
['рекiеда', 6]
['цiаялъ', 6]
['гьелъин', 6]
['сакги', 6]
['кодоб', 6]
['ячiун', 6]
['витiун', 6]
['каранзул', 6]
['гьебмехалъ', 6]
['тiалъи', 6]
['нилъерго', 6]
['гьари', 6]
['росабалъа', 6]
['ватани', 6]
['чiараб', 6]
['къойил', 6]
['жоги', 6]
['гьавулев', 6]
['цояв', 6]
['цоцада', 6]
['бутiа', 6]
['гiодоб', 6]
['нилъее', 6]
['пикруялда', 6]
['чiанкiал', 6]
['цiехон', 6]
['къваригiун', 6]
['нижги', 6]
['гiечiеб', 6]
['гiадатаб', 6]
['къаде', 6]
['рукiанила', 6]
['рокьуй', 6]
['патiи', 6]
['балайдул', 6]
['даимаб', 6]
['тiадегiанал', 5]
['биценал', 5]
['ратила', 5]
['заманалъул', 5]
['тiубазе', 5]
['шигiрияб', 5]
['цоцазде', 5]
['нус', 5]
['тiатiала', 5]
['жакъаги', 5]
['хъахiабросдерица', 5]
['гiатiидал', 5]
['абулаанила', 5]
['гохi', 5]
['рахъалда', 5]
['батулеб', 5]
['дунялалъул', 5]
['гьенире', 5]
['къавулъ', 5]
['батаниги', 5]
['махiмудицаги', 5]
['кколел', 5]
['а', 5]
['рагьана', 5]
['анагiан', 5]
['лъаларел', 5]
['масала', 5]
['жакъасеб', 5]
['республикаялъул', 5]
['гьавуралдаса', 5]
['ккарай', 5]
['щварал', 5]
['исупхiажияв', 5]
['къан', 5]
['руччабаз', 5]
['гьезухъ', 5]
['аскiор', 5]
['гьесухъа', 5]
['гьадинал', 5]
['адаб', 5]
['лъиего', 5]
['бокьулеб', 5]
['хiасанил', 5]
['бицунел', 5]
['моцi', 5]
['гьури', 5]
['кiал', 5]
['анцiго', 5]
['йигилан', 5]
['абулей', 5]
['берцинай', 5]
['бичун', 5]
['хъамун', 5]
['магьари', 5]
['речiчiана', 5]
['гiажаибаб', 5]
['гьавурав', 5]
['хьвадун', 5]
['кiоларо', 5]
['рещтiун', 5]
['лъурав', 5]
['бицанихъе', 5]
['кьабун', 5]
['мисал', 5]
['щолеб', 5]
['гiинда', 5]
['чiегiераб', 5]
['кочiохъабаз', 5]
['цiорол', 5]
['гьадигiан', 5]
['гьоркьоса', 5]
['рехсарал', 5]
['гьайбатай', 5]
['тiибитiун', 5]
['гурев', 5]
['магiарулав', 5]
['тiабигiиял', 5]
['къоно', 5]
['хъирул', 5]
['бухьараб', 5]
['чiегiер', 5]
['рагьулеб', 5]
['жалго', 5]
['хехго', 5]
['кучiдуз', 5]
['хiамзатил', 5]
['гiагарай', 5]
['хвананиги', 5]
['ракьулъ', 5]
['бачiина', 5]
['пагьму', 5]
['къисматги', 5]
['гьечiилан', 5]
['васасе', 5]
['бокьараб', 5]
['чiанкiа', 5]
['васасул', 5]
['как', 5]
['сайгъат', 5]
['филологиял', 5]
['учитель', 5]
['хiамзатица', 5]
['гьарула', 5]
['балъголъаби', 5]
['щущан', 5]
['гiакълуги', 5]
['щибниги', 5]
['лъарал', 5]
['хiисаб', 5]
['гьединги', 5]
['цiаралда', 5]
['балайги', 5]
['гьабуразе', 5]
['дунгоги', 5]
['ратула', 5]
['кагiба', 5]
['цiалулеб', 5]
['йокьулелъул', 5]
['си', 5]
['инчiого', 5]
['таваккал', 5]
['цiурал', 5]
['батараб', 5]
['дагьабго', 5]
['берзул', 5]
['чорхол', 5]
['хъандулалъул', 5]
['хабарги', 5]
['йокьарай', 5]
['йигей', 5]
['рокъоре', 5]
['хiадур', 5]
['лъаларев', 5]
['лъагiел', 5]
['рази', 5]
['хiасанханил', 5]
['гьабулаан', 5]
['рокъое', 5]
['хiинкъун', 5]
['гьесги', 5]
['рагiабиги', 5]
['буго…', 5]
['чiужуги', 5]
['бортун', 5]
['беролеб', 5]
['бецiаб', 5]
['цiан', 5]
['игьалиб', 5]
['магьдилас', 5]
['гьаюн', 5]
['аллагьасул', 5]
['мацiалъул', 5]
['щибдай', 5]
['рагъиде', 5]
['валагьана', 5]
['нажмудинида', 5]
['ботiрода', 5]
['рогьо', 5]
['чiарал', 5]
['тамихi', 5]
['кинал', 5]
['щибав', 5]
['вуссана', 5]
['чу', 5]
['камилав', 5]
['магiаруласул', 5]
['цiва', 5]
['цiодорав', 5]
['ккаразул', 5]
['цiиял', 5]
['нухал', 5]
['хур', 5]
['хабаралъ', 5]
['цiунана', 5]
['рекiараб', 5]
['рецц', 5]
['якъинго', 5]
['битi', 5]
['къватiахъ', 5]
['хинкiал', 5]
['аб', 5]
['холев', 5]
['вугониги', 5]
['машгьураб', 5]
['лага', 5]
['чiвачiо', 5]
['кьалда', 5]
['вукiанин', 5]
['хiасраталъул', 5]
['рекiун', 5]
['толаро', 5]
['унти', 5]
['лъугьуна', 5]
['мех', 5]
['гьитiинав', 5]
['къоло', 5]
['нахъасан', 5]
['ахiулаан', 5]
['ругила', 5]
['цояс', 5]
['гьевги', 5]
['бакъан', 5]
['гьаваялда', 5]
['ракiалъ', 5]
['район', 5]
['жиндица', 5]
['къадру', 5]
['боркьараб', 5]
['жиндие', 5]
['жигар', 5]
['суалазе', 5]
['кьолел', 5]
['лъалареб', 5]
['юсуповалъ', 5]
['тарбия', 5]
['сверизе', 5]
['гiи', 5]
['гьц', 5]
['гiанса', 5]
['дурго', 5]
['гiадинаб', 5]
['хутiарал', 5]
['яхi', 5]
['намус', 5]
['къоялдаса', 5]
['рагiиги', 5]
['тола', 5]
['мадугьалихъ', 5]
['гизма', 5]
['хисизабизе', 5]
['гьездаса', 5]
['гiищкъудул', 5]
['чiваби', 5]
['гьелъухъ', 5]
['васги', 5]
['яц', 5]
['тiубан', 5]
['ячине', 5]
['сунареб', 5]
['чирахъ', 5]
['чучизе', 5]
['кiалъазе', 5]
['къватiиб', 5]
['рагiалда', 5]
['лъил', 5]
['щив', 5]
['гьечiила', 5]
['живги', 5]
['рагъде', 5]
['рагiараб', 5]
['болъодухъа', 5]
['унтарай', 5]
['шейхмухiамад', 5]
['гiуруца', 5]
['хiажиясул', 5]
['харил', 5]
['рагьизе', 5]
['хъурайсин', 5]
['ругониги', 4]
['творчество', 4]
['борхалъиялде', 4]
['гiурусазул', 4]
['заманалъ', 4]
['творчествоялда', 4]
['пикрабазул', 4]
['гьундул', 4]
['рикiкiад', 4]
['даражаялда', 4]
