["hic'ile", 5420]
['ʡapa', 226]
['dirq', 225]
['hararka', 220]
["barq'ab", 220]
['urχe', 216]
['itsːaħ', 215]
['wa̰ħ', 214]
['dura', 212]
['cini', 211]
["bat'arze", 210]
['ʡa̰χːze', 208]
["uk'ud", 208]
['har', 206]
['di', 204]
['il', 204]
['wot', 203]
['dučːe', 200]
["q'aj", 198]
['rurχe', 197]
["bat'arre", 197]
["čak'al", 196]
['zil', 195]
['laˤma', 194]
['hejze', 193]
['aha', 193]
['cun', 193]
['χajle', 192]
['uč', 190]
["uk'le", 185]
["buk'le", 185]
['babajle', 184]
['daže', 184]
['ruχuble', 183]
['niš', 183]
['nisːi', 183]
['wallah', 182]
['cili', 181]
['halize', 181]
['ucːe', 180]
['hari', 179]
['koroče', 179]
['cajna', 178]
['buze', 176]
['darq', 175]
['duχuble', 175]
['rurχuble', 175]
['iχ', 173]
['taman', 173]
["nik'ale", 172]
["cik'arra", 170]
['insan', 169]
["birq'le", 169]
['q', 167]
['agursːaħ', 166]
['bahna', 160]
['sabaħ', 157]
['ʡa̰χːle', 156]
['wobše', 156]
['uχuble', 156]
['χːʷala', 155]
["wec'nu", 154]
['šila', 152]
['kuble', 150]
["nik'el", 149]
['aʁʷal', 148]
["wač'ible", 147]
["jebč'ible", 147]
['maħmad', 147]
['galira', 146]
['argle', 146]
["bač'ible", 146]
['daˤčːu', 145]
['laˤsːaħ', 145]
["birq'ande", 144]
['arc', 142]
['χabar', 142]
['rucːe', 142]
['burχle', 142]
['datːila', 138]
["nik'akne", 137]
["rebč'ib", 137]
['rusːbe', 136]
['itːad', 135]
['xujal', 134]
["ruk'le", 133]
["č'ʷarra", 133]
['šːila', 133]
["barq'ib", 132]
['cunze', 131]
['cej', 131]
['burχar', 129]
['cibar', 129]
["k'ʷari", 129]
["bač'ib", 128]
['ru', 128]
["šiq'an", 128]
['χaˤmarka', 127]
['qalbe', 126]
["wač'ib", 125]
["buk'anze", 123]
['ili', 123]
['ʁa̰be', 123]
['cila', 122]
["rarq'ible", 122]
["jebč'ib", 122]
['buχile', 122]
['ruχː', 120]
['haman', 120]
['itra', 120]
['iltːe', 120]
['qale', 119]
["šik'al", 119]
['igila', 119]
['burχande', 119]
['cːade', 119]
['qːare', 118]
['xːarri', 118]
['šin', 117]
['zazaj', 117]
['ačːu', 115]
["kalak'al", 114]
['daxade', 114]
['bahla', 113]
['barxːle', 112]
['cine', 112]
["dirq'ande", 112]
["ucːiq'ar", 111]
['xadile', 111]
['kub', 110]
['maxtawli', 110]
['xadira', 109]
['χabare', 109]
['baqible', 109]
["dirq'le", 109]
['buč', 108]
['nušːala', 108]
['bikːle', 108]
['itar', 108]
["datːiq'ar", 107]
['iga', 105]
['ʡale', 105]
['cejna', 105]
['zazajla', 105]
['cice', 104]
['χaˤmajtːe', 104]
['buhar', 103]
["rač'ible", 102]
['care', 102]
['baʡan', 102]
['χažat', 102]
['duze', 101]
['buj', 101]
['ruč', 101]
['cere', 101]
['dil', 99]
['bikːande', 99]
['deble', 98]
['dujna', 98]
['duχub', 98]
['laˤce', 98]
['nig', 97]
['birq', 97]
['c', 97]
['samatːe', 97]
['alaw', 97]
["k'aˤtːe", 97]
['buχubze', 97]
['taˤsːaħ', 96]
['iχe', 96]
['a̰', 96]
['zu', 95]
["ruq'ijat", 95]
['nala', 95]
['zazajle', 95]
['qːṵčː', 94]
['tože', 94]
['nušːa', 93]
['masala', 92]
['a̰nar', 92]
['χːʷalle', 91]
["k'aˤmarka", 90]
['itːaj', 90]
['cira', 90]
['galla', 90]
["q'ʷa̰", 90]
['waˤkːu', 89]
['buχar', 89]
['bursi', 89]
['ʡasan', 89]
['budi', 89]
["q'ʷa̰l", 88]
['daqible', 88]
['dawʡali', 88]
['bičːible', 87]
['čuj', 87]
["datːiq'arra", 87]
['iχila', 87]
['ʡurus', 87]
['bijal', 86]
['macːala', 86]
['armijali', 86]
['sibtːa', 86]
['bilakːu', 85]
['allah', 85]
['iχtːe', 85]
['baxande', 85]
['datːili', 84]
['waˤdijal', 83]
['šːala', 83]
['xadila', 83]
["q'ʷala", 83]
['luqle', 83]
['rusːira', 82]
['čum', 82]
['nik', 81]
["barq'ibda", 81]
['wajze', 80]
['ci', 80]
['da̰wʡila', 80]
['datːile', 80]
['wa̰ral', 80]
['no', 80]
["rač'ib", 80]
['cile', 79]
['jaˤce', 79]
['bukana', 79]
['durχle', 79]
['tudasʲuda', 79]
['admiqale', 79]
["rebč'ible", 79]
['qːarqːa', 79]
['ige', 78]
['ʁuršal', 78]
['taˤmarka', 78]
['ħa̰sːe', 78]
["rucːiq'ar", 78]
['ʡare', 78]
['kalazil', 78]
["ʁalat'", 78]
['rekːal', 78]
["nuq'un", 78]
['sirawnu', 78]
['iχtːu', 77]
['igi', 77]
['ʡa̰kne', 77]
['qːuža', 77]
['tak', 77]
['durχande', 75]
['tolʲko', 75]
['ʡumar', 75]
['rusːila', 74]
["bebč'ib", 74]
['buχːuj', 74]
['durχade', 74]
['nišle', 73]
['duχubze', 73]
['dičːible', 73]
['cibuχarra', 73]
['ši', 73]
['ʡa̰šːe', 73]
['taˤmajtːe', 73]
['malla', 73]
['elgun', 72]
['aˤburχar', 72]
['tːura', 72]
['waxle', 72]
['šːe', 72]
['aˤdurχe', 72]
['aˤtː', 72]
['kːarcːe', 71]
['bek', 71]
['dišːu', 71]
['cakan', 71]
['nusːe', 71]
['qallaˤne', 70]
['aa', 70]
['laˤmarka', 69]
['dukane', 69]
['ibsːaħ', 69]
["wec'al", 69]
['buχːu', 69]
['babajli', 68]
['šinni', 68]
['sabsin', 68]
['raše', 68]
['daˤkːu', 68]
['žihilze', 68]
['daršː', 68]
['akːurrarka', 67]
["bik'ande", 67]
["darq'ib", 67]
['butunnira', 67]
["darq'ibda", 67]
['aˤburχe', 67]
['nuxːa', 66]
["ucːiq'arra", 66]
['kak', 66]
['χːʷalel', 66]
['taˤkan', 66]
['babajra', 66]
['bursub', 65]
['cukːle', 65]
['da̰rqːible', 65]
["ħa̰q'le", 65]
['bacː', 65]
['bucuble', 65]
['χoma', 65]
['hitːille', 65]
['itːira', 65]
['iχi', 65]
['bijali', 65]
["warq'ible", 64]
['čebže', 64]
['baše', 64]
['arganar', 64]
["q'anne", 63]
['ruze', 63]
['uχub', 63]
['raxade', 63]
['čaqale', 63]
['baˤkːurre', 63]
['dilejkːande', 63]
['qːuruš', 63]
['cali', 63]
['čazil', 62]
['bule', 62]
['acːaj', 62]
['laˤra', 62]
['ħa̰q', 62]
['birqle', 62]
['qːistaban', 62]
['elgunda', 61]
['mašna', 61]
['qːa̰čːe', 61]
['durχuble', 61]
['cerira', 61]
['a̰rq', 61]
["k'aˤmajtːe", 60]
['wale', 60]
["k'oma", 60]
["ruk'ud", 60]
['imitaj', 60]
['ijar', 60]
['dawʡa', 60]
['kolχuzla', 60]
['samatːirka', 60]
['rule', 60]
['waˤčːu', 59]
['sadaħ', 59]
["buk'ande", 59]
['še', 59]
['duχile', 59]
['kalarka', 59]
['ba̰rqːible', 59]
['urχːab', 59]
['qa̰q', 58]
['nušːi', 58]
['ʡa̰č', 58]
['uze', 58]
['da̰wʡe', 58]
['buχːule', 58]
['haban', 58]
['debga', 58]
['asːi', 58]
['prosto', 58]
['idaj', 58]
['šːillirka', 58]
['arganda', 58]
['datːira', 57]
['harasːible', 57]
["bek'ral", 57]
['taˤtila', 57]
['akːuze', 57]
['cizi', 57]
['raˤčːu', 57]
['durχar', 57]
['durk', 57]
["ik'tːu", 57]
['na̰qː', 56]
["č'amad", 56]
["dirq'ade", 56]
['hajtːe', 56]
['nawerno', 56]
["dač'ible", 56]
["bik'le", 56]
['hegitːe', 56]
["bic'ible", 56]
['tam', 56]
['ba̰ħi', 55]
['bičːib', 55]
['raqible', 55]
["rucːiq'arra", 55]
['purmale', 55]
['jaħja', 55]
['ač', 55]
["q'uj", 55]
['duda', 55]
['dičːib', 54]
['elgunne', 54]
['butːaj', 54]
['toma', 54]
['taˤte', 54]
['čuqa', 54]
['urč', 54]
["šiq'anna", 54]
['tipːiʁa', 54]
["bek'", 54]
['da̰qa̰la', 54]
['barχle', 54]
['bilejkːande', 54]
['xura', 53]
['mamma', 53]
['ħajwane', 53]
['baˤne', 53]
['bač', 53]
['saqːible', 53]
["pat'imat", 53]
['haqːible', 53]
['jaqible', 52]
['taˤti', 52]
['nusːara', 52]
['galli', 52]
["ik'", 52]
['daxle', 52]
['daxaja', 52]
['ziriz', 52]
['insanad', 52]
["dač'ibda", 52]
['žemilat', 52]
['cama', 51]
['hane', 51]
['bikːannarka', 51]
['gane', 51]
['uhu', 51]
['čarʁurdi', 51]
['kːurtːe', 51]
['jara', 51]
['baqi', 51]
['jaˤmarka', 51]
["qa̰q'le", 51]
['možet', 51]
['laˤli', 50]
['rijalde', 50]
['admira', 50]
['buχarra', 50]
["nik'aknira", 50]
['rabdan', 50]
['ruχub', 50]
['šːicːirka', 50]
['rabazan', 50]
['baxle', 50]
['pirmali', 50]
['daˤne', 50]
['bursidaj', 49]
["q'ar", 49]
['jaˤkan', 49]
['kulake', 49]
["barq'idaj", 49]
['habaχi', 49]
['urχle', 49]
['karasa', 49]
['da̰wʡilicːe', 49]
["barq'ibze", 49]
['carasːaħ', 49]
['busat', 49]
['bizar', 48]
['ža̰le', 48]
['χːʷalħal', 48]
['waj', 48]
['ruχubda', 48]
['rarq', 48]
['haqːi', 48]
['elχːunne', 48]
['birqande', 48]
['qume', 48]
['ilra', 47]
['admila', 47]
['laˤlila', 47]
['laˤle', 47]
['urče', 47]
['risːle', 47]
['admile', 47]
['galle', 47]
['badir', 47]
['dač', 47]
['jerčible', 47]
["q'ṵle", 47]
['iχtːala', 47]
['asːible', 46]
['ħa̰že', 46]
['ʁamkane', 46]
['marz', 46]
['bilejčːe', 46]
["c'atːar", 46]
['ne', 46]
['raxle', 45]
['akːuj', 45]
['bijalde', 45]
['daud', 45]
['xːunne', 45]
['urkura', 45]
['cejra', 44]
['ištːu', 44]
["datːiq'arre", 44]
["buk'ana", 44]
['čaqʷ', 44]
['mura', 44]
["rarq'ib", 44]
['bahlale', 44]
['nisːija', 44]
['duj', 44]
["dirq'anze", 44]
['burχlačːu', 44]
['insanaj', 44]
['lugi', 44]
['dig', 43]
["rirq'le", 43]
["durk'ade", 43]
["murtk'al", 43]
['xadili', 43]
['aˤj', 43]
['zarple', 43]
["č'ujna", 43]
["c'ubze", 43]
['šːilimatːe', 43]
['počti', 43]
['xːune', 43]
['ʡa̰šːne', 43]
['kumag', 43]
['urχːane', 43]
['butunra', 43]
['damra', 42]
['dṵrqa̰', 42]
['nerχː', 42]
['waše', 42]
['akːurre', 42]
['ik', 42]
['berčible', 42]
['net', 42]
['zile', 42]
['saʁle', 42]
['deduškːa', 42]
['saʡat', 42]
['dawaj', 42]
["buk'andi", 42]
['ʡajša', 42]
["nik'elra", 42]
['waˤdila', 41]
['raqibda', 41]
['ma', 41]
['zardah', 41]
['ʡa̰čli', 41]
["ziq'ajdab", 41]
["birq'andi", 41]
['čarʁurda', 41]
['ʁamze', 41]
['ačːuj', 41]
['dule', 41]
['cajra', 41]
['qːasin', 41]
['itišːu', 41]
['dusːli', 41]
['nikːne', 41]
['aˤbuχar', 41]
['bazaj', 41]
['admili', 41]
['daqi', 40]
['sibtːala', 40]
['nara', 40]
["tusnaq'li", 40]
['duχublide', 40]
["buk'ar", 40]
['cize', 40]
['buχab', 40]
['arwarčible', 40]
['nixːi', 40]
['jaˤmajtːe', 40]
['dicːira', 40]
['šahwale', 40]
['qalla', 40]
['lugle', 39]
['nišla', 39]
['hararkala', 39]
['dijal', 39]
['časːible', 39]
['gužlaze', 39]
['acːajla', 39]
['ʡajšat', 39]
['kebišːible', 39]
['kalazi', 39]
['bikːana', 39]
['ʡašur', 39]
['burχlakːu', 39]
['čerkeble', 39]
['daqibda', 39]
['murt', 39]
["duc'", 39]
['laˤtːira', 39]
["χaliq'", 39]
['babuškːa', 39]
['w', 39]
['igar', 38]
['zaħmatze', 38]
['ištːala', 38]
["q'ur", 38]
['wah', 38]
['dudi', 38]
['usːaħ', 38]
['tima', 38]
['rerčible', 38]
['laˤtːala', 38]
['bilakːʷacːe', 38]
["c'aq'ze", 38]
["bač'ibsːaħ", 38]
["q'ajre", 38]
['carʁa', 38]
['itira', 38]
['qaʁar', 38]
["učit'el", 38]
['nerʁ', 38]
["q'urban", 38]
["daħc'ba", 38]
['nika̰ħ', 38]
['qačili', 38]
['qa̰lče', 38]
['la', 38]
['amma', 37]
['icːle', 37]
['ruda', 37]
['baqib', 37]
['pirma', 37]
['čerkbible', 37]
["durk'uj", 37]
['macːne', 37]
["dač'ib", 37]
["buk'ari", 37]
["sa̰q'le", 37]
['rusːaħ', 37]
['lakːle', 37]
['bartlačːu', 37]
['a̰q', 37]
['insanala', 37]
['hanara', 37]
['naqːasa', 37]
['haburχle', 37]
['nišra', 37]
['kːa', 37]
['ta', 37]
['dursle', 36]
["cik'le", 36]
['pikre', 36]
['hu', 36]
['ʡa̰qunne', 36]
['ucːila', 36]
['kːa̰ʡa̰l', 36]
['duhar', 36]
['ance', 36]
['ba̰lle', 36]
["bebč'ible", 36]
["aʁʷc'ale", 36]
['kulpat', 36]
['kaspijskːli', 36]
['isːle', 35]
['macːara', 35]
['rusːbira', 35]
['bursande', 35]
['qu', 35]
['čebžira', 35]
['bilakːʷan', 35]
['waʡan', 35]
["bik'ar", 35]
["t'ut", 35]
['dusːaħ', 35]
['šinna', 35]
['uχubda', 35]
['habaχurre', 35]
['hatːaqible', 35]
['agurze', 35]
['ʡumrili', 35]
['ʡa̰baliban', 35]
["rič'ala", 35]
['čazi', 35]
['duχːule', 35]
["birq'ade", 35]
['mizit', 35]
['lejqe', 34]
['buχːulačːu', 34]
['dirqle', 34]
['ʡa̰χː', 34]
['dursi', 34]
['bikːandi', 34]
['marzze', 34]
["ik'le", 34]
['jaˤštːe', 34]
['ʡur', 34]
['laˤtːad', 34]
["cik'alra", 34]
['rusːile', 34]
["dic'ible", 34]
['cːadad', 34]
['t', 34]
['ʡumre', 34]
['cadaħ', 34]
['qːirʁizli', 34]
['rusːili', 34]
["barq'iban", 34]
['dem', 34]
["šilak'al", 33]
['ja̰ħ', 33]
['caj', 33]
['arbarčible', 33]
['ikːana', 33]
['ba̰lli', 33]
['rikːana', 33]
['maħmadla', 33]
["maq'am", 33]
['masː', 33]
['arčacːille', 33]
['arcra', 33]
["darq'ibze", 33]
['ira', 33]
['bukle', 33]
['ʡa̰bra', 33]
['dusːre', 33]
["k'ant'", 33]
['ištːikne', 33]
["kašit'", 33]
['bari', 33]
['uχar', 33]
["č'ura", 33]
['itːura', 33]
['rajonni', 33]
['postojanno', 33]
['ʁa̰baj', 33]
['mit', 33]
["wač'ibsːaħ", 32]
["k'ult", 32]
["birq'ana", 32]
['kːuš', 32]
['rurχle', 32]
['χaˤtːala', 32]
['baturre', 32]
['kulakala', 32]
['milicne', 32]
['hara', 32]
['taˤtːala', 32]
['šːilili', 32]
['da̰wʡili', 32]
['sa̰q', 32]
['rež', 32]
['kakraz', 32]
['ʡusen', 32]
['točno', 32]
['ʁuršalli', 32]
["xuc'ale", 32]
['aˤbuχub', 32]
["č'ʷaliban", 32]
['cabaħ', 32]
['uncːa', 32]
['dirqande', 32]
['ʡa̰barra', 32]
['dijarkːadixːli', 32]
["q'amq'ame", 32]
['cala', 32]
["nik'aknaj", 32]
['wajle', 31]
['qːarile', 31]
["rač'ibda", 31]
["bik'uble", 31]
['ule', 31]
['bilejkːle', 31]
['raˤkːu', 31]
['ucːbe', 31]
['argade', 31]
['ib', 31]
['qːatːa', 31]
['nikːa', 31]
['dikːa', 31]
['zaħmatle', 31]
['tːupang', 31]
['berčʷi', 31]
['dusːraj', 31]
['daqib', 31]
['kedišːible', 31]
['argande', 31]
['udi', 31]
["q'arri", 31]
['darine', 31]
["q'aqa", 31]
['bič', 31]
['habaχe', 31]
['ričːible', 31]
['rurχade', 31]
["učit'ele", 31]
['duχab', 31]
['ʡaj', 30]
['da̰ħi', 30]
['maxtaw', 30]
["dirq'arka", 30]
['qːasne', 30]
['busːaħ', 30]
['ħa̰χi', 30]
['kačible', 30]
['insanni', 30]
['maxtawla', 30]
['arcla', 30]
['ilila', 30]
['jaqib', 30]
['hegize', 30]
['uχile', 30]
['bursinda', 30]
['ħamzat', 30]
['nisːišːu', 30]
['birgadir', 30]
["barq'ibsːaħ", 30]
['dicːille', 30]
["wač'ibda", 30]
["č'abaq'ibda", 30]
['markːli', 30]
['primerno', 30]
['χːʷalaniš', 30]
['nasredin', 30]
['wade', 30]
['macːališːu', 29]
['ʁajal', 29]
['haramatːe', 29]
['ba̰qible', 29]
['buχːulakːu', 29]
['ħa̰žamma', 29]
['carira', 29]
['ustːa', 29]
['musa', 29]
['χːṵl', 29]
["c'atːarze", 29]
['buχubi', 29]
["buc'are", 29]
["č'abaq'ible", 29]
['bijalle', 29]
["ik'ila", 29]
['tːuraʁible', 29]
['hanala', 29]
['hetize', 29]
['aˤgurda', 29]
['biqːle', 29]
["a̰q'", 29]
['kurbe', 29]
["duk'le", 29]
['buχubli', 29]
['azur', 29]
["nuq'unna", 29]
['icːande', 29]
['dilejkːle', 29]
['butunnara', 29]
['čara', 29]
['qaqːible', 29]
["belk'unne", 29]
['luqi', 29]
['barxːana', 28]
['aˤgurre', 28]
['haj', 28]
['dilakːu', 28]
['wajli', 28]
['lʲuboj', 28]
['bilakːʷala', 28]
['sabaħla', 28]
['ʁamkanaj', 28]
["aˤbarq'ible", 28]
["birq'anze", 28]
["q'ajra", 28]
['qarik', 28]
["birq'uj", 28]
['aˤrk', 28]
['mig', 28]
['laˤmajtːe', 28]
["arč'amal", 28]
['ħa̰žat', 28]
['ʡa̰nčːija', 28]
['žuz', 28]
["bač'ibze", 28]
['buχublarka', 28]
['interesnojze', 28]
["sːap'sːap'aj", 28]
['biqːande', 28]
['čuqara', 28]
['rerčibda', 28]
['qːaragulli', 28]
['že', 28]
["jebč'ibsːaħ", 28]
['bičːi', 27]
["cilik'al", 27]
["q'ap'az", 27]
['derkunne', 27]
['aχːarale', 27]
["q'uran", 27]
['maħde', 27]
['čaqʷze', 27]
["dik'le", 27]
['kam', 27]
['itːurka', 27]
['rič', 27]
['dilara', 27]
['dičːibda', 27]
["aˤwač'ib", 27]
['hajze', 27]
["t'urale", 27]
['saqːa', 27]
['bertːa', 27]
['derbentli', 27]
['sapːarχːib', 27]
['čud', 27]
['čerkdible', 27]
['iticːille', 27]
["dik'ande", 27]
['armijalirka', 27]
['bahnadan', 27]
['buχi', 27]
["ubek'le", 27]
['durχlačːu', 27]
['ʡa̰qun', 27]
['aˤčːib', 27]
['duχar', 27]
['ʡa̰jab', 27]
['daršːlib', 27]
["q'une", 27]
["q'it'", 27]
['haqːib', 27]
['darzmacːe', 27]
['teriberde', 27]
["rarq'ibda", 26]
["q'ale", 26]
["q'aq", 26]
['žan', 26]
['dag', 26]
['určucːille', 26]
['ijalde', 26]
['rač', 26]
['kabarcːe', 26]
['zahra', 26]
['qːila', 26]
['na̰qːa̰', 26]
['darman', 26]
['rucːila', 26]
['arče', 26]
['dusːla', 26]
["aʁʷc'nu", 26]
["čatːač'ib", 26]
['buχaraj', 26]
['qulq', 26]
['ištːad', 26]
['klasli', 26]
['čakaxuble', 26]
['ulgande', 26]
["q'ʷa̰la", 26]
["q'ut", 26]
['duχubsːaħ', 26]
['baˤkːuze', 26]
["ʡa̰bc'nu", 26]
['ruχile', 26]
["q'ut'", 26]
["sːap'sːap", 26]
['kːila', 26]
['ħapiz', 26]
['ijal', 26]
['musːne', 26]
["c'ab", 26]
['ducuble', 26]
["cunk'al", 26]
["ruk'ande", 26]
['zazajra', 26]
['birdan', 25]
["buq'un", 25]
['burχari', 25]
['čerkrible', 25]
['hačible', 25]
['ħa̰sab', 25]
['insanna', 25]
['duχublarka', 25]
['buzib', 25]
['buχːuze', 25]
["k'aˤk", 25]
['to', 25]
['uˤlbartid', 25]
['ʡadu', 25]
['qalbaˤne', 25]
['urkracːille', 25]
['šːarka', 25]
['dikːle', 25]
['aˤʡa̰qun', 25]
['ra', 25]
['žihille', 25]
["bat'azaj", 25]
['awlija', 25]
['sa̰ʡid', 25]
['baqa', 25]
['habalčunne', 25]
['ardarčible', 25]
['musːarka', 25]
['šizil', 25]
['sːaħ', 25]
['waxade', 25]
['bicːize', 25]
['aˤdurχar', 25]
['iχtːaj', 25]
['bagli', 25]
['elχːun', 25]
['dartlačːu', 25]
['kolχuz', 25]
['markːle', 25]
['cːadira', 25]
['ruχi', 25]
['bikːari', 25]
['kːurtːa', 25]
['digbe', 24]
['delq', 24]
['ibze', 24]
["šiq'anne", 24]
['laˤl', 24]
['durqaze', 24]
['zake', 24]
['ucːira', 24]
['sːusːulla', 24]
['raˤde', 24]
["q'uc'", 24]
['ba̰rqːib', 24]
['sarbuqːa', 24]
['dinna', 24]
['gawhar', 24]
['zume', 24]
['kanešno', 24]
['diriχːa̰ħra', 24]
['maħmadra̰ħim', 24]
['aχːaraze', 24]
["c'aq'", 24]
['taˤtːaj', 24]
['o', 24]
['aˤrč', 24]
['waxande', 24]
['ča̰qa̰χible', 24]
['baˤli', 24]
['ejla', 24]
['marχːale', 24]
['dici', 24]
['diqːande', 24]
['casːaħla', 24]
['galad', 24]
["q'arra", 24]
['aʁʷra', 24]
["delk'unne", 24]
['ʁamle', 24]
['bebk', 24]
['ijalle', 24]
['dičːi', 24]
['raʡan', 23]
['bikːanda', 23]
['aˤrurχle', 23]
['laqit', 23]
["t'ergʷa", 23]
['kebible', 23]
['xːunaˤne', 23]
['rikːagurre', 23]
['insanne', 23]
['ʡalomatla', 23]
['nišli', 23]
['rucːbe', 23]
['arrarčible', 23]
['čučul', 23]
['dṵrqle', 23]
['istorija', 23]
['buχubsːaħ', 23]
['sačible', 23]
['ħa̰sable', 23]
['bursːe', 23]
['miskin', 23]
['barilirka', 23]
['azajne', 23]
["c'aχːle", 23]
['galaj', 23]
['er', 23]
['cibikːana', 23]
["maq're", 23]
['ʡa̰šːidixːli', 23]
["q'ʷa̰rt'aj", 23]
['belχunne', 23]
["mic'irile", 23]
['ħajwan', 23]
['tːapːre', 23]
['čaχurre', 23]
['nusːila', 23]
['k', 23]
['ruq', 23]
['normalʲno', 23]
['rusːbad', 23]
['dekʷ', 23]
['rudi', 23]
['rijalle', 23]
['dirka', 23]
["c'ub", 23]
['dwadcatʲ', 23]
['eto', 23]
['maħmadle', 22]
['ruhar', 22]
['kerible', 22]
['uˤra', 22]
["barq'inda", 22]
['diqːle', 22]
["q'an", 22]
['keble', 22]
['ħurmat', 22]
['qa̰rqze', 22]
['uχi', 22]
['iltːira', 22]
['maħmadra', 22]
['qalbira', 22]
['cinišːu', 22]
["k'ant", 22]
['rijal', 22]
['ʡa̰bna', 22]
['diʡunne', 22]
['markːahra', 22]
['wahwala', 22]
['damira', 22]
['icːiwaχːunne', 22]
['taˤce', 22]
['ħadur', 22]
['budil', 22]
["q'imat", 22]
["qurt'", 22]
['macːali', 22]
['dilejčːe', 22]
['derčible', 22]
['ʡumarre', 22]
['ʡa̰štːa', 22]
['aʁi', 22]
['iχra', 22]
['ʡa̰b', 22]
['quj', 22]
['gamga', 22]
["bač'ale", 22]
['ʡa̰šːnad', 22]
['ʁʷade', 22]
['ħawa', 22]
['daˤ', 22]
["šːejt'an", 22]
['mašnalicːille', 22]
['bisːle', 22]
['určuj', 22]
['iχtːad', 22]
['ʡasanqala', 22]
['iχtibar', 22]
['wa̰rqːa̰', 22]
['wse', 22]
['mime', 22]
['latːe', 22]
['meχ', 21]
['bikːar', 21]
['ziruj', 21]
['kalaj', 21]
['ʁanu', 21]
['kːe', 21]
['rurχar', 21]
['ʡa̰knaj', 21]
['dagli', 21]
['bacːla', 21]
["irq'le", 21]
['harurχle', 21]
['kamze', 21]
['rucːira', 21]
['guž', 21]
['χuržme', 21]
['acːajle', 21]
['rikːle', 21]
['butːajqala', 21]
["wac'acːe", 21]
['bate', 21]
['ʡumarra', 21]
['musila', 21]
['bursana', 21]
['bakuli', 21]
['šahmil', 21]
['burse', 21]
['ixuble', 21]
['meχla', 21]
['enda', 21]
['kaxuble', 21]
['čumal', 21]
['aˤčːible', 21]
['zahrat', 21]
['berkunne', 21]
['kːušle', 21]
['qumaj', 21]
['icːade', 21]
["q'urq'", 21]
['asːibda', 21]
['ejsar', 21]
['žalal', 21]
['rurχande', 21]
['sabuqunne', 21]
["q'ac'", 21]
['soħbate', 21]
['kːama', 21]
['miskinze', 21]
['kːaj', 21]
['kursum', 21]
['danra', 21]
['ruči', 21]
["q'uranne", 21]
['režli', 21]
['etot', 21]
['cinira', 20]
['dursa', 20]
['baqibda', 20]
['agar', 20]
['ba̰ħunne', 20]
['dijalde', 20]
['qːa̰čːira', 20]
['duχtːure', 20]
['wač', 20]
['ucuble', 20]
['balballe', 20]
['arge', 20]
['daturre', 20]
['kumagli', 20]
['jatːume', 20]
['buχːulide', 20]
["birq'anar", 20]
['dukanira', 20]
['barcːe', 20]
['hujaw', 20]
['ʡabdulla', 20]
["baq'aj", 20]
["warq'ibda", 20]
['buci', 20]
['bukanara', 20]
["jebk'ab", 20]
['cebira', 20]
["birq'anda", 20]
['itːikne', 20]
['hadalčunne', 20]
['sowχuzla', 20]
["χalq'", 20]
['ħallali', 20]
['wobšem', 20]
['qaqːi', 20]
['barkːe', 20]
['dircːi', 20]
['nisːre', 20]
["ic'male", 20]
