['ищал', 330]
['гьеч1арила', 8]
['бехьваб', 8]
['вубла', 8]
['бесун', 8]
['кила', 8]
['гьинк1яв', 8]
['живги', 8]
['вудидуд', 8]
['уже', 8]
['цебал', 8]
['ил1и', 8]
['мъ', 8]
['гьиндил', 8]
['мак1ил', 8]
['рельа', 8]
['бук1уду', 8]
['ц1ули', 8]
['гьабе', 8]
['бакьихъ', 8]
['вол1и', 8]
['к1унда', 8]
['имам', 8]
['г1агарлъири', 8]
['т1укидал', 8]
['баг1иду', 8]
['бакьил1и', 8]
['динил', 8]
['гьац1а', 8]
['ищилъа', 8]
['саругу', 8]
['вулугуба', 8]
['арахъиба', 8]
['эгугьир', 8]
['цей', 8]
['эк1ус', 8]
['кьури', 8]
['рахья', 8]
['х1ажимурад', 8]
['ищид', 8]
['учительницади', 8]
['лали', 7]
['хъолибах', 7]
['бук1агьир', 7]
['кеч1ади', 7]
['кекьибахегу', 7]
['бук1абахегу', 7]
['оъ', 7]
['иъ', 7]
['вук1охе', 7]
['дала', 7]
['вудилъид', 7]
['бел1ибахин', 7]
['муубах', 7]
['белъи', 7]
['бехьва', 7]
['вук1ала', 7]
['гьедал', 7]
['кьанихъ', 7]
['хунзахъ', 7]
['шамилилъа', 7]
['мак1и', 7]
['биг1идак1а', 7]
['гьощдубе', 7]
['чундагил', 7]
['хьонаби', 7]
['ищиба', 7]
['мигъи', 7]
['вудивла', 7]
['жибги', 7]
['замана', 7]
['ах1ули', 7]
['вудикъола', 7]
['рак1оч1и', 7]
['вудилъил', 7]
['вулъилар', 7]
['т1укидал1е', 7]
['рагъи', 7]
['хунзахский', 7]
['насрудин', 7]
['г1адамадил', 7]
['кьибахх', 7]
['гьой', 7]
['учительница', 7]
['т1ами', 6]
['вулъил', 6]
['има', 6]
['бигьибах', 6]
['гигьох', 6]
['г1акъуба', 6]
['дада', 6]
['бук1убах', 6]
['гьадали', 6]
['вохьох', 6]
['вохьохин', 6]
['мух1ама', 6]
['гьалуба', 6]
['вудидла', 6]
['миса', 6]
['паракъат', 6]
['история', 6]
['а', 6]
['гьадив', 6]
['г1езаг1ан', 6]
['вущулар', 6]
['бухьудак1а', 6]
['т1укиду', 6]
['бехьу', 6]
['кьанихъабе', 6]
['гигьуре', 6]
['гьорди', 6]
['гьощуб', 6]
['масари', 6]
['биг1идуб', 6]
['к1екъиндулбел1и', 6]
['рехьин', 6]
['бук1убахе', 6]
['масхъаралъила', 6]
['вудибкъола', 6]
['вуох', 6]
['рак1вач1и', 6]
['гъорущ', 6]
['вулугува', 6]
['к1анц1ули', 6]
['адува', 6]
['гьабсаг1ала', 6]
['г1адамадилулъа', 6]
['гигьибахх', 6]
['кьидак1а', 6]
['ил1ире', 6]
['бук1ач1уб', 6]
['к1ек1идуб', 6]
['в', 6]
['даже', 6]
['зобилъидла', 6]
['кутаклъила', 6]
['ищду', 6]
['вуудак1а', 6]
['биг1ач1уб', 6]
['бехьвал1а', 5]
['бук1еду', 5]
['бихьидуб', 5]
['баг1илда', 5]
['кекьибахе', 5]
['вудищулар', 5]
['инщуд', 5]
['гигьохин', 5]
['х1алад', 5]
['чарандав', 5]
['закарья', 5]
['гьардуб', 5]
['ч1олибах', 5]
['к1к1иред', 5]
['бигье', 5]
['закарьящуд', 5]
['баг1абкъола', 5]
['цещулар', 5]
['бел1ибах', 5]
['маса', 5]
['чук1ола', 5]
['бехьоб', 5]
['масава', 5]
['ригье', 5]
['волъох', 5]
['вочитох', 5]
['гьагиб', 5]
['мак1ал1и', 5]
['гибахин', 5]
['вуа', 5]
['чув', 5]
['гьащуд', 5]
['бильи', 5]
['амма', 5]
['кел1ир', 5]
['гьордубе', 5]
['гьордук1ин', 5]
['вук1охин', 5]
['бигьох', 5]
['муу', 5]
['ла', 5]
['гьордулъа', 5]
['гьедах', 5]
['гьощдаг', 5]
['г1аданла', 5]
['пикру', 5]
['инл1и', 5]
['гьегува', 5]
['имабилуб', 5]
['раз', 5]
['даргъи', 5]
['бехьвабе', 5]
['инщи', 5]
['г1арци', 5]
['бигьибахин', 5]
['ищил', 5]
['баг1акъол1и', 5]
['кулуб', 5]
['пирказ', 5]
['бихьибах', 5]
['гьеч1и', 5]
['жибе', 5]
['рагъил', 5]
['изну', 5]
['гьакьудуб', 5]
['индулъаги', 5]
['бехьубах', 5]
['играбади', 5]
['гьордуб', 5]
['къинду', 5]
['белъабах', 5]
['бук1удубе', 5]
['гьаре', 5]
['рекъинсса', 5]
['мусалав', 5]
['вол1ох', 5]
['гьалире', 5]
['жив', 5]
['раг1ари', 5]
['г1орусадилуб', 5]
['вулибе', 5]
['инлъил', 5]
['масидуб', 5]
['учительди', 5]
['вугий', 5]
['ригьа', 5]
['вуоххин', 5]
['г1адлу', 5]
['к1к1ундак1а', 5]
['вуй', 5]
['т1алаб', 5]
['единственный', 5]
['мац1ц1и', 5]
['дильар', 5]
['г1аза-г1азар', 5]
['гьанил1ир', 5]
['хъолур', 4]
['бук1е', 4]
['г1унщи', 4]
['дан', 4]
['гьинк1ёб', 4]
['хъолел', 4]
['бухъибах', 4]
['аэъ', 4]
['бухъидуб', 4]
['бехьуду', 4]
['микъал1и', 4]
['мак1илулъа', 4]
['ссордуб', 4]
['х1албахъин', 4]
['сарал', 4]
['гьурди', 4]
['бехьваде', 4]
['хъамах', 4]
['дадащуб', 4]
['х1ал', 4]
['ц1ц1еда', 4]
['вудищув', 4]
['къела', 4]
['гьац1ал', 4]
['дадащуд', 4]
['кулак', 4]
['маг1ишат', 4]
['гаран', 4]
['гьаъ', 4]
['мак1ал', 4]
['вохьав', 4]
['маскулъилар', 4]
['цекулуб', 4]
['эб', 4]
['цере', 4]
['кагъатла', 4]
['бук1убахегу', 4]
['бел1ибахе', 4]
['ч1еркьал', 4]
['гигьел1убк1ола', 4]
['къот1ил', 4]
['гъардил', 4]
['цециб', 4]
['гьардуд', 4]
['гьагид', 4]
['г1есимула', 4]
['кили', 4]
['л1аргьа', 4]
['ц1акъ', 4]
['боц1ц1ур', 4]
['эта', 4]
['этох', 4]
['г1аданщуд', 4]
['инщудиги', 4]
['милче', 4]
['мигъали', 4]
['кьоне', 4]
['эгув', 4]
['волъа', 4]
['ц1ондак1а', 4]
['минил', 4]
['у', 4]
['чамик1ола', 4]
['ц1ер', 4]
['кельал', 4]
['рес', 4]
['бухьу', 4]
['гьач1ва', 4]
['какди', 4]
['гьолъик1инги', 4]
['гигьукъола', 4]
['бук1ари', 4]
['гигьибахин', 4]
['вохьакъола', 4]
['бульох', 4]
['базар', 4]
['лъабидуб', 4]
['шамилиб', 4]
['бухьубах', 4]
['кекьибахин', 4]
['давайк1уни', 4]
['вудла', 4]
['гьащуб', 4]
['вудийла', 4]
['где-то', 4]
['баг1ибах', 4]
['вунъа', 4]
['г1ак1а', 4]
['гури', 4]
['муа', 4]
['мук1ух1уб', 4]
['илуд', 4]
['цевалщуд', 4]
['жибеги', 4]
['вуал1а', 4]
['красный', 4]
['бищдиба', 4]
['къару', 4]
['т1укила', 4]
['солдатади', 4]
['эна', 4]
['вудулар', 4]
['рук1аре', 4]
['билъи', 4]
['хьонабала', 4]
['кинабгожа', 4]
['гьере', 4]
['г1орусав', 4]
['хьольа', 4]
['гьощув', 4]
['эбкъола', 4]
['ил1ич1', 4]
['ц1ой', 4]
['ц1ц1ерди', 4]
['джалал', 4]
['г1илла', 4]
['гьолъилар', 4]
['т1амах', 4]
['гьалибе', 4]
['кьибахе', 4]
['вуохе', 4]
['г1адамадилуб', 4]
['гигьидак1а', 4]
['отряд', 4]
['муслим', 4]
['г1анзил', 4]
['мац1ц1илъид', 4]
['баг1арщала', 4]
['сарухх', 4]
['вахъиндак1а', 4]
['г1осман', 4]
['баху-бикалъил', 4]
['вохьял', 4]
['гьокува', 4]
['муртазг1али', 4]
['тумаг', 4]
['вулъид', 4]
['гьедахх', 4]
['гьобкъола', 4]
['цебла-цебла', 4]
['партийной', 4]
['кьанк1яла', 4]
['бажарида', 4]
['уса', 4]
['нича-хъащда', 4]
['гьижидахъ', 3]
['т1андуб', 3]
['перч1ин', 3]
['къери', 3]
['бекьи', 3]
['гигьиду', 3]
['колди', 3]
['г1анчиби', 3]
['лалил', 3]
['т1амахин', 3]
['гьудал', 3]
['баг1алдуб', 3]
['цевла', 3]
['хъолибахин', 3]
['ил1илъа', 3]
['мунъудуб', 3]
['къе', 3]
['вудибла', 3]
['къаг1идалъил', 3]
['сари', 3]
['гьанду', 3]
['г1анчил1и', 3]
['г1анчил1иба', 3]
['к1ятилъа', 3]
['к1ятид', 3]
['гьуригиба', 3]
['гьингурени', 3]
['алжанлъини', 3]
['илул', 3]
['вущулъа', 3]
['ц1адасса', 3]
['гьовла', 3]
['гьещдуб', 3]
['бук1угьир', 3]
['мнъ', 3]
['индуреги', 3]
['гигьукъол1и', 3]
['зирар-дибир', 3]
['гьандигила', 3]
['инщуб', 3]
['г1аданщулъа', 3]
['кекьох', 3]
['вущув', 3]
['бук1ел1уб', 3]
['вудугуарахъиба', 3]
['йинъэх', 3]
['зоби', 3]
['уэъ', 3]
['гьащду-гьащдуб', 3]
['рельиби', 3]
['гьалъид', 3]
['гьач1уре', 3]
['кьибахегу', 3]
['масхъарди', 3]
['кунт1ик1алъири', 3]
['бухьуб', 3]
['бук1убахин', 3]
['то', 3]
['ц1ц1ойл', 3]
['вохьел', 3]
['эгьир', 3]
['к1усули', 3]
['гьадибла', 3]
['бокьали', 3]
['муубахе', 3]
['т1амахегу', 3]
['бехьвабкъола', 3]
['бук1абк1ола', 3]
['м', 3]
['волъохин', 3]
['ч1аг1адал', 3]
['ссах1ла', 3]
['къот1ид', 3]
['ихьвалъох', 3]
['рел1уре', 3]
['вуцеб', 3]
['рахъилигиба', 3]
['ихьвахъох', 3]
['зулму', 3]
['мисалди', 3]
['бухьагье', 3]
['цебела', 3]
['гьадибе', 3]
['ихьвахъибах', 3]
['гьанди', 3]
['гилибах', 3]
['биг1идеч1и', 3]
['майор', 3]
['команда', 3]
['это', 3]
['первый', 3]
['балъи', 3]
['бухьагьеду', 3]
['армилъила', 3]
['х1исаблъила', 3]
['цебе-цебела', 3]
['баг1илдан', 3]
['мац1ц1ихъандилуд', 3]
['сунач1ала', 3]
['к1янц1и', 3]
['абдурах1ман', 3]
['к1к1ирл1и', 3]
['вохьал1ув', 3]
['кела', 3]
['милициялъила', 3]
['гигьабда', 3]
['вацибди', 3]
['гьунарди', 3]
['имабилуд', 3]
['шамил', 3]
['гъуни', 3]
['инщуреги', 3]
['рохьу', 3]
['джамалудин', 3]
['ссед', 3]
['эбкъол1и', 3]
['бикьибехьянлабел1и', 3]
['гьощдуреги', 3]
['г1умру', 3]
['гьарук1к1ал', 3]
['цещугьар', 3]
['тургъа', 3]
['бехьул1а', 3]
['конща', 3]
['мингила', 3]
['гигьак1уни', 3]
['вубела', 3]
['къаме', 3]
['чубк1уни', 3]
['к1анц1улох', 3]
['ушкуллъила', 3]
['ц1ц1едуб', 3]
['баг1идуб', 3]
['адилбегла', 3]
['рук1угьир', 3]
['г1алирасул', 3]
['бит1илъи', 3]
['эбах', 3]
['бухьагьабах', 3]
['вудищугьар', 3]
['ч1ч1оли', 3]
['къеларла', 3]
['чачанлъила', 3]
['кекьидуб', 3]
['хунох', 3]
['инщулаги', 3]
['мигъал', 3]
['бухъибахин', 3]
['гьобкъолалъилагиба', 3]
['цеб-к1ек1и', 3]
['гьорела', 3]
['расулъла', 3]
['хьонил', 3]
['муэ', 3]
['рагьадиба', 3]
['вудидуба', 3]
['т1али', 3]
['кекьирла', 3]
['къел1ир', 3]
['гьанлъигиба', 3]
['г1аданлъид', 3]
['дандилъибах', 3]
['дандилъибахин', 3]
['беху', 3]
['гьанил', 3]
['болъибах', 3]
['чуби', 3]
['вудуба', 3]
['мух1амасултан', 3]
['щуред', 3]
['мисас', 3]
['рег1ила', 3]
['бедуб', 3]
['вол1охин', 3]
['бели', 3]
['имамщуд', 3]
['хъоли', 3]
['мук1ух1ув', 3]
['бехьвакъола', 3]
['внимание', 3]
['интересный', 3]
['кьонох', 3]
['советский', 3]
['бехьудуб', 3]
['г1адамадилулар', 3]
['бел1укъола', 3]
['муул1убе', 3]
['эгубалда', 3]
['бехьобахх', 3]
['гъани', 3]
['хъами', 3]
['дуба', 3]
['тухум', 3]
['гьудул', 3]
['рак1ваба', 3]
['чубигьир', 3]
['гъалмагъарди', 3]
['кьанихъисбал', 3]
['рук1уч1и', 3]
['но', 3]
['кавула', 3]
['ч1ч1орда', 3]
['рак1ва', 3]
['мигъеду', 3]
['бел1еду', 3]
['мухъил', 3]
['иргалъила', 3]
['бухьудуб', 3]
['вук1е', 3]
['кхе', 3]
['чаха', 3]
['белъибах', 3]
['гибах', 3]
['гьеб', 3]
['иманг1али', 3]
['ах1мадив', 3]
['кьох', 3]
['гьещдуре', 3]
['эгуре', 3]
['гьале', 3]
['белъидуб', 3]
['ч1ордуб', 3]
['г1исила', 3]
['чугьил', 3]
['чугьал', 3]
['кеч1а', 3]
['жиб-жиб', 3]
['байбихьили', 3]
['бесала', 3]
['пурц1ц1и', 3]
['гьакува', 3]
['райотделлъилар', 3]
['халуб', 3]
['гигьибаххин', 3]
['ваг1абкъола', 3]
['т1амуб', 3]
['камил', 3]
['бухьагьох', 3]
['вохьал1а', 3]
['парссили', 3]
['ил1ибги', 3]
['кьибаххин', 3]
['хан', 3]
['анлъибах', 3]
['бесса', 3]
['бакъири', 3]
['гигьедулъила', 3]
['отрядла', 3]
['гьач1уб', 3]
['гьакьу', 3]
['банда', 3]
['вудидулъа', 3]
['советской', 3]
['дулъаги', 3]
['х1ел1и', 3]
['церела', 3]
['т1укил', 3]
['кумила', 3]
['хунт1ила', 3]
['мищдирду', 3]
['вулугуя', 3]
['инлъид', 3]
['ригьел', 3]
['ч1оли', 3]
['гьощдал', 3]
['гъазимух1аммад', 3]
['учитывать', 3]
['вохьудак1а', 3]
['вув', 3]
['рагъилар', 3]
['баху-бикалъид', 3]
['вол1укъола', 3]
['г1османид', 3]
['мисак1алъин', 3]
['гьолъила', 3]
['инлъилги', 3]
['к1к1ума', 3]
['живгил', 3]
['гибахх', 3]
['илал', 3]
['вуэду', 3]
['окружать', 3]
['бищди', 3]
['гьерссал1ир', 3]
['вуакъола', 3]
['лъабикъиндулбел1и', 3]
['гьац1алцебидуб', 3]
['т1оргу', 3]
['имагъазищув', 3]
['лъабиги', 3]
['гьач1вабехьянлабел1и', 3]
['йик1вай', 3]
['гьокуя', 3]
['масида', 3]
['биг1абах', 3]
['ц1ц1едубе', 3]
['класс', 3]
['мищдирагьар', 3]
['абсолютно', 3]
['каласс', 3]
['директор', 3]
['рак1оч1иба', 3]
['бакъибахх', 3]
['класслъила', 3]
['случай', 3]
['бильуб', 3]
['ищибе', 3]
['баркалла', 3]
['тому', 3]
['баркала', 3]
['инлъилъа', 3]
['вол1е', 3]
['благодарны', 3]
['дагъистанлъила', 3]
['памятник', 3]
['коммунист', 3]
['организации', 3]
['секретарь', 3]
['завотдел', 3]
['ил1ид', 3]
['бищдиб', 3]
['парторглъох', 3]
['к1уни', 3]
['воре', 3]
['насрудинщуд', 3]
['ссах1', 3]
['г1анчалъил', 3]
['гироли', 3]
['эссибас', 3]
['вунъал1а', 3]
['х1амарила', 3]
['ваг1арик1ина', 3]
['арахъива', 3]
['бук1уби', 3]
['гьурдаби', 2]
['къелалел', 2]
['къелали', 2]
['-л1е', 2]
['гьинц1ц1абадахъ', 2]
['гъуне', 2]
['гьинц1ц1у', 2]
['къелале', 2]
['бухьун', 2]
['бехьвач1уб', 2]
['гили', 2]
['къ-', 2]
['ссолали', 2]
['кельаба', 2]
['гьурабел', 2]
['нихьу', 2]
['гьольар', 2]
['гьабигьан', 2]
['кельагиба', 2]
['ссоле', 2]
['гьобул', 2]
['лъим', 2]
['лъинла', 2]
['лъин', 2]
['хъоле', 2]
['ххуни-ххуни', 2]
['муаде', 2]
['чиниде', 2]
['к1к1умиде', 2]
['гъолилъа', 2]
['гъолид', 2]
['г1еле', 2]
['манседу', 2]
['хьогьув', 2]
['гьудулади', 2]
['таг1еду', 2]
['гьалмагъади', 2]
['лъай', 2]
['биг1еду', 2]
['рехьинлъи', 2]
['гьощук1ин', 2]
['расул', 2]
['хьогьубе', 2]
['рухьуре', 2]
['бухьубахин', 2]
['хъирикьи', 2]
['индубаги', 2]
['этидуб', 2]
['гьач1ини', 2]
['инщуре', 2]
['хьобда', 2]
['мисари', 2]
['калининигьар', 2]
['яхъинеду', 2]
['индубги', 2]
['вудиб-гьадиб', 2]
['гигьехин', 2]
['йелъех', 2]
['г1еззаг1ан', 2]
['елъех', 2]
['кекьукъола', 2]
['валлагь', 2]
['гигьидеч1и', 2]
['хъизанла', 2]
['вудилъиба', 2]
['ко-', 2]
['гигьубкъола', 2]
['инщулар', 2]
['вущда', 2]
['инлъил1еги', 2]
['кьонукъола', 2]
['бук1удеч1ини', 2]
['рук1удуре', 2]
['мисал', 2]
['мух1амащубла', 2]
['закарьящубла', 2]
['закарьящуб', 2]
['ли', 2]
['г1агарув', 2]
['даг1ба', 2]
['къецин', 2]
['мингьибах', 2]
['закащуб', 2]
['т1алибах', 2]
['буг1абах', 2]
['биг1идавагъохин', 2]
['мух1амащугьар', 2]
['бакъанила', 2]
['ссе-ссе', 2]
['мунъубахе', 2]
['болъуб', 2]
['ч1еркьа', 2]
['г1есимуларх', 2]
['папурузла', 2]
['гъажила', 2]
['кельас', 2]
['цевалла', 2]
['гьокубал', 2]
['кьедикьи', 2]
['г1амал', 2]
['мисабахегу', 2]
['бихьич1ибахин', 2]
['бехьубахе', 2]
['ч-', 2]
['мигьибах', 2]
['белъибахин', 2]
['жоркьилла', 2]
['кекьивахин', 2]
['букъалибах', 2]
['ихьвалъи', 2]
['рак1оба', 2]
['ц1онда', 2]
['каналлъинигиба', 2]
['рахъили', 2]
['ригьач1', 2]
['бехьобах', 2]
['ригьал1и', 2]
['соли', 2]
['бехьобахин', 2]
['к1к1ундуб', 2]
['бац1ибад', 2]
['х1айван', 2]
['этида', 2]
['восса', 2]
['армилъилагива', 2]
['кярт1и', 2]
['гьобела', 2]
['гьач1ими', 2]
['вугидуд', 2]
['чачанал1и', 2]
['эгубеги', 2]
['бац1ул', 2]
['чиба', 2]
['гьеч1ерила', 2]
['бехьвабах', 2]
['гьадилъид', 2]
['ихьва', 2]
['вуал1укъола', 2]
['ваг1агьир', 2]
['сборный', 2]
['мэъ', 2]
['дива', 2]
['на', 2]
['к1ундакьи', 2]
['машина', 2]
['мисаб', 2]
['ххали', 2]
['ваг1илдан', 2]
['почти', 2]
['младший', 2]
['механик', 2]
['класслъилар', 2]
['переключаться', 2]
['гьобич1убла', 2]
['гьеч1игила', 2]
['биг1ач1ув', 2]
['танк', 2]
['вубдан', 2]
['гигьув', 2]
['мунъа', 2]
['лъаман', 2]
['микъи', 2]
['машинди', 2]
['рекьираба', 2]
['т1укидалла', 2]
['рухьури', 2]
['нуричу', 2]
['хунзахъис', 2]
['округлъила', 2]
['г1анди', 2]
['мац1алди', 2]
['бужудув', 2]
['гьанч1уб', 2]
['бихьири', 2]
['болъи', 2]
['рагъила', 2]
['г1ахьаллъири', 2]
['к1к1умеду', 2]
['вук1авк1ола', 2]
['гьордил', 2]
['ц1ц1ер', 2]
['пленить', 2]
['хьолъирдил', 2]
['вухьагьув', 2]
['шамилиба', 2]
['гъалат1иби', 2]
['гье', 2]
['кекьел', 2]
['ц1ц1елалда', 2]
['г1алимадилуб', 2]
['гьокулаги', 2]
['ба', 2]
['гигьич1ибахин', 2]
['гьощула', 2]
['пикрулъила', 2]
['гьоц1ц1ал1и', 2]
['т1олгу', 2]
['бак1арилибахин', 2]
['накорагьари', 2]
['нуричуд', 2]
['гьощулъа', 2]
['тунка-г1унсулири', 2]
['гьощдубги', 2]
['вущуй', 2]
['мунъу', 2]
['цебел', 2]
['към', 2]
['ч1аг1ал', 2]
['салиматид', 2]
['бищдид', 2]
['гилох', 2]
['боу', 2]
['мунъабахе', 2]
['гьащулъа', 2]
['-иъ', 2]
['чамил', 2]
['г1абдал', 2]
['рук1урахегу', 2]
['так', 2]
['айдимирла', 2]
['цебира', 2]
['охранлъох', 2]
['релъалъи', 2]
['рутида', 2]
['ищилк1ин', 2]
['вохох', 2]
['к1еги', 2]
['бук1ач1ими', 2]
['вобще', 2]
['ц1улил', 2]
['вук1агьир', 2]
['хъелибах', 2]
['бук1уч1и', 2]
['вудищуба', 2]
['эчик1ола', 2]
['рагьадилда', 2]
['рагьалар', 2]
['палугьанла', 2]
['этаб', 2]
['особенно', 2]
['палугьан', 2]
['этохин', 2]
['ах1удуб', 2]
['вунъохин', 2]
['бигьида', 2]
['бакъибах', 2]
['лъоч1и', 2]
['бухгалтер', 2]
['ц1ерла', 2]
['бихьяк1унда', 2]
['бихьеду', 2]
['келар', 2]
['этари', 2]
['гъач1ащи', 2]
['дибеги', 2]
['гьудуладил', 2]
['х1осинибалув', 2]
['г1алирасулщубалув', 2]
['г1умар', 2]
['г1умарла', 2]
['белъеду', 2]
['ах1и-х1ур', 2]
['лъебах', 2]
['индуба', 2]
['ц1ади', 2]
['инццила', 2]
['дакьи', 2]
['бухьуду', 2]
['дунял', 2]
['заман', 2]
['саг1ат', 2]
['бел1е', 2]
['г1анжит', 2]
['калхузлъил', 2]
['к1к1умуб', 2]
['муабах', 2]
['баг1илдагьан', 2]
['баг1игьир', 2]
['гьобали', 2]
['бат1ал', 2]
['эсиба', 2]
['гьац1ц1уди', 2]
['бехубах', 2]
['бич1ач1и', 2]
['бук1али', 2]
['реда', 2]
['гьач1икьи', 2]
['болъикьибах', 2]
['бич1ч1улали', 2]
['болъакьибах', 2]
['г1арза', 2]
['индулъа', 2]
['к1к1ирду', 2]
['дандил', 2]
['волъавах', 2]
['волъи', 2]
['гьелъал', 2]
['г1анжи', 2]
['беледу', 2]
['вол1ик1уни', 2]
['гали', 2]
['шамилщуд', 2]
['каклъилал', 2]
['мух1амасулт1анщуд', 2]
['вугъа', 2]
['вуами', 2]
['вущуба', 2]
['мух1амасултанщуд', 2]
['кь', 2]
['гьач1ибах', 2]
['эхьиба', 2]
['бехьудак1а', 2]
['гьали', 2]
['дич1и', 2]
['цецибе', 2]
['анлъи', 2]
['рехъида', 2]
['к1екъиндулбелъи', 2]
['бикьидуб', 2]
['бук1ена', 2]
['муудубе', 2]
['перма', 2]
['кьогьили', 2]
['гьардудла', 2]
['кьугьалда', 2]
['кьогьилири', 2]
['кьогьилда', 2]
['гильзабади', 2]
['бухъуб', 2]
['значит', 2]
['сарухла', 2]
['вудуре', 2]
['канлъуб', 2]
['т1уби', 2]
['бихьибаххе', 2]
['бехьобахе', 2]
['гигьуб', 2]
['муабахх', 2]
['гьашду', 2]
['гьудал1алуб', 2]
['догибалуб', 2]
['ганзибалуб', 2]
['къот1а', 2]
['биг1ел1уб', 2]
['берцинлъи', 2]
['къуват', 2]
['культуралъилар', 2]
['цере-церела', 2]
['тураза', 2]
['пурди-ц1ули', 2]
['г1анчила', 2]
['вудих', 2]
['ч1ч1иду', 2]
['гьуди', 2]
['букъидуб', 2]
['г1оруслъид', 2]
['букъел', 2]
['бел1ел', 2]
['эссиба', 2]
['вунгъав', 2]
['жолал', 2]
['бихьёхин', 2]
['вохьудув', 2]
['лапта', 2]
['ч1ч1ордуб', 2]
['бухьагьидубе', 2]
['баг1ак1алъин', 2]
['спортивный', 2]
['т1амири', 2]
['минарис', 2]
['мероприятиеди', 2]
['ссегиба', 2]
['ссолале', 2]
['бажарилик1алъин', 2]
['бухьагьабахин', 2]
['чанагъиби', 2]
['имабилуре', 2]
['ццебира', 2]
['гьарк1к1елид', 2]
['эгуреги', 2]
['т1аме', 2]
